# material: PETG,,,,
# geometry: cyl,,,,
# preform_diameter: 20.0,,,,
# material_color: Clear(White),,,,
# temperature_C: 175.0,,,,
# drawdown_ratio: 50.0,,,,
# trial_number: 004,,,,
# operator: Akila,,,,
# start_time: 2025-10-10 14:52:58,,,,
# notes: ,,,,
Time(s),Feed(mm/min),Wind(m/min),Diameter(um),Predicted_diameter(um)
1.22,2,4.99,400.78,400.46
1.42,2.01,4.99,410.56,401.39
1.62,2,5.01,410.56,399.93
1.82,1.99,4.99,400.78,399.53
2.02,2.01,5.01,391.01,400.86
2.22,2.01,5.01,391.01,400.86
2.42,1.99,4.99,361.68,399.53
2.62,2,5.01,361.68,399.93
2.82,1.99,4.99,342.13,399.53
3.02,2.01,5.01,342.13,400.86
3.22,2.01,5.01,342.13,400.86
3.42,1.99,5.01,322.58,399
3.62,2,5.01,332.36,399.93
3.82,2,5.01,342.13,399.93
4.02,2,4.99,322.58,400.46
4.22,2.01,4.99,332.36,401.39
4.42,2.01,5.01,361.68,400.86
4.62,2,4.99,332.36,400.46
4.82,2.01,5.01,351.91,400.86
5.02,1.99,5.01,351.91,399
5.22,1.99,5.01,332.36,399
5.42,2,5.01,332.36,399.93
5.62,2,4.99,322.58,400.46
5.82,2,4.99,293.26,400.46
6.02,2,4.99,312.81,400.46
6.22,2.01,4.99,303.03,401.39
6.42,1.99,4.99,293.26,399.53
6.62,2.01,4.99,303.03,401.39
6.82,2.01,5.02,342.13,400.32
7.02,2.01,4.98,322.58,401.94
7.22,2,5.01,332.36,399.93
7.42,2,4.99,332.36,400.46
7.62,2.01,4.99,342.13,401.39
7.82,2.01,4.99,361.68,401.39
8.02,2.01,4.99,371.46,401.39
8.22,1.99,4.99,381.23,399.53
8.42,2.01,4.99,361.68,401.39
8.62,2.01,4.99,381.23,401.39
8.82,2,5.01,391.01,399.93
9.02,2,5.01,381.23,399.93
9.22,1.99,4.99,400.78,399.53
9.42,2,5.01,391.01,399.93
9.62,1.99,4.99,410.56,399.53
9.82,2,5.01,381.23,399.93
10.02,2,5.02,381.23,399.39
10.22,2,5.01,410.56,399.93
10.42,2,4.99,400.78,400.46
10.62,2.01,5.01,410.56,400.86
10.82,2,5.01,361.68,399.93
11.02,1.99,5.01,342.13,399
11.22,2,4.99,351.91,400.46
11.42,2,5.01,342.13,399.93
11.62,2,4.99,322.58,400.46
11.82,1.99,5.01,332.36,399
12.02,2.01,5.01,312.81,400.86
12.22,2,4.99,332.36,400.46
12.42,2,4.99,322.58,400.46
12.62,2,5.01,322.58,399.93
12.82,2.01,4.99,312.81,401.39
13.02,2.01,5.01,332.36,400.86
13.22,2,4.99,312.81,400.46
13.42,2,4.99,283.48,400.46
13.62,2,5.01,312.81,399.93
13.82,2,4.99,322.58,400.46
14.02,2.01,4.99,322.58,401.39
