# material: PETG
# geometry: cyl
# preform_diameter: 20.0
# material_color: Clear
# temperature_C: 144.0
# drawdown_ratio: 50.0
# trial_number: 027
# operator: Akila
# start_time: 2025-10-24 11:05:05
# notes: 
Time(s),Feed(mm/min),Wind(m/min),Diameter(um),Predicted_diameter(um)
1.22,2.01,5.01,449.66,400.86
1.42,2.02,5.02,469.21,401.25
1.62,2.01,5.01,449.66,400.86
1.82,2.01,5.01,449.66,400.86
2.02,2.01,5.03,449.66,399.79
2.22,2.02,5.01,439.88,401.78
2.42,2.01,5.01,449.66,400.86
2.62,2.02,5.01,459.43,401.78
2.82,2.02,5.01,459.43,401.78
3.02,2.01,5.01,430.11,400.86
3.22,2.02,5.01,439.88,401.78
3.42,2.03,5.01,478.98,402.71
3.62,2.02,5.01,488.76,401.78
3.82,2.00,5.01,449.66,399.93
4.02,2.02,5.01,478.98,401.78
4.22,2.02,5.01,478.98,401.78
4.42,2.02,5.01,469.21,401.78
4.62,2.01,5.01,459.43,400.86
4.82,2.02,5.01,469.21,401.78
5.02,2.01,4.99,449.66,401.39
5.22,2.02,4.99,449.66,402.32
5.42,2.01,5.01,420.33,400.86
5.62,2.01,5.01,449.66,400.86
5.82,2.01,5.02,459.43,400.32
6.02,2.01,5.01,449.66,400.86
6.22,2.02,5.01,469.21,401.78
6.42,2.00,5.01,449.66,399.93
6.62,2.02,5.01,478.98,401.78
6.82,2.02,5.01,488.76,401.78
7.02,2.02,5.01,478.98,401.78
7.22,2.02,5.01,469.21,401.78
7.42,2.02,5.01,478.98,401.78
7.62,2.01,5.01,469.21,400.86
7.82,2.02,4.99,498.53,402.32
8.02,2.01,5.01,488.76,400.86
8.22,2.01,5.01,488.76,400.86
8.42,2.02,5.01,488.76,401.78
8.62,2.02,5.01,518.08,401.78
8.82,2.02,5.01,508.31,401.78
9.02,2.02,5.01,478.98,401.78
9.22,2.02,5.01,518.08,401.78
9.42,2.03,5.01,508.31,402.71
9.62,2.02,5.02,498.53,401.25
9.82,2.00,5.02,488.76,399.39
10.02,2.03,5.01,498.53,402.71
10.22,2.01,5.01,498.53,400.86
10.42,2.02,5.01,498.53,401.78
10.62,2.02,5.01,498.53,401.78
10.82,2.02,5.01,518.08,401.78
11.02,2.01,5.01,488.76,400.86
11.22,2.02,5.01,518.08,401.78
11.42,2.01,5.01,469.21,400.86
11.62,2.02,5.01,488.76,401.78
11.82,2.02,5.02,478.98,401.25
12.02,2.02,5.01,469.21,401.78
12.22,2.02,5.01,459.43,401.78
12.42,2.02,5.01,430.11,401.78
12.62,2.02,5.01,420.33,401.78
12.82,2.00,5.01,391.01,399.93
13.02,2.03,5.01,381.23,402.71
13.22,2.01,5.01,381.23,400.86
13.42,2.02,5.01,371.46,401.78
13.62,2.01,5.01,371.46,400.86
13.82,2.02,5.01,391.01,401.78
14.02,2.01,5.01,391.01,400.86
14.22,2.02,5.01,410.56,401.78
14.42,2.01,5.01,371.46,400.86
14.62,2.02,5.01,391.01,401.78
14.82,2.02,5.01,371.46,401.78
15.02,2.02,5.01,381.23,401.78
15.22,2.01,5.01,361.68,400.86
15.42,2.02,5.01,351.91,401.78
15.62,2.02,5.01,332.36,401.78
15.82,2.02,5.02,332.36,401.25
16.02,2.01,5.01,322.58,400.86
16.22,2.02,5.01,351.91,401.78
16.42,2.02,5.01,351.91,401.78
16.62,2.02,5.01,332.36,401.78
16.82,2.01,5.02,312.81,400.32
17.02,2.00,5.01,322.58,399.93
17.22,2.01,5.01,312.81,400.86
17.42,2.01,5.02,303.03,400.32
17.62,2.01,5.01,332.36,400.86
17.82,2.02,5.01,342.13,401.78
18.02,2.02,5.01,342.13,401.78
18.22,2.02,5.01,342.13,401.78
18.42,2.02,5.02,322.58,401.25
18.62,2.02,5.03,342.13,400.71
18.82,2.01,5.01,303.03,400.86
19.02,2.00,5.02,283.48,399.39
19.22,2.01,5.01,273.70,400.86
19.42,2.02,5.01,273.70,401.78
19.62,2.02,5.01,283.48,401.78
19.82,2.01,5.01,273.70,400.86
20.02,2.02,5.01,293.26,401.78
20.22,2.01,4.99,303.03,401.39
20.42,2.02,5.01,283.48,401.78
20.62,2.00,5.01,303.03,399.93
20.82,2.01,5.01,332.36,400.86
21.02,2.01,5.02,332.36,400.32
21.22,2.02,5.02,342.13,401.25
21.42,2.02,5.01,312.81,401.78
21.62,2.02,5.02,332.36,401.25
21.82,2.02,5.01,342.13,401.78
22.02,2.02,5.01,361.68,401.78
22.22,2.01,5.01,361.68,400.86
22.42,2.03,5.01,351.91,402.71
22.62,2.02,4.98,342.13,402.86
22.82,2.02,5.01,342.13,401.78
23.02,2.01,5.02,332.36,400.32
23.22,2.02,5.01,322.58,401.78
23.42,2.00,5.01,312.81,399.93
23.62,2.02,5.01,332.36,401.78
23.82,2.02,5.01,312.81,401.78
24.02,2.02,5.01,322.58,401.78
24.22,2.02,5.01,312.81,401.78
24.42,2.01,5.02,342.13,400.32
24.62,2.01,5.01,332.36,400.86
24.82,2.01,5.01,361.68,400.86
25.02,2.02,4.99,381.23,402.32
25.22,2.02,5.01,400.78,401.78
25.42,2.00,5.01,391.01,399.93
25.62,2.03,5.01,420.33,402.71
25.82,2.02,5.01,420.33,401.78
26.02,2.02,5.02,430.11,401.25
26.22,2.02,5.01,410.56,401.78
26.42,2.02,5.02,430.11,401.25
26.62,2.02,5.01,410.56,401.78
26.82,2.02,5.01,439.88,401.78
27.02,2.02,5.01,410.56,401.78
27.22,2.02,5.01,430.11,401.78
27.42,2.02,5.01,439.88,401.78
27.62,2.02,5.01,439.88,401.78
27.82,2.01,5.01,459.43,400.86
28.02,2.01,5.02,439.88,400.32
28.22,2.02,5.01,459.43,401.78
28.42,2.02,5.01,478.98,401.78
28.62,2.01,5.01,469.21,400.86
28.82,2.01,5.01,469.21,400.86
29.02,2.02,5.01,478.98,401.78
29.22,2.02,5.01,478.98,401.78
29.42,2.02,5.01,439.88,401.78
29.62,2.03,5.01,449.66,402.71
29.82,2.02,5.01,449.66,401.78
30.02,2.02,5.02,439.88,401.25
