# material: PETG,,,,
# geometry: cyl,,,,
# preform_diameter: 20.0,,,,
# material_color: Grey,,,,
# temperature_C: 180.0,,,,
# drawdown_ratio: 50.0,,,,
# trial_number: 006,,,,
# operator: Akila,,,,
# start_time: 2025-10-14 13:38:49,,,,
# notes: ,"Without cooling - Omit first 250 seconds, the feeder was going the wrong way",,,
Time(s),Feed(mm/min),Wind(m/min),Diameter(um),Predicted_diameter(um)
1.22,1.96,4.95,322.58,397.39
1.42,1.96,4.95,303.03,398.33
1.62,1.95,4.95,312.81,396.44
1.82,1.96,4.94,312.81,397.93
2.02,1.95,4.95,351.91,396.44
2.22,1.96,4.95,537.63,397.39
2.42,1.95,4.95,439.88,396.44
2.62,1.96,4.95,351.91,398.33
2.82,1.96,4.94,351.91,397.93
3.02,1.96,4.95,410.56,397.39
3.22,1.96,4.97,391.01,396.85
3.42,1.95,4.95,459.43,396.44
3.62,1.96,4.95,576.74,397.39
3.82,1.95,4.95,498.53,396.44
4.02,1.96,4.95,478.98,397.39
4.22,1.95,4.95,391.01,396.44
4.42,1.96,4.95,381.23,398.33
4.62,1.96,4.94,351.91,397.93
4.82,1.95,4.95,312.81,396.44
5.02,1.96,4.95,322.58,397.39
5.22,1.96,4.95,342.13,397.39
5.42,1.96,4.93,361.68,398.47
5.62,1.94,4.95,322.58,395.49
5.82,1.96,4.95,283.48,397.39
6.02,1.96,4.95,322.58,397.39
6.22,1.96,4.95,293.26,397.39
6.42,1.96,4.95,136.85,397.39
6.62,1.94,4.94,283.48,396.03
6.82,1.96,4.95,234.6,397.39
7.02,1.96,4.95,224.83,397.39
7.22,1.95,4.95,234.6,396.44
7.42,1.95,4.95,136.85,396.44
7.62,1.96,4.94,78.2,397.93
7.82,1.96,4.95,254.15,397.39
8.02,1.95,4.93,273.7,397.52
8.22,1.95,4.95,234.6,396.44
8.42,1.95,4.95,322.58,396.44
8.62,1.96,4.95,371.46,397.39
8.82,1.95,4.95,195.5,396.44
9.02,1.95,4.95,351.91,396.44
9.22,1.96,4.95,322.58,398.33
9.42,1.95,4.95,195.5,396.44
9.62,1.94,4.95,97.75,395.49
9.82,1.96,4.94,332.36,398.87
10.02,1.96,4.95,283.48,397.39
10.22,1.96,4.95,97.75,397.39
10.42,1.95,4.97,156.4,395.9
10.62,1.96,4.95,312.81,397.39
10.82,1.95,4.95,293.26,396.44
11.02,1.95,4.95,303.03,396.44
11.22,1.96,4.95,224.83,397.39
11.42,1.95,4.95,185.73,396.44
11.62,1.95,4.95,127.08,396.44
11.82,1.96,4.95,224.83,397.39
12.02,1.96,4.95,234.6,397.39
12.22,1.96,4.95,263.93,397.39
12.42,1.96,4.95,205.28,397.39
12.62,1.96,4.95,283.48,397.39
12.82,1.96,4.95,371.46,397.39
13.02,1.95,4.94,234.6,396.98
13.22,1.96,4.95,58.65,398.33
13.42,1.94,4.95,244.38,395.49
13.62,1.94,4.94,332.36,396.03
13.82,1.96,4.95,322.58,397.39
14.02,1.96,4.94,185.73,397.93
14.22,1.95,4.95,175.95,396.44
14.42,1.96,4.95,117.3,397.39
14.62,1.96,4.95,146.63,398.33
14.82,1.95,4.95,87.98,396.44
15.02,1.95,4.94,195.5,396.98
15.22,1.96,4.95,195.5,397.39
15.42,1.95,4.95,58.65,396.44
15.62,1.96,4.95,185.73,397.39
15.82,1.96,4.94,215.05,397.93
16.02,1.94,4.95,127.08,395.49
16.22,1.96,4.95,205.28,397.39
16.42,1.94,4.94,127.08,396.03
16.62,1.95,4.95,127.08,396.44
16.82,1.96,4.95,332.36,397.39
17.02,1.95,4.95,430.11,396.44
17.22,1.96,4.94,478.98,397.93
17.42,1.95,4.95,420.33,396.44
17.62,1.96,4.95,293.26,397.39
17.82,1.96,4.94,312.81,397.93
18.02,1.96,4.95,254.15,397.39
18.22,1.96,4.95,547.41,398.33
18.42,1.95,4.94,244.38,396.98
18.62,1.96,4.95,400.78,397.39
18.82,1.95,4.94,303.03,396.98
19.02,1.95,4.95,351.91,396.44
19.22,1.96,4.95,527.86,397.39
19.42,1.96,4.95,234.6,397.39
19.62,1.96,4.95,254.15,398.33
19.82,1.95,4.95,332.36,396.44
20.02,1.96,4.95,342.13,397.39
20.22,1.96,4.95,342.13,397.39
20.42,1.95,4.95,400.78,396.44
20.62,1.96,4.95,322.58,397.39
20.82,1.96,4.94,224.83,397.93
21.02,1.96,4.95,351.91,397.39
21.22,1.96,4.95,351.91,397.39
21.42,1.95,4.95,283.48,396.44
21.62,1.96,4.95,332.36,397.39
21.82,1.96,4.95,391.01,397.39
22.02,1.95,4.95,263.93,396.44
22.22,1.95,4.95,351.91,396.44
22.42,1.95,4.95,410.56,396.44
22.62,1.96,4.95,361.68,397.39
22.82,1.96,4.95,381.23,397.39
23.02,1.96,4.95,508.31,397.39
23.22,1.95,4.95,263.93,396.44
23.42,1.95,4.95,254.15,396.44
23.62,1.95,4.95,263.93,396.44
23.82,1.95,4.95,312.81,396.44
24.02,1.95,4.94,371.46,396.98
24.22,1.95,4.95,351.91,396.44
24.42,1.95,4.95,244.38,396.44
24.62,1.96,4.95,410.56,397.39
24.82,1.96,4.95,322.58,397.39
25.02,1.95,4.95,410.56,396.44
25.22,1.96,4.95,469.21,397.39
25.42,1.94,4.95,215.05,395.49
25.62,1.95,4.95,117.3,396.44
25.82,1.96,4.95,234.6,398.33
26.02,1.96,4.95,303.03,397.39
26.22,1.96,4.95,254.15,397.39
26.42,1.96,4.95,332.36,397.39
26.62,1.95,4.95,400.78,396.44
26.82,1.95,4.95,439.88,396.44
27.02,1.96,4.94,361.68,397.93
27.22,1.95,4.95,263.93,396.44
27.42,1.96,4.95,263.93,397.39
27.62,1.95,4.95,273.7,396.44
27.82,1.95,4.95,185.73,396.44
28.02,1.95,4.94,146.63,396.98
28.22,1.96,4.94,48.88,397.93
28.42,1.96,4.95,146.63,397.39
28.62,1.94,4.95,224.83,395.49
28.82,1.96,4.95,166.18,397.39
29.02,1.96,4.95,263.93,397.39
29.22,1.95,4.95,146.63,396.44
29.42,1.96,4.95,322.58,397.39
29.62,1.95,4.95,244.38,396.44
29.82,1.95,4.94,254.15,396.98
30.02,1.96,4.95,175.95,397.39
30.22,1.95,4.94,381.23,396.98
30.42,1.96,4.95,312.81,397.39
30.62,1.96,4.97,361.68,396.85
30.82,1.95,4.94,195.5,396.98
31.02,1.96,4.95,273.7,397.39
31.22,1.96,4.94,234.6,398.87
31.42,1.96,4.95,19.55,397.39
31.62,1.96,4.95,410.56,397.39
31.82,1.94,4.95,136.85,395.49
32.02,1.96,4.95,293.26,397.39
32.22,1.96,4.95,537.63,397.39
32.42,1.96,4.95,322.58,397.39
32.62,1.96,4.97,293.26,396.85
32.82,1.96,4.95,361.68,397.39
33.02,1.96,4.95,557.18,397.39
33.22,1.95,4.95,283.48,396.44
33.42,1.94,4.95,195.5,395.49
33.62,1.95,4.95,195.5,396.44
33.82,1.96,4.95,224.83,397.39
34.02,1.95,4.94,195.5,396.98
34.22,1.96,4.95,459.43,397.39
34.42,1.96,4.94,322.58,397.93
34.62,1.95,4.94,205.28,396.98
34.82,1.96,4.95,322.58,397.39
35.02,1.94,4.95,244.38,395.49
35.22,1.96,4.95,381.23,397.39
35.42,1.96,4.94,0,397.93
35.62,1.95,4.94,205.28,396.98
35.82,1.96,4.95,195.5,397.39
36.02,1.95,4.94,185.73,396.98
36.22,1.96,4.95,322.58,397.39
36.42,1.95,4.95,263.93,396.44
36.62,1.95,4.95,312.81,396.44
36.82,1.96,4.95,293.26,397.39
37.02,1.96,4.95,234.6,397.39
37.22,1.94,4.95,293.26,395.49
37.42,1.96,4.95,234.6,397.39
37.62,1.96,4.95,371.46,398.33
37.82,1.96,4.95,58.65,397.39
38.02,1.95,4.95,195.5,396.44
38.22,1.95,4.95,185.73,396.44
38.42,1.96,4.95,303.03,397.39
38.62,1.94,4.94,293.26,396.03
