# material: PETG,,,,
# geometry: cyl,,,,
# preform_diameter: 20.0,,,,
# material_color: Grey,,,,
# temperature_C: 182.0,,,,
# drawdown_ratio: 50.0,,,,
# trial_number: 008,,,,
# operator: Akila,,,,
# start_time: 2025-10-15 10:51:09,,,,
# notes: ,Without Cooling - Starting time should be adjusted to 286 Seconds,,,
Time(s),Feed(mm/min),Wind(m/min),Diameter(um),Predicted_diameter(um)
1.22,2,4.86,156.4,405.96
1.42,2,4.85,185.73,406.52
1.62,2,4.85,224.83,406.52
1.82,2,4.85,224.83,406.52
2.02,2,4.85,215.05,406.52
2.22,1.99,4.85,156.4,405.57
2.42,2.01,4.85,185.73,407.46
2.62,1.99,4.85,254.15,405.57
2.82,1.99,4.85,224.83,405.57
3.02,2,4.85,156.4,406.52
3.22,2,4.83,205.28,407.08
3.42,2.01,4.85,166.18,407.46
3.62,1.99,4.85,156.4,405.57
3.82,1.99,4.85,195.5,405.57
4.02,2,4.83,224.83,407.08
4.22,2,4.85,136.85,406.52
4.42,1.99,4.86,195.5,405.01
4.62,1.99,4.85,205.28,405.57
4.82,2,4.85,205.28,406.52
5.02,2,4.83,234.6,407.08
5.22,2,4.85,234.6,406.52
5.42,2,4.85,234.6,406.52
5.62,1.99,4.85,234.6,405.57
5.82,1.99,4.85,273.7,405.57
6.02,1.99,4.85,283.48,405.57
6.22,1.98,4.85,254.15,404.62
6.42,2,4.87,303.03,405.4
6.62,1.99,4.85,234.6,405.57
6.82,2,4.83,254.15,407.08
7.02,2.01,4.85,263.93,407.46
7.22,1.99,4.85,293.26,405.57
7.42,2.01,4.85,244.38,407.46
7.62,1.99,4.85,244.38,405.57
7.82,1.99,4.85,283.48,405.57
8.02,1.98,4.85,244.38,404.62
8.22,2,4.85,244.38,406.52
8.42,1.99,4.83,234.6,406.14
8.62,2,4.85,244.38,406.52
8.82,2,4.85,234.6,406.52
9.02,2,4.83,234.6,407.08
9.22,2,4.85,234.6,406.52
9.42,1.99,4.85,224.83,405.57
9.62,1.99,4.86,215.05,405.01
9.82,1.98,4.85,205.28,404.62
10.02,2,4.85,244.38,406.52
10.22,1.99,4.85,205.28,405.57
10.42,1.99,4.85,234.6,405.57
10.62,2,4.85,234.6,406.52
10.82,1.98,4.85,254.15,404.62
11.02,1.99,4.85,293.26,405.57
11.22,2,4.85,312.81,406.52
11.42,2,4.85,332.36,406.52
11.62,1.99,4.85,322.58,405.57
11.82,1.98,4.85,303.03,404.62
12.02,1.99,4.85,273.7,405.57
12.22,2,4.85,322.58,406.52
12.42,2,4.85,263.93,406.52
12.62,1.99,4.85,293.26,405.57
12.82,1.99,4.85,244.38,405.57
13.02,1.99,4.85,254.15,405.57
13.22,2,4.86,244.38,405.96
13.42,1.99,4.85,273.7,405.57
13.62,2,4.85,244.38,406.52
13.82,1.99,4.85,234.6,405.57
14.02,1.99,4.85,254.15,405.57
14.22,1.98,4.85,273.7,404.62
14.42,2,4.85,263.93,406.52
14.62,1.98,4.83,263.93,405.19
14.82,2,4.83,234.6,407.08
15.02,1.99,4.85,254.15,405.57
15.22,1.99,4.85,254.15,405.57
15.42,1.99,4.86,303.03,405.01
15.62,2,4.85,312.81,406.52
15.82,1.99,4.85,312.81,405.57
16.02,1.98,4.85,322.58,404.62
16.22,2,4.85,351.91,406.52
16.42,1.98,4.83,332.36,405.19
16.62,2,4.86,381.23,405.96
16.82,1.98,4.85,342.13,404.62
17.02,2,4.85,371.46,406.52
17.22,1.99,4.85,410.56,405.57
17.42,1.99,4.85,420.33,405.57
17.62,1.99,4.85,381.23,405.57
17.82,2,4.85,439.88,406.52
