# material: PETG,,,,
# geometry: cyl,,,,
# preform_diameter: 20.0,,,,
# material_color: Grey,,,,
# temperature_C: 181.0,,,,
# drawdown_ratio: 50.0,,,,
# trial_number: 009,,,,
# operator: Akila,,,,
# start_time: 2025-10-15 12:42:42,,,,
# notes: ,Cooling disrupted the drawing,,,
Time(s),Feed(mm/min),Wind(m/min),Diameter(um),Predicted_diameter(um)
1.22,2.02,5.01,615.84,401.78
1.42,2.02,5.01,615.84,401.78
1.62,2.01,5.01,606.06,400.86
1.82,2.02,5.01,635.39,401.78
2.02,2.01,5.02,606.06,400.32
2.22,2.03,5.01,635.39,402.71
2.42,2.01,5.01,625.61,400.86
2.62,2.02,5.01,596.29,401.78
2.82,2.02,5.01,566.96,401.78
3.02,2.01,5.01,576.74,400.86
3.22,2.03,5.01,537.63,402.71
3.42,2.01,5.01,537.63,400.86
3.62,2.02,5.01,547.41,401.78
3.82,2.02,5.01,537.63,401.78
4.02,2.01,5.02,547.41,400.32
4.22,2.02,5.01,557.18,401.78
4.42,2.02,5.02,547.41,401.25
4.62,2.01,5.01,547.41,400.86
4.82,2.01,5.01,557.18,400.86
5.02,2.01,5.01,557.18,400.86
5.22,2.03,5.01,557.18,402.71
5.42,2.02,5.01,625.61,401.78
5.62,2.03,5.02,586.51,402.17
5.82,2.02,5.01,566.96,401.78
6.02,2.01,5.01,547.41,400.86
6.22,2,5.01,586.51,399.93
6.42,2.02,5.02,596.29,401.25
6.62,2,5.01,527.86,399.93
6.82,2.02,5.01,527.86,401.78
7.02,2.01,5.01,518.08,400.86
7.22,2.02,5.01,537.63,401.78
7.42,2.02,5.01,596.29,401.78
7.62,2.02,5.01,557.18,401.78
7.82,2.01,5.01,537.63,400.86
8.02,2.02,5.01,615.84,401.78
8.22,2.02,5.01,596.29,401.78
8.42,2.02,5.02,537.63,401.25
8.62,2,5.01,547.41,399.93
8.82,2.02,5.01,527.86,401.78
9.02,2.01,5.01,498.53,400.86
9.22,2.02,5.01,537.63,401.78
9.42,2.01,5.02,547.41,400.32
9.62,2.02,4.99,557.18,402.32
9.82,2.02,5.02,566.96,401.25
10.02,2.01,5.01,518.08,400.86
10.22,2.03,5.01,566.96,402.71
10.42,2.01,5.01,537.63,400.86
10.62,2.02,5.01,566.96,401.78
10.82,2,5.01,557.18,399.93
11.02,2.01,5.02,566.96,400.32
11.22,2.02,5.01,576.74,401.78
11.42,2.02,5.01,586.51,401.78
11.62,2.01,5.01,547.41,400.86
11.82,2.02,5.01,537.63,401.78
12.02,2.01,5.01,547.41,400.86
12.22,2.02,5.01,537.63,401.78
12.42,2.01,5.01,527.86,400.86
12.62,2.02,5.01,537.63,401.78
12.82,2.02,5.01,537.63,401.78
13.02,2.02,5.01,537.63,401.78
13.22,2.02,5.01,547.41,401.78
13.42,2.02,5.01,576.74,401.78
13.62,2,5.01,557.18,399.93
13.82,2.01,5.01,566.96,400.86
14.02,2.01,5.01,586.51,400.86
14.22,2.01,5.01,557.18,400.86
14.42,2.02,5.02,557.18,401.25
14.62,2.01,5.01,508.31,400.86
14.82,2.01,4.99,566.96,401.39
15.02,2.02,5.01,527.86,401.78
15.22,2.02,5.01,537.63,401.78
15.42,2,4.99,557.18,400.46
15.62,2.02,5.02,576.74,401.25
15.82,2.01,5.01,527.86,400.86
16.02,2.01,5.01,537.63,400.86
16.22,2.02,5.01,508.31,401.78
16.42,2.02,5.01,537.63,401.78
16.62,2.01,5.01,508.31,400.86
16.82,2.02,5.01,547.41,401.78
17.02,2.02,5.01,557.18,401.78
17.22,2.02,4.99,527.86,402.32
17.42,2.02,5.01,537.63,401.78
17.62,2.02,5.01,508.31,401.78
17.82,2.02,5.01,518.08,401.78
18.02,2.01,5.01,518.08,400.86
18.22,2.02,5.01,527.86,401.78
18.42,2.01,5.01,498.53,400.86
18.62,2.03,5.01,498.53,402.71
18.82,2.01,5.01,527.86,400.86
19.02,2.02,5.01,518.08,401.78
19.22,2,5.01,518.08,399.93
19.42,2.02,4.99,557.18,402.32
19.62,2.02,5.01,557.18,401.78
19.82,2.02,5.01,557.18,401.78
20.02,2.01,5.01,527.86,400.86
20.22,2.01,5.01,537.63,400.86
20.42,2.02,5.01,537.63,401.78
20.62,2.02,5.01,518.08,401.78
20.82,2,5.01,508.31,399.93
21.02,2.02,4.99,527.86,402.32
21.22,2.02,5.02,508.31,401.25
21.42,2.02,5.01,478.98,401.78
21.62,2.02,5.01,508.31,401.78
21.82,2.02,5.01,527.86,401.78
22.02,2.01,5.02,498.53,400.32
22.22,2.01,5.02,488.76,400.32
22.42,2.02,5.01,527.86,401.78
22.62,2.02,5.01,547.41,401.78
22.82,2.02,5.02,537.63,401.25
23.02,2,5.01,518.08,399.93
23.22,2.02,5.01,498.53,401.78
23.42,2.01,5.02,469.21,400.32
23.62,2.02,5.01,469.21,401.78
23.82,2,5.01,469.21,399.93
24.02,2.02,4.99,478.98,402.32
24.22,2.01,5.01,449.66,400.86
24.42,2.02,5.01,498.53,401.78
24.62,2.01,5.01,459.43,400.86
24.82,2.02,4.99,488.76,402.32
