# material: PETG,,,,
# geometry: cyl,,,,
# preform_diameter: 20.0,,,,
# material_color: Grey,,,,
# temperature_C: 181.0,,,,
# drawdown_ratio: 50.0,,,,
# trial_number: 010,,,,
# operator: Akila,,,,
# start_time: 2025-10-15 13:11:09,,,,
# notes: ,,,,
Time(s),Feed(mm/min),Wind(m/min),Diameter(um),Predicted_diameter(um)
1.22,2.02,5.01,185.73,401.78
1.42,2.02,5.02,205.28,401.25
1.62,2.01,5.01,175.95,400.86
1.82,2.02,5.01,215.05,401.78
2.02,2.02,5.02,195.5,401.25
2.22,2.01,5.01,185.73,400.86
2.42,2.02,5.02,185.73,401.25
2.62,2.01,5.01,195.5,400.86
2.82,2.03,5.01,224.83,402.71
3.02,2,5.01,195.5,399.93
3.22,2.03,5.01,195.5,402.71
3.42,2.02,5.01,205.28,401.78
3.62,2.02,5.02,195.5,401.25
3.82,2,5.01,195.5,399.93
4.02,2.02,5.01,215.05,401.78
4.22,2.01,5.01,205.28,400.86
4.42,2.02,5.01,205.28,401.78
4.62,2.02,5.01,215.05,401.78
4.82,2.02,5.01,195.5,401.78
5.02,2.01,5.01,185.73,400.86
5.22,2.01,5.02,185.73,400.32
5.42,2,5.01,175.95,399.93
5.62,2.02,5.01,215.05,401.78
5.82,2,5.02,175.95,399.39
6.02,2.02,5.02,205.28,401.25
6.22,2.02,5.02,215.05,401.25
6.42,2.01,5.01,205.28,400.86
6.62,2.02,5.02,224.83,401.25
6.82,2.01,5.01,224.83,400.86
7.02,2.02,5.01,215.05,401.78
7.22,2.02,5.01,205.28,401.78
7.42,2.01,5.02,215.05,400.32
7.62,2,5.01,224.83,399.93
7.82,2.02,5.01,234.6,401.78
8.02,2.02,5.01,205.28,401.78
8.22,2.02,5.02,224.83,401.25
8.42,2.02,5.01,224.83,401.78
8.62,2.02,5.02,234.6,401.25
8.82,2.01,5.01,244.38,400.86
9.02,2.03,5.02,215.05,402.17
9.22,1.99,5.02,234.6,398.46
9.42,2.02,5.01,234.6,401.78
9.62,2.01,5.02,195.5,400.32
9.82,2.02,5.02,234.6,401.25
10.02,2.01,5.02,215.05,400.32
10.22,2.02,5.01,224.83,401.78
10.42,2.01,5.01,224.83,400.86
10.62,2.01,5.02,205.28,400.32
10.82,2.01,5.01,224.83,400.86
11.02,2.02,5.01,244.38,401.78
11.22,2.02,5.01,215.05,401.78
11.42,2.02,5.01,215.05,401.78
11.62,2.01,5.01,205.28,400.86
11.82,2.02,5.02,224.83,401.25
12.02,2.02,5.01,224.83,401.78
12.22,2.01,5.01,215.05,400.86
12.42,2.01,5.02,195.5,400.32
12.62,2.02,5.01,195.5,401.78
12.82,2.02,4.98,205.28,402.86
13.02,2.01,5.02,205.28,400.32
13.22,2.03,5.02,205.28,402.17
13.42,2.01,5.01,215.05,400.86
13.62,2.01,5.01,224.83,400.86
13.82,2.01,5.01,234.6,400.86
