# material: PETG,,,,
# geometry: cyl,,,,
# preform_diameter: 20.0,,,,
# material_color: Grey,,,,
# temperature_C: 185.0,,,,
# drawdown_ratio: 50.0,,,,
# trial_number: 011,,,,
# operator: Akila,,,,
# start_time: 2025-10-15 14:29:01,,,,
# notes: ,"185 does not work properly, try lower temperature",,,
Time(s),Feed(mm/min),Wind(m/min),Diameter(um),Predicted_diameter(um)
1.22,2.02,5.02,400.78,401.25
1.42,2.02,5.02,371.46,401.25
1.62,2.03,5.01,420.33,402.71
1.82,2.02,5.01,391.01,401.78
2.02,2.02,5.01,342.13,401.78
2.22,2.01,5.01,351.91,400.86
2.42,2.02,5.01,381.23,401.78
2.62,2.02,5.02,351.91,401.25
2.82,2.01,5.01,381.23,400.86
3.02,2.02,5.02,381.23,401.25
3.22,2.02,5.01,381.23,401.78
3.42,2.02,5.02,371.46,401.25
3.62,2.02,5.01,361.68,401.78
3.82,2.02,5.01,332.36,401.78
4.02,2.02,5.01,391.01,401.78
4.22,2,5.01,361.68,399.93
4.42,2.02,5.01,381.23,401.78
4.62,2.01,5.01,342.13,400.86
4.82,2.02,5.02,410.56,401.25
5.02,2.01,5.01,381.23,400.86
5.22,2.01,4.99,400.78,401.39
5.42,2.02,5.01,391.01,401.78
5.62,2.01,5.01,391.01,400.86
5.82,2.01,5.01,439.88,400.86
6.02,2,5.01,449.66,399.93
6.22,2.03,5.01,400.78,402.71
6.42,2.02,5.02,381.23,401.25
6.62,2.02,5.01,400.78,401.78
6.82,2.02,5.01,430.11,401.78
7.02,2.02,5.02,381.23,401.25
7.22,2.02,5.02,381.23,401.25
7.42,2.01,5.01,381.23,400.86
7.62,2.01,5.01,381.23,400.86
7.82,2,5.01,381.23,399.93
8.02,2.02,5.01,400.78,401.78
8.22,2.02,5.02,391.01,401.25
8.42,2.02,5.01,381.23,401.78
8.62,2.01,5.01,391.01,400.86
8.82,2.01,5.01,381.23,400.86
9.02,2.02,5.01,420.33,401.78
9.22,2.01,4.98,400.78,401.94
9.42,2.02,5.01,420.33,401.78
9.62,2.01,5.02,361.68,400.32
9.82,2.02,5.02,420.33,401.25
10.02,2.02,5.01,371.46,401.78
10.22,2.01,5.01,391.01,400.86
10.42,2.01,5.01,410.56,400.86
10.62,2,4.99,400.78,400.46
10.82,2.02,5.02,420.33,401.25
11.02,2.01,5.01,400.78,400.86
11.22,2.03,5.01,391.01,402.71
11.42,2,5.01,371.46,399.93
11.62,2.02,5.01,391.01,401.78
11.82,2.01,5.01,342.13,400.86
12.02,2.02,5.02,381.23,401.25
12.22,2.02,5.02,371.46,401.25
12.42,2.01,5.01,351.91,400.86
12.62,2.02,5.01,322.58,401.78
12.82,2,5.01,342.13,399.93
13.02,2.02,5.02,342.13,401.25
13.22,2.01,5.02,332.36,400.32
13.42,2.02,5.01,351.91,401.78
13.62,2.02,5.01,351.91,401.78
13.82,2.02,5.01,342.13,401.78
14.02,2.01,5.02,332.36,400.32
14.22,2.02,5.01,361.68,401.78
14.42,2.01,5.01,351.91,400.86
14.62,2.01,5.01,332.36,400.86
14.82,2.02,5.01,391.01,401.78
15.02,2.01,5.01,371.46,400.86
15.22,2.02,5.02,391.01,401.25
15.42,2.01,5.02,410.56,400.32
15.62,2.02,5.02,400.78,401.25
15.82,2.01,5.01,371.46,400.86
16.02,2.02,5.01,400.78,401.78
16.22,2.01,5.01,371.46,400.86
16.42,2,5.01,420.33,399.93
16.62,2.02,5.01,381.23,401.78
16.82,2.01,5.01,410.56,400.86
17.02,2.02,5.02,400.78,401.25
17.22,2,5.01,381.23,399.93
17.42,2.01,5.01,351.91,400.86
17.62,2.01,5.01,381.23,400.86
