# material: PETG
# geometry: cyl
# preform_diameter: 20.0
# material_color: Grey
# temperature_C: 183.0
# drawdown_ratio: 50.0
# trial_number: 013
# operator: Akila
# start_time: 2025-10-16 10:26:19
# notes: 
Time(s),Feed(mm/min),Wind(m/min),Diameter(um),Predicted_diameter(um)
1.22,2.01,5.02,342.13,400.32
1.42,2.01,5.02,381.23,400.32
1.62,2.00,5.02,391.01,399.39
1.82,2.00,5.02,342.13,399.39
2.02,2.01,5.02,263.93,400.32
2.22,1.99,5.03,420.33,397.93
2.42,2.01,5.02,342.13,400.32
2.62,2.01,5.03,371.46,399.79
2.82,2.00,5.01,381.23,399.93
3.02,2.00,5.03,342.13,398.86
3.22,2.00,5.03,312.81,398.86
3.42,2.01,5.03,351.91,399.79
3.62,1.99,5.03,303.03,397.93
3.82,2.00,5.03,322.58,398.86
4.02,2.00,5.03,293.26,398.86
4.22,1.99,5.02,293.26,398.46
4.42,1.99,5.03,273.70,397.93
4.62,2.00,5.03,322.58,398.86
4.82,2.01,5.03,342.13,399.79
5.02,2.00,5.03,361.68,398.86
5.22,2.01,5.03,312.81,399.79
5.42,2.01,5.03,400.78,399.79
5.62,2.00,5.03,224.83,398.86
5.82,1.99,5.03,351.91,397.93
6.02,2.00,5.03,244.38,398.86
6.22,2.00,5.03,351.91,398.86
6.42,2.00,5.03,361.68,398.86
6.62,2.00,5.03,371.46,398.86
6.82,2.00,5.01,293.26,399.93
7.02,2.00,5.03,488.76,398.86
7.22,2.00,5.02,459.43,399.39
7.42,2.00,5.03,322.58,398.86
7.62,2.01,5.02,391.01,400.32
7.82,2.01,5.03,371.46,399.79
8.02,1.99,5.03,361.68,397.93
8.22,2.01,5.03,361.68,399.79
8.42,1.99,5.03,244.38,397.93
8.62,2.01,5.03,410.56,399.79
8.82,2.00,5.03,322.58,398.86
9.02,2.01,5.03,430.11,399.79
9.22,2.01,5.03,420.33,399.79
9.42,2.00,5.03,381.23,398.86
9.62,2.00,5.05,420.33,398.33
9.82,2.00,5.05,312.81,398.33
10.02,2.01,5.03,371.46,399.79
10.22,2.00,5.03,332.36,398.86
10.42,2.01,5.03,420.33,399.79
10.62,1.99,5.03,381.23,397.93
10.82,2.00,5.03,322.58,398.86
11.02,1.99,5.03,351.91,397.93
11.22,2.00,5.03,449.66,398.86
11.42,2.01,5.05,283.48,399.25
11.62,2.00,5.03,381.23,398.86
11.82,2.00,5.03,361.68,398.86
12.02,1.99,5.03,371.46,397.93
12.22,2.01,5.05,342.13,399.25
12.42,2.00,5.03,312.81,398.86
12.62,2.00,5.03,263.93,398.86
12.82,2.01,5.05,312.81,399.25
13.02,2.01,5.05,332.36,399.25
13.22,2.01,5.05,342.13,399.25
13.42,2.01,5.05,351.91,399.25
13.62,2.00,5.05,322.58,398.33
13.82,1.99,5.03,322.58,397.93
14.02,2.00,5.05,410.56,398.33
14.22,2.00,5.03,332.36,398.86
14.42,2.01,5.05,391.01,399.25
14.62,1.99,5.06,293.26,396.87
14.82,2.00,5.06,361.68,397.80
15.02,2.00,5.05,332.36,398.33
15.22,2.00,5.05,322.58,398.33
15.42,2.00,5.06,391.01,397.80
15.62,2.01,5.05,332.36,399.25
15.82,2.01,5.06,322.58,398.72
16.02,2.00,5.06,400.78,397.80
16.22,2.00,5.07,371.46,397.27
16.42,1.99,5.05,381.23,397.40
16.62,2.00,5.07,430.11,397.27
16.82,1.99,5.06,351.91,396.87
17.02,2.00,5.06,361.68,397.80
17.22,2.00,5.09,303.03,396.75
17.42,2.01,5.06,342.13,398.72
17.62,2.01,5.07,361.68,398.20
17.82,2.00,5.06,381.23,397.80
18.02,2.01,5.09,391.01,397.67
18.22,2.00,5.06,224.83,397.80
18.42,2.00,5.09,322.58,396.75
18.62,2.00,5.07,322.58,397.27
18.82,2.00,5.06,332.36,397.80
19.02,2.00,5.07,351.91,397.27
19.22,2.00,5.07,361.68,397.27
19.42,2.01,5.07,342.13,398.20
19.62,2.00,5.07,332.36,397.27
19.82,2.01,5.07,205.28,398.20
20.02,2.00,5.06,342.13,397.80
20.22,2.01,5.07,361.68,398.20
20.42,1.99,5.06,332.36,396.87
20.62,2.00,5.07,303.03,397.27
20.82,2.00,5.07,371.46,397.27
21.02,2.00,5.07,410.56,397.27
21.22,1.99,5.07,361.68,396.35
21.42,1.99,5.06,303.03,396.87
21.62,2.00,5.07,351.91,397.27
21.82,2.00,5.07,332.36,397.27
22.02,2.01,5.07,391.01,398.20
22.22,2.00,5.07,361.68,397.27
22.42,2.01,5.09,508.31,397.67
22.62,2.00,5.09,322.58,396.75
22.82,2.01,5.07,371.46,398.20
23.02,2.00,5.07,371.46,397.27
23.22,2.01,5.10,293.26,397.15
23.42,1.99,5.09,342.13,395.83
23.62,2.00,5.09,381.23,396.75
23.82,1.99,5.09,351.91,395.83
24.02,2.01,5.10,371.46,397.15
24.22,2.00,5.10,312.81,396.23
24.42,2.00,5.09,293.26,396.75
24.62,2.00,5.09,273.70,396.75
24.82,2.00,5.10,293.26,396.23
25.02,2.00,5.10,224.83,396.23
25.22,2.01,5.10,273.70,397.15
25.42,2.00,5.10,234.60,396.23
25.62,1.99,5.10,342.13,395.30
25.82,2.01,5.10,293.26,397.15
26.02,2.00,5.10,351.91,396.23
26.22,2.00,5.10,351.91,396.23
26.42,1.99,5.10,391.01,395.30
26.62,2.00,5.10,283.48,396.23
26.82,2.00,5.11,332.36,395.71
27.02,2.01,5.11,224.83,396.63
27.22,1.99,5.11,342.13,394.78
27.42,2.00,5.10,420.33,396.23
27.62,2.01,5.10,410.56,397.15
27.82,2.00,5.10,449.66,396.23
28.02,2.00,5.10,322.58,396.23
28.22,1.99,5.10,361.68,395.30
28.42,2.00,5.14,420.33,394.67
28.62,1.99,5.11,439.88,394.78
28.82,2.00,5.11,371.46,395.71
29.02,1.99,5.11,410.56,394.78
29.22,2.00,5.14,459.43,394.67
29.42,2.00,5.13,410.56,395.19
29.62,2.00,5.13,400.78,395.19
29.82,2.00,5.13,420.33,395.19
30.02,2.00,5.15,293.26,394.16
30.22,1.99,5.13,361.68,394.27
30.42,2.01,5.14,400.78,395.59
30.62,2.00,5.14,381.23,394.67
30.82,1.99,5.14,342.13,393.75
31.02,2.00,5.14,430.11,394.67
31.22,2.00,5.15,332.36,394.16
31.42,2.01,5.14,371.46,395.59
31.62,2.00,5.14,342.13,394.67
31.82,2.01,5.11,361.68,396.63
32.02,2.00,5.13,410.56,395.19
32.22,2.01,5.14,332.36,395.59
32.42,2.00,5.13,303.03,395.19
32.62,2.00,5.14,351.91,394.67
32.82,1.99,5.14,283.48,393.75
33.02,2.01,5.15,391.01,395.07
33.22,1.99,5.15,439.88,393.24
33.42,2.00,5.17,244.38,393.65
33.62,2.00,5.15,312.81,394.16
33.82,2.00,5.17,332.36,393.65
34.02,2.01,5.18,351.91,394.05
34.22,2.00,5.17,381.23,393.65
34.42,2.01,5.21,342.13,393.03
34.62,2.00,5.19,342.13,392.63
34.82,1.99,5.21,263.93,391.21
35.02,2.01,5.18,312.81,394.05
35.22,2.00,5.21,342.13,392.12
35.42,2.00,5.21,332.36,392.12
35.62,2.00,5.19,293.26,392.63
35.82,2.01,5.18,273.70,394.05
36.02,2.00,5.18,283.48,393.13
36.22,2.00,5.18,273.70,393.13
36.42,2.00,5.18,400.78,393.13
36.62,2.00,5.18,244.38,393.13
36.82,2.01,5.18,439.88,394.05
37.02,2.01,5.19,381.23,393.54
37.22,2.00,5.18,371.46,393.13
37.42,1.99,5.18,254.15,392.22
37.62,2.00,5.18,312.81,393.13
37.82,2.00,5.19,420.33,392.63
38.02,2.01,5.17,400.78,394.56
38.22,2.00,5.17,322.58,393.65
38.42,1.99,5.18,342.13,392.22
38.62,2.00,5.17,332.36,393.65
38.82,2.01,5.18,342.13,394.05
39.02,2.00,5.19,391.01,392.63
39.22,2.00,5.19,410.56,392.63
39.42,2.00,5.17,391.01,393.65
39.62,2.01,5.18,351.91,394.05
39.82,2.00,5.17,342.13,393.65
40.02,2.00,5.17,332.36,393.65
40.22,2.01,5.18,371.46,394.05
40.42,1.99,5.18,371.46,392.22
40.62,2.00,5.18,351.91,393.13
40.82,2.00,5.17,361.68,393.65
41.02,2.00,5.17,371.46,393.65
41.22,2.01,5.17,322.58,394.56
41.42,1.99,5.17,391.01,392.73
41.62,2.00,5.17,361.68,393.65
41.82,2.00,5.18,312.81,393.13
42.02,2.00,5.17,312.81,393.65
42.22,1.99,5.17,351.91,392.73
42.42,2.01,5.15,361.68,395.07
42.62,1.99,5.17,430.11,392.73
42.82,2.01,5.17,391.01,394.56
43.02,2.00,5.17,381.23,393.65
43.22,2.00,5.15,273.70,394.16
43.42,2.01,5.18,420.33,394.05
43.62,1.99,5.18,283.48,392.22
43.82,2.00,5.19,293.26,392.63
44.02,2.00,5.18,234.60,393.13
44.22,2.01,5.13,283.48,396.11
44.42,1.99,5.11,361.68,394.78
44.62,2.01,5.11,263.93,396.63
44.82,1.99,5.11,224.83,394.78
45.02,2.01,5.10,273.70,397.15
45.22,2.00,5.11,410.56,395.71
45.42,2.00,5.10,322.58,396.23
45.62,2.00,5.10,322.58,396.23
45.82,1.99,5.09,342.13,395.83
46.02,2.01,5.10,381.23,397.15
46.22,2.01,5.10,283.48,397.15
46.42,1.99,5.09,381.23,395.83
46.62,1.99,5.09,342.13,395.83
