# material: PETG,,,,
# geometry: cyl,,,,
# preform_diameter: 20.0,,,,
# material_color: Grey,,,,
# temperature_C: 178.0,,,,
# drawdown_ratio: 50.0,,,,
# trial_number: 007,,,,
# operator: Akila,,,,
# start_time: 2025-10-14 14:22:55,,,,
# notes: ,Without cooling,,,
Time(s),Feed(mm/min),Wind(m/min),Diameter(um),Predicted_diameter(um)
1.22,2,4.99,420.33,400.46
1.42,2.01,4.98,459.43,401.94
1.62,2,4.98,371.46,401
1.82,2.01,4.98,420.33,401.94
2.02,1.99,4.98,410.56,400.07
2.22,2.01,4.98,430.11,401.94
2.42,2,4.95,459.43,402.09
2.62,2,4.98,488.76,401
2.82,2,4.97,488.76,401.55
3.02,1.99,4.98,469.21,400.07
3.22,2.01,4.98,537.63,401.94
3.42,2.01,4.98,527.86,401.94
3.62,1.99,4.98,488.76,400.07
3.82,2,4.98,508.31,401
4.02,1.99,4.98,508.31,400.07
4.22,2,4.95,527.86,402.09
4.42,2,4.97,518.08,401.55
4.62,2.01,4.98,478.98,401.94
4.82,2.01,4.99,420.33,401.39
5.02,1.99,4.98,410.56,400.07
5.22,2.01,4.98,439.88,401.94
5.42,2,4.98,420.33,401
5.62,2,4.98,391.01,401
5.82,2,4.98,351.91,401
6.02,1.99,4.98,381.23,400.07
6.22,2.01,4.98,400.78,401.94
6.42,2.01,4.98,400.78,401.94
6.62,2,4.98,332.36,401
6.82,2.01,4.98,342.13,401.94
7.02,2,4.98,351.91,401
7.22,2.01,4.98,381.23,401.94
7.42,1.99,4.98,381.23,400.07
7.62,1.99,4.98,381.23,400.07
7.82,2,4.98,342.13,401
8.02,1.99,4.98,332.36,400.07
8.22,2.01,4.98,342.13,401.94
8.42,2,4.98,381.23,401
8.62,2,4.98,371.46,401
8.82,2,4.99,332.36,400.46
9.02,2,4.98,312.81,401
9.22,2.01,4.98,342.13,401.94
9.42,1.99,4.97,371.46,400.61
9.62,2.01,4.98,371.46,401.94
9.82,2.01,4.98,391.01,401.94
10.02,1.99,4.98,391.01,400.07
10.22,2,4.98,381.23,401
10.42,2,4.98,371.46,401
10.62,2,4.98,381.23,401
10.82,2,4.98,351.91,401
11.02,1.99,4.98,332.36,400.07
11.22,2.01,4.98,332.36,401.94
11.42,2.01,4.98,342.13,401.94
11.62,1.99,4.98,371.46,400.07
11.82,2,4.98,420.33,401
12.02,1.99,4.98,420.33,400.07
12.22,2.01,4.98,439.88,401.94
12.42,2,4.98,410.56,401
12.62,2.01,4.98,410.56,401.94
12.82,2,4.98,361.68,401
13.02,2,4.98,342.13,401
13.22,2,4.99,371.46,400.46
13.42,2.01,4.98,342.13,401.94
13.62,2.01,4.98,361.68,401.94
13.82,2,4.98,361.68,401
14.02,2,4.99,410.56,400.46
14.22,2,4.98,430.11,401
14.42,2,4.98,420.33,401
14.62,2,4.98,439.88,401
14.82,1.99,4.98,400.78,400.07
15.02,2,4.98,439.88,401
15.22,2,4.99,459.43,400.46
15.42,2.01,4.98,488.76,401.94
15.62,2,4.98,449.66,401
15.82,1.99,4.98,410.56,400.07
16.02,2,4.98,420.33,401
16.22,2.01,4.98,459.43,401.94
16.42,2,4.98,430.11,401
16.62,2,4.98,391.01,401
16.82,2,4.98,381.23,401
17.02,2,4.98,400.78,401
17.22,1.99,4.98,381.23,400.07
17.42,2,4.98,381.23,401
17.62,2,4.98,391.01,401
17.82,1.99,4.98,361.68,400.07
18.02,2,4.98,381.23,401
18.22,2,4.98,361.68,401
18.42,2,4.98,391.01,401
18.62,2,4.98,400.78,401
