# material: PETG,,,,
# geometry: cyl,,,,
# preform_diameter: 20.0,,,,
# material_color: Grey,,,,
# temperature_C: 182.0,,,,
# drawdown_ratio: 50.0,,,,
# trial_number: 008,,,,
# operator: Akila,,,,
# start_time: 2025-10-15 10:51:09,,,,
# notes: ,Without Cooling - Starting time should be adjusted to 286 Seconds,,,
Time(s),Feed(mm/min),Wind(m/min),Diameter(um),Predicted_diameter(um)
0,1.98,4.83,400.78,405.19
0.2,2,4.85,381.23,406.52
0.4,1.99,4.83,381.23,406.14
0.6,2.01,4.85,430.11,407.46
0.8,1.98,4.83,400.78,405.19
1,2,4.85,391.01,406.52
1.2,1.99,4.85,391.01,405.57
1.4,1.99,4.85,391.01,405.57
1.6,1.99,4.85,381.23,405.57
1.8,2,4.85,381.23,406.52
2,1.99,4.85,361.68,405.57
2.2,2,4.85,391.01,406.52
2.4,1.99,4.83,381.23,406.14
2.6,2,4.85,361.68,406.52
2.8,2,4.85,391.01,406.52
3,2,4.85,371.46,406.52
3.2,1.99,4.85,371.46,405.57
3.4,2,4.83,371.46,407.08
3.6,1.99,4.85,351.91,405.57
3.8,2,4.85,381.23,406.52
4,2,4.85,371.46,406.52
4.2,2,4.83,361.68,407.08
4.4,2,4.85,351.91,406.52
4.6,1.98,4.85,322.58,404.62
4.8,2,4.85,351.91,406.52
5,2.01,4.85,361.68,407.46
5.2,2,4.85,371.46,406.52
5.4,1.99,4.85,332.36,405.57
5.6,2,4.85,371.46,406.52
5.8,1.98,4.85,342.13,404.62
6,1.99,4.85,381.23,405.57
6.2,1.99,4.85,342.13,405.57
6.4,2,4.83,342.13,407.08
6.6,2,4.85,351.91,406.52
6.8,2,4.85,332.36,406.52
7,1.99,4.85,332.36,405.57
7.2,2,4.85,371.46,406.52
7.4,2,4.85,400.78,406.52
7.6,1.98,4.85,322.58,404.62
7.8,2,4.85,391.01,406.52
8,1.99,4.85,361.68,405.57
8.2,2,4.85,381.23,406.52
8.4,2,4.85,381.23,406.52
8.6,1.99,4.85,391.01,405.57
8.8,1.99,4.85,400.78,405.57
9,1.98,4.82,400.78,405.75
9.2,1.99,4.85,400.78,405.57
9.4,1.99,4.83,371.46,406.14
9.6,1.99,4.85,391.01,405.57
9.8,1.99,4.86,391.01,405.01
10,2,4.85,381.23,406.52
10.2,1.98,4.85,410.56,404.62
10.4,2,4.85,430.11,406.52
10.6,1.98,4.85,381.23,404.62
10.8,2,4.83,410.56,407.08
11,1.98,4.85,381.23,404.62
11.2,1.98,4.86,391.01,404.07
11.4,1.99,4.85,391.01,405.57
11.6,1.99,4.85,371.46,405.57
11.8,2,4.85,400.78,406.52
12,2,4.85,361.68,406.52
12.2,2,4.85,391.01,406.52
12.4,1.99,4.83,381.23,406.14
12.6,2,4.85,400.78,406.52
12.8,2,4.83,391.01,407.08
13,1.99,4.83,391.01,406.14
13.2,1.99,4.85,371.46,405.57
13.4,2,4.85,381.23,406.52
13.6,2,4.85,371.46,406.52
13.8,2,4.83,371.46,407.08
14,2.01,4.85,391.01,407.46
14.2,1.99,4.83,351.91,406.14
14.4,2,4.85,371.46,406.52
14.6,2,4.85,332.36,406.52
14.8,2,4.85,361.68,406.52
15,1.98,4.85,361.68,404.62
15.2,2,4.85,371.46,406.52
15.4,1.98,4.83,342.13,405.19
15.6,2,4.85,361.68,406.52
15.8,1.98,4.83,351.91,405.19
16,2,4.85,371.46,406.52
16.2,1.99,4.85,361.68,405.57
16.4,2.01,4.85,391.01,407.46
16.6,1.99,4.85,342.13,405.57
16.8,2,4.85,361.68,406.52
17,2,4.85,361.68,406.52
17.2,1.98,4.85,371.46,404.62
17.4,1.99,4.85,361.68,405.57
17.6,2,4.83,381.23,407.08
17.8,2,4.85,410.56,406.52
18,2,4.83,391.01,407.08
18.2,2,4.85,381.23,406.52
18.4,1.99,4.86,400.78,405.01
18.6,2,4.85,420.33,406.52
18.8,1.99,4.83,391.01,406.14
19,2,4.85,410.56,406.52
19.2,1.99,4.85,400.78,405.57
19.4,2,4.85,410.56,406.52
19.6,1.99,4.83,400.78,406.14
19.8,2,4.83,400.78,407.08
20,2,4.83,430.11,407.08
20.2,2,4.85,381.23,406.52
20.4,2,4.83,371.46,407.08
20.6,2,4.83,381.23,407.08
20.8,2,4.85,381.23,406.52
21,1.98,4.85,381.23,404.62
21.2,2,4.85,400.78,406.52
21.4,1.99,4.83,381.23,406.14
21.6,2,4.85,371.46,406.52
21.8,1.99,4.85,351.91,405.57
22,2,4.85,391.01,406.52
22.2,2,4.83,381.23,407.08
22.4,1.99,4.83,410.56,406.14
22.6,1.99,4.85,391.01,405.57
22.8,2,4.85,391.01,406.52
23,1.99,4.85,371.46,405.57
23.2,1.99,4.85,361.68,405.57
23.4,1.99,4.85,371.46,405.57
23.6,2,4.83,381.23,407.08
23.8,2,4.85,371.46,406.52
24,1.98,4.85,361.68,404.62
24.2,1.99,4.85,381.23,405.57
24.4,2,4.83,381.23,407.08
24.6,2,4.85,381.23,406.52
24.8,1.99,4.83,400.78,406.14
25,2,4.85,400.78,406.52
25.2,1.99,4.85,410.56,405.57
25.4,2,4.85,391.01,406.52
25.6,1.99,4.85,391.01,405.57
25.8,1.99,4.85,430.11,405.57
26,1.98,4.85,400.78,404.62
26.2,1.99,4.85,400.78,405.57
26.4,1.98,4.85,400.78,404.62
26.6,2,4.83,420.33,407.08
26.8,2,4.85,420.33,406.52
27,1.98,4.83,430.11,405.19
27.2,2,4.85,430.11,406.52
27.4,1.99,4.83,420.33,406.14
27.6,2,4.85,410.56,406.52
27.8,1.99,4.85,391.01,405.57
28,2,4.85,381.23,406.52
28.2,2,4.83,400.78,407.08
28.4,2,4.85,400.78,406.52
28.6,1.98,4.85,361.68,404.62
28.8,2,4.85,381.23,406.52
29,1.99,4.85,351.91,405.57
29.2,2,4.85,371.46,406.52
29.4,2,4.85,361.68,406.52
29.6,1.99,4.83,381.23,406.14
29.8,1.99,4.85,391.01,405.57
30,1.99,4.85,351.91,405.57
30.2,1.99,4.83,371.46,406.14
30.4,1.99,4.83,351.91,406.14
30.6,2,4.85,351.91,406.52
30.8,2,4.85,371.46,406.52
31,1.99,4.85,361.68,405.57
31.2,1.99,4.85,361.68,405.57
31.4,1.99,4.85,381.23,405.57
31.6,1.98,4.85,371.46,404.62
31.8,1.99,4.85,391.01,405.57
32,2,4.85,381.23,406.52
32.2,2,4.85,361.68,406.52
