# material: Nylon PA6,,,,
# geometry: 3ch,,,,
# preform_diameter: 20.0,,,,
# material_color: White,,,,
# temperature_C: 295.0,,,,
# drawdown_ratio: 50.0,,,,
# trial_number: 012,,,,
# operator: Ahmed_Akila,,,,
# start_time: 2026-02-13 14:33:54,,,,
"# notes: Started at a feed speed of 2.00 mm per min and reduced it to 1.5 mm per min, the draw speed was reduced accordingly to 3.75 m per min",,,,
Time(s),Feed(mm/min),Wind(m/min),Diameter(um),Predicted_diameter(um)
1.22,2,4.99,259.04,400.46
1.42,2,5.01,259.04,399.93
1.62,2,5.01,259.04,399.93
1.82,2,5.01,254.15,399.93
2.02,2,4.98,254.15,401
2.22,1.98,5.01,254.15,398.06
2.42,2,4.99,263.93,400.46
2.62,2,4.99,268.82,400.46
2.82,1.99,5.01,263.93,399
3.02,2.01,5.01,263.93,400.86
3.22,1.98,4.99,273.7,398.6
3.42,2,5.01,283.48,399.93
3.62,1.99,4.99,278.59,399.53
3.82,1.99,5.01,293.26,399
4.02,1.99,5.01,303.03,399
4.22,2,5.01,298.14,399.93
4.42,1.99,5.01,293.26,399
4.62,2,5.02,288.37,399.39
4.82,2,4.99,298.14,400.46
5.02,1.98,4.99,283.48,398.6
5.22,2,5.01,278.59,399.93
5.42,1.98,5.01,273.7,398.06
5.62,1.99,5.01,288.37,399
5.82,1.97,4.99,268.82,397.66
6.02,2,4.99,268.82,400.46
6.22,1.99,5.01,278.59,399
6.42,1.99,4.99,263.93,399.53
6.62,2,5.01,288.37,399.93
6.82,1.99,4.99,273.7,399.53
7.02,2,5.01,273.7,399.93
7.22,1.98,5.01,249.27,398.06
7.42,1.99,4.99,259.04,399.53
7.62,2,5.01,254.15,399.93
7.82,2,4.99,244.38,400.46
8.02,1.98,5.01,239.49,398.06
8.22,2,4.99,254.15,400.46
8.42,2,5.01,259.04,399.93
8.62,1.98,4.99,263.93,398.6
8.82,1.99,5.01,283.48,399
9.02,1.99,4.99,278.59,399.53
9.22,1.99,5.02,278.59,398.46
9.42,2,5.02,254.15,399.39
9.62,2,4.99,278.59,400.46
9.82,1.99,5.01,283.48,399
10.02,1.99,4.99,273.7,399.53
10.22,2,5.01,278.59,399.93
10.42,1.99,4.99,268.82,399.53
10.62,2,5.01,259.04,399.93
10.82,2,4.99,273.7,400.46
11.02,2,5.01,273.7,399.93
11.22,2,5.01,254.15,399.93
11.42,1.99,4.99,263.93,399.53
11.62,2,5.02,263.93,399.39
11.82,1.99,4.99,273.7,399.53
12.02,2,5.01,278.59,399.93
12.22,1.99,5.01,283.48,399
12.42,2,5.01,298.14,399.93
12.62,1.98,4.99,288.37,398.6
12.82,1.99,5.01,293.26,399
13.02,1.99,5.01,283.48,399
13.22,1.97,4.98,293.26,398.2
13.42,2,5.01,278.59,399.93
13.62,1.99,4.99,288.37,399.53
13.82,2,5.01,283.48,399.93
14.02,1.99,4.99,273.7,399.53
14.22,2,5.01,278.59,399.93
14.42,1.98,4.99,263.93,398.6
14.62,2,5.01,288.37,399.93
14.82,1.99,4.99,288.37,399.53
15.02,1.99,5.01,273.7,399
15.22,2.01,5.01,268.82,400.86
15.42,1.99,4.99,268.82,399.53
15.62,1.98,5.01,263.93,398.06
15.82,1.98,4.99,263.93,398.6
16.02,2,5.01,268.82,399.93
16.22,1.98,4.99,268.82,398.6
16.42,1.99,5.01,278.59,399
16.62,1.98,4.99,268.82,398.6
16.82,1.99,4.99,278.59,399.53
17.02,2,5.01,278.59,399.93
17.22,1.99,4.99,268.82,399.53
17.42,1.99,5.01,273.7,399
17.62,2,4.99,283.48,400.46
17.82,2,4.99,273.7,400.46
18.02,1.99,5.02,278.59,398.46
18.22,1.99,4.99,263.93,399.53
18.42,2,4.99,273.7,400.46
18.62,1.98,5.01,268.82,398.06
18.82,2,5.01,263.93,399.93
19.02,1.99,5.01,273.7,399
19.22,1.99,5.01,263.93,399
19.42,1.99,4.99,263.93,399.53
19.62,2,4.99,293.26,400.46
19.82,1.99,5.01,307.92,399
20.02,1.99,5.01,293.26,399
20.22,2,5.01,298.14,399.93
20.42,1.99,4.99,293.26,399.53
20.62,2.01,5.01,303.03,400.86
20.82,1.98,5.02,273.7,397.53
21.02,2,5.01,288.37,399.93
21.22,2.01,5.01,273.7,400.86
21.42,2,4.99,283.48,400.46
21.62,1.99,5.01,278.59,399
21.82,1.99,4.99,273.7,399.53
22.02,2,5.01,283.48,399.93
22.22,2,5.01,288.37,399.93
22.42,1.99,4.99,288.37,399.53
22.62,2,5.01,268.82,399.93
22.82,1.99,5.01,288.37,399
23.02,2.01,5.01,283.48,400.86
23.22,2,4.99,268.82,400.46
23.42,2,5.01,273.7,399.93
23.62,1.98,4.99,263.93,398.6
23.82,1.99,5.01,273.7,399
24.02,1.98,5.01,263.93,398.06
24.22,2,5.01,288.37,399.93
24.42,1.99,4.99,278.59,399.53
24.62,1.99,4.99,278.59,399.53
24.82,2,4.99,298.14,400.46
25.02,1.98,4.99,273.7,398.6
25.22,1.99,4.99,283.48,399.53
25.42,2,5.01,273.7,399.93
25.62,2,5.01,278.59,399.93
25.82,1.99,5.01,259.04,399
26.02,1.99,5.02,273.7,398.46
26.22,1.98,4.99,254.15,398.6
26.42,1.99,4.99,273.7,399.53
26.62,2,5.01,268.82,399.93
26.82,1.98,4.99,259.04,398.6
27.02,2,5.01,254.15,399.93
27.22,1.99,4.99,259.04,399.53
27.42,1.99,4.99,259.04,399.53
27.62,2,5.01,254.15,399.93
27.82,2,5.01,273.7,399.93
28.02,1.99,5.01,278.59,399
28.22,1.99,4.99,263.93,399.53
28.42,2,5.01,288.37,399.93
28.62,1.98,4.98,322.58,399.13
28.82,2,5.01,317.69,399.93
29.02,2,5.02,293.26,399.39
29.22,1.99,4.99,307.92,399.53
29.42,1.99,5.02,303.03,398.46
29.62,2,4.99,293.26,400.46
29.82,2,4.98,298.14,401
30.02,1.99,5.01,293.26,399
30.22,2,5.01,298.14,399.93
30.42,1.98,5.01,307.92,398.06
30.62,1.99,4.99,278.59,399.53
30.82,2.01,5.02,273.7,400.32
31.02,2,4.99,283.48,400.46
31.22,2,5.02,288.37,399.39
31.42,1.98,4.99,278.59,398.6
31.62,1.98,5.01,278.59,398.06
31.82,1.99,5.01,263.93,399
32.02,2,5.01,283.48,399.93
32.22,1.99,5.02,273.7,398.46
32.42,1.99,4.99,263.93,399.53
32.62,2,5.01,288.37,399.93
32.82,1.99,5.01,283.48,399
33.02,2,5.01,298.14,399.93
33.22,1.99,4.99,283.48,399.53
33.42,1.99,5.01,288.37,399
33.62,1.98,5.01,268.82,398.06
33.82,2,5.01,278.59,399.93
34.02,2.01,5.01,293.26,400.86
34.22,1.99,4.99,283.48,399.53
34.42,2,5.01,288.37,399.93
34.62,1.98,4.99,283.48,398.6
34.82,2,4.99,278.59,400.46
35.02,2,5.01,278.59,399.93
35.22,1.99,5.01,293.26,399
35.42,2,5.01,288.37,399.93
35.62,1.98,4.99,278.59,398.6
35.82,1.99,5.01,293.26,399
36.02,1.99,5.01,278.59,399
36.22,2,5.01,283.48,399.93
36.42,1.99,4.99,273.7,399.53
36.62,2.01,5.03,283.48,399.79
36.82,2,5.01,273.7,399.93
37.02,1.98,4.99,268.82,398.6
37.22,1.98,4.99,273.7,398.6
37.42,2,5.02,273.7,399.39
37.62,2.01,5.01,273.7,400.86
37.82,1.99,5.01,273.7,399
