# material: Nylon PA6
# geometry: 3ch
# preform_diameter: 20.0
# material_color: White
# temperature_C: 285.0
# drawdown_ratio: 50.0
# trial_number: 014
# operator: Ahmed_Akila
# start_time: 2026-02-19 11:21:38
# notes: Feed and draw speed set to 1.5 mm per min and 3.75 m per min. Open end sealed with 3D printed cap.
Time(s),Feed(mm/min),Wind(m/min),Diameter(um),Predicted_diameter(um)
1.22,1.52,3.74,420.33,402.63
1.42,1.52,3.76,430.11,401.91
1.62,1.52,3.76,420.33,401.91
1.82,1.53,3.74,415.44,403.86
2.02,1.52,3.76,410.56,401.91
2.22,1.49,3.74,410.56,398.91
2.42,1.53,3.74,405.67,403.86
2.62,1.49,3.74,391.01,398.91
2.82,1.52,3.72,405.67,404.08
3.02,1.50,3.74,391.01,400.15
3.22,1.51,3.76,386.12,400.68
3.42,1.52,3.76,361.68,401.91
3.62,1.51,3.74,361.68,401.39
3.82,1.52,3.77,361.68,401.20
4.02,1.52,3.74,356.79,402.63
4.22,1.52,3.74,356.79,402.63
4.42,1.49,3.73,351.91,399.63
4.62,1.52,3.76,356.79,401.91
4.82,1.50,3.73,342.13,400.87
5.02,1.52,3.74,347.02,402.63
5.22,1.50,3.74,327.47,400.15
5.42,1.51,3.74,342.13,401.39
5.62,1.50,3.76,337.24,399.44
5.82,1.52,3.73,356.79,403.36
6.02,1.51,3.76,337.24,400.68
6.22,1.52,3.73,356.79,403.36
6.42,1.52,3.74,351.91,402.63
6.62,1.49,3.76,356.79,398.20
6.82,1.50,3.76,351.91,399.44
7.02,1.50,3.73,347.02,400.87
7.22,1.51,3.74,371.46,401.39
7.42,1.50,3.73,371.46,400.87
7.62,1.51,3.74,391.01,401.39
7.82,1.52,3.73,366.57,403.36
8.02,1.52,3.74,361.68,402.63
8.22,1.50,3.76,361.68,399.44
8.42,1.51,3.72,366.57,402.84
8.62,1.51,3.74,376.34,401.39
8.82,1.51,3.73,376.34,402.12
9.02,1.51,3.76,381.23,400.68
9.22,1.51,3.73,351.91,402.12
9.42,1.51,3.76,342.13,400.68
9.62,1.52,3.76,322.58,401.91
9.82,1.52,3.74,347.02,402.63
10.02,1.51,3.74,351.91,401.39
10.22,1.50,3.76,366.57,399.44
10.42,1.50,3.74,376.34,400.15
10.62,1.51,3.74,361.68,401.39
10.82,1.52,3.74,351.91,402.63
11.02,1.51,3.73,337.24,402.12
11.22,1.52,3.76,337.24,401.91
11.42,1.50,3.73,342.13,400.87
11.62,1.52,3.76,327.47,401.91
11.82,1.51,3.76,312.81,400.68
12.02,1.53,3.74,332.36,403.86
12.22,1.51,3.74,322.58,401.39
12.42,1.51,3.74,332.36,401.39
12.62,1.50,3.76,312.81,399.44
12.82,1.50,3.73,327.47,400.87
13.02,1.53,3.76,322.58,403.14
13.22,1.50,3.73,317.69,400.87
13.42,1.50,3.77,307.92,398.73
13.62,1.50,3.73,298.14,400.87
13.82,1.52,3.76,317.69,401.91
14.02,1.51,3.76,307.92,400.68
14.22,1.52,3.74,327.47,402.63
14.42,1.51,3.74,332.36,401.39
14.62,1.52,3.74,327.47,402.63
14.82,1.53,3.76,332.36,403.14
15.02,1.53,3.74,322.58,403.86
15.22,1.53,3.76,347.02,403.14
15.42,1.50,3.73,332.36,400.87
15.62,1.51,3.76,332.36,400.68
15.82,1.52,3.74,322.58,402.63
16.02,1.51,3.74,322.58,401.39
16.22,1.50,3.74,303.03,400.15
