# material: Nylon PA6
# geometry: 3ch
# preform_diameter: 20.0
# material_color: White
# temperature_C: 290.0
# drawdown_ratio: 50.0
# trial_number: 015
# operator: Ahmed_Akila
# start_time: 2026-02-19 13:14:45
# notes: Slower speed than 014
Time(s),Feed(mm/min),Wind(m/min),Diameter(um),Predicted_diameter(um)
1.22,1.21,3.05,493.65,398.63
1.42,1.20,3.03,498.53,397.98
1.62,1.21,3.05,483.87,398.63
1.82,1.18,3.03,454.55,394.88
2.02,1.21,3.05,464.32,398.63
2.22,1.19,3.02,454.55,397.31
2.42,1.21,3.07,478.98,396.89
2.62,1.19,3.02,478.98,397.31
2.82,1.21,3.06,469.21,397.76
3.02,1.20,3.05,478.98,397.10
3.22,1.20,3.06,488.76,396.23
3.42,1.20,3.03,474.10,397.98
3.62,1.19,3.06,498.53,394.69
3.82,1.21,3.05,527.86,398.63
4.02,1.20,3.03,532.75,397.98
4.22,1.20,3.05,547.41,397.10
4.42,1.19,3.03,547.41,396.43
4.62,1.21,3.06,547.41,397.76
4.82,1.20,3.05,542.52,397.10
5.02,1.21,3.05,532.75,398.63
5.22,1.21,3.03,503.42,399.52
5.42,1.19,3.05,469.21,395.56
5.62,1.21,3.03,483.87,399.52
5.82,1.19,3.03,474.10,396.43
6.02,1.21,3.06,493.65,397.76
6.22,1.20,3.03,483.87,397.98
6.42,1.21,3.06,483.87,397.76
6.62,1.19,3.03,493.65,396.43
6.82,1.21,3.05,488.76,398.63
7.02,1.17,3.02,488.76,394.19
7.22,1.20,3.05,474.10,397.10
7.42,1.21,3.05,478.98,398.63
7.62,1.19,3.05,469.21,395.56
7.82,1.20,3.06,478.98,396.23
8.02,1.20,3.02,469.21,398.86
8.22,1.20,3.03,474.10,397.98
8.42,1.21,3.03,474.10,399.52
8.62,1.20,3.05,488.76,397.10
8.82,1.19,3.03,483.87,396.43
9.02,1.19,3.05,493.65,395.56
9.22,1.20,3.02,488.76,398.86
9.42,1.21,3.03,488.76,399.52
9.62,1.20,3.05,478.98,397.10
9.82,1.21,3.06,469.21,397.76
10.02,1.20,3.03,464.32,397.98
10.22,1.21,3.06,459.43,397.76
10.42,1.21,3.05,469.21,398.63
10.62,1.19,3.05,469.21,395.56
10.82,1.20,3.03,493.65,397.98
11.02,1.19,3.03,459.43,396.43
11.22,1.21,3.05,474.10,398.63
11.42,1.19,3.03,454.55,396.43
11.62,1.20,3.06,439.88,396.23
11.82,1.21,3.02,435.00,400.40
