# material: Nylon PA6
# geometry: 3ch Spiral
# preform_diameter: 20.0
# material_color: White
# temperature_C: 290.0
# drawdown_ratio: 50.0
# trial_number: 016
# operator: Ahmed_Akila
# start_time: 2026-02-20 11:20:52
# notes: 
Time(s),Feed(mm/min),Wind(m/min),Diameter(um),Predicted_diameter(um)
1.22,1.18,3.01,606.06,396.64
1.42,1.15,3.03,532.75,390.19
1.62,1.16,3.01,513.20,393.50
1.82,1.16,3.03,518.08,391.76
2.02,1.17,3.01,469.21,395.07
2.22,1.17,3.05,464.32,392.45
2.42,1.15,3.02,454.55,389.47
2.62,1.18,3.05,454.55,394.01
2.82,1.16,3.01,449.66,393.50
3.02,1.18,3.02,454.55,395.76
3.22,1.16,3.02,459.43,392.63
3.42,1.15,3.02,444.77,391.05
3.62,1.16,3.01,444.77,393.50
3.82,1.16,3.03,425.22,391.76
4.02,1.17,3.05,435.00,392.45
4.22,1.16,3.03,425.22,391.76
4.42,1.16,3.01,400.78,393.50
4.62,1.17,3.05,425.22,392.45
4.82,1.16,3.02,420.33,392.63
5.02,1.18,3.03,415.44,394.88
5.22,1.16,3.02,420.33,392.63
5.42,1.15,3.02,405.67,391.05
5.62,1.15,3.01,410.56,391.92
5.82,1.16,3.03,420.33,391.76
6.02,1.16,3.01,425.22,393.50
6.22,1.17,3.02,435.00,394.19
6.42,1.17,3.03,435.00,393.32
6.62,1.17,3.03,420.33,393.32
6.82,1.16,3.02,425.22,392.63
7.02,1.18,3.03,405.67,394.88
7.22,1.17,3.03,503.42,393.32
7.42,1.17,3.03,469.21,393.32
7.62,1.17,3.03,469.21,393.32
7.82,1.15,3.02,464.32,391.05
8.02,1.17,3.03,454.55,393.32
8.22,1.15,3.01,430.11,391.92
8.42,1.17,3.02,435.00,394.19
8.62,1.15,3.02,439.88,391.05
8.82,1.17,3.03,439.88,393.32
9.02,1.15,3.01,415.44,391.92
9.22,1.16,3.03,420.33,391.76
9.42,1.16,3.01,410.56,393.50
9.62,1.18,3.03,395.89,394.88
9.82,1.15,3.03,410.56,390.19
10.02,1.18,3.03,435.00,394.88
10.22,1.16,3.01,430.11,393.50
10.42,1.17,3.03,430.11,393.32
10.62,1.16,3.01,444.77,393.50
10.82,1.18,3.03,435.00,394.88
11.02,1.15,3.03,430.11,390.19
11.22,1.18,3.03,435.00,394.88
11.42,1.15,3.05,439.88,389.33
11.62,1.18,3.03,444.77,394.88
11.82,1.16,3.01,454.55,393.50
12.02,1.18,3.05,459.43,394.01
12.22,1.15,3.02,439.88,391.05
12.42,1.17,3.05,469.21,392.45
12.62,1.16,3.02,478.98,392.63
12.82,1.17,3.03,488.76,393.32
13.02,1.16,3.02,488.76,392.63
13.22,1.16,3.03,474.10,391.76
13.42,1.15,3.01,454.55,391.92
13.62,1.17,3.02,469.21,394.19
