# material: PETG,,,,
# geometry: cyl,,,,
# preform_diameter: 20.0,,,,
# material_color: Clear,,,,
# temperature_C: 137.0,,,,
# drawdown_ratio: 50.0,,,,
# trial_number: 029,,,,
# operator: Akila,,,,
# start_time: 2025-10-24 11:35:46,,,,
# notes: ,,,,
Time(s),Feed(mm/min),Wind(m/min),Diameter(um),Predicted_diameter(um)
1.22,2.03,4.99,263.93,403.25
1.42,2.01,5.01,254.15,400.86
1.62,2.01,4.99,205.28,401.39
1.82,2.01,5.01,215.05,400.86
2.02,2.01,5.01,215.05,400.86
2.22,2.02,5.01,273.7,401.78
2.42,2.02,5.01,254.15,401.78
2.62,2.01,5.01,273.7,400.86
2.82,2.02,4.99,263.93,402.32
3.02,2.02,5.02,254.15,401.25
3.22,2,4.99,244.38,400.46
3.42,2.01,5.01,234.6,400.86
3.62,2.01,4.99,224.83,401.39
3.82,2.02,5.01,234.6,401.78
4.02,2,4.99,234.6,400.46
4.22,2.01,4.99,234.6,401.39
4.42,2.01,4.99,215.05,401.39
4.62,2.02,5.01,254.15,401.78
4.82,2.02,5.01,234.6,401.78
5.02,2.02,5.01,234.6,401.78
5.22,2.02,5.01,244.38,401.78
5.42,2.02,5.02,244.38,401.25
5.62,2.01,5.01,175.95,400.86
5.82,2.01,5.01,205.28,400.86
6.02,2.01,4.99,195.5,401.39
6.22,2.02,5.01,224.83,401.78
6.42,2.01,4.99,234.6,401.39
6.62,2.02,5.01,234.6,401.78
6.82,2.01,4.99,254.15,401.39
7.02,2.02,5.01,234.6,401.78
7.22,2,4.99,195.5,400.46
7.42,2.01,5.01,185.73,400.86
7.62,2.02,4.99,195.5,402.32
7.82,2.02,5.02,215.05,401.25
8.02,2.01,4.99,205.28,401.39
8.22,2.02,5.01,234.6,401.78
8.42,2.01,4.99,244.38,401.39
8.62,2.02,5.01,205.28,401.78
8.82,2.01,4.99,224.83,401.39
9.02,2.01,5.01,224.83,400.86
9.22,2,4.99,224.83,400.46
9.42,2.02,5.01,234.6,401.78
9.62,2.01,5.01,224.83,400.86
9.82,2.02,5.01,234.6,401.78
10.02,2.02,4.99,234.6,402.32
10.22,2.02,4.98,215.05,402.86
