# material: Nylon PA6,,,,
# geometry: cyl,,,,
# preform_diameter: 20.0,,,,
# material_color: White,,,,
# temperature_C: 208.0,,,,
# drawdown_ratio: 50.0,,,,
# trial_number: 034,,,,
# operator: Akila,,,,
# start_time: 2025-10-29 11:17:11,,,,
# notes: Open ended Preform,,,,
Time(s),Feed(mm/min),Wind(m/min),Diameter(um),Predicted_diameter(um)
1.22,2.02,5.22,332.36,393.43
1.42,2.01,5.22,273.7,392.53
1.62,2.01,5.22,283.48,392.53
1.82,2.01,5.22,263.93,392.53
2.02,2.01,5.19,273.7,393.54
2.22,2.02,5.22,303.03,393.43
2.42,2.01,5.23,293.26,392.02
2.62,2,5.23,293.26,391.11
2.82,2.01,5.23,283.48,392.02
3.02,2.02,5.23,263.93,392.93
3.22,2.01,5.22,293.26,392.53
3.42,2.02,5.22,312.81,393.43
3.62,2.02,5.23,312.81,392.93
3.82,2.01,5.23,322.58,392.02
4.02,2.02,5.23,351.91,392.93
4.22,2.01,5.23,351.91,392.02
4.42,2.01,5.22,351.91,392.53
4.62,2.02,5.21,381.23,393.94
4.82,2.02,5.22,400.78,393.43
5.02,2.01,5.23,371.46,392.02
5.22,2.01,5.22,420.33,392.53
5.42,2.02,5.23,449.66,392.93
5.62,2.01,5.23,430.11,392.02
5.82,2.01,5.23,449.66,392.02
6.02,2.02,5.22,420.33,393.43
6.22,2,5.22,400.78,391.62
6.42,2.02,5.22,420.33,393.43
6.62,2.01,5.22,420.33,392.53
6.82,2.01,5.22,332.36,392.53
7.02,2.02,5.22,400.78,393.43
7.22,2.02,5.22,410.56,393.43
7.42,2.01,5.22,351.91,392.53
7.62,2.01,5.22,332.36,392.53
7.82,2.02,5.22,342.13,393.43
8.02,2,5.22,332.36,391.62
8.22,2.02,5.22,332.36,393.43
8.42,2.01,5.22,322.58,392.53
8.62,2,5.22,361.68,391.62
8.82,2.01,5.22,332.36,392.53
9.02,2.02,5.22,351.91,393.43
9.22,2,5.23,312.81,391.11
9.42,2.02,5.23,361.68,392.93
9.62,2.01,5.22,342.13,392.53
9.82,2.01,5.21,322.58,393.03
10.02,2.02,5.21,312.81,393.94
10.22,2.01,5.21,322.58,393.03
10.42,2.01,5.21,303.03,393.03
10.62,2.02,5.22,322.58,393.43
10.82,2.02,5.21,312.81,393.94
11.02,2.02,5.22,322.58,393.43
11.22,2,5.22,332.36,391.62
11.42,2.01,5.19,332.36,393.54
11.62,2.01,5.22,303.03,392.53
11.82,2.02,5.22,215.05,393.43
12.02,2.01,5.21,312.81,393.03
12.22,2.02,5.22,361.68,393.43
12.42,2,5.21,273.7,392.12
12.62,2.01,5.21,332.36,393.03
12.82,2.01,5.21,332.36,393.03
13.02,2,5.21,283.48,392.12
13.22,2.02,5.21,322.58,393.94
13.42,2.02,5.22,361.68,393.43
13.62,2,5.22,322.58,391.62
13.82,2.01,5.22,312.81,392.53
14.02,2.01,5.22,342.13,392.53
14.22,2,5.22,312.81,391.62
14.42,2.01,5.22,312.81,392.53
14.62,2.01,5.22,342.13,392.53
14.82,2.02,5.22,332.36,393.43
15.02,2.01,5.22,312.81,392.53
15.22,2.02,5.22,293.26,393.43
15.42,2.01,5.22,303.03,392.53
15.62,2,5.22,283.48,391.62
15.82,2.01,5.21,263.93,393.03
16.02,2.02,5.22,322.58,393.43
16.22,2.01,5.22,254.15,392.53
16.42,2.01,5.21,293.26,393.03
16.62,2.01,5.21,312.81,393.03
16.82,2.01,5.21,312.81,393.03
17.02,2.02,5.22,293.26,393.43
17.22,2.02,5.21,342.13,393.94
17.42,2.01,5.21,303.03,393.03
17.62,2,5.22,322.58,391.62
17.82,2.01,5.22,312.81,392.53
18.02,2,5.23,293.26,391.11
18.22,2.02,5.22,322.58,393.43
18.42,2.01,5.23,293.26,392.02
18.62,2.01,5.23,263.93,392.02
18.82,2.02,5.23,312.81,392.93
19.02,2,5.22,283.48,391.62
19.22,2.01,5.23,361.68,392.02
