# material: Nylon PA6
# geometry: 7ch cyl
# preform_diameter: 20.0
# material_color: White
# temperature_C: 203.0
# drawdown_ratio: 50.0
# trial_number: 047
# operator: Akila
# start_time: 2025-11-07 13:40:49
# notes: Both ends sealed close. The feed speed at 1.5 mm per minute while the draw speed is at 3.75 m per minute.
Time(s),Feed(mm/min),Wind(m/min),Diameter(um),Predicted_diameter(um)
1.22,1.50,3.74,283.48,400.15
1.42,1.52,3.76,283.48,401.91
1.62,1.49,3.76,254.15,398.20
1.82,1.50,3.74,283.48,400.15
2.02,1.51,3.76,283.48,400.68
2.22,1.50,3.74,254.15,400.15
2.42,1.52,3.74,273.70,402.63
2.62,1.51,3.73,254.15,402.12
2.82,1.52,3.76,263.93,401.91
3.02,1.49,3.74,254.15,398.91
3.22,1.51,3.74,254.15,401.39
3.42,1.51,3.74,273.70,401.39
3.62,1.51,3.74,244.38,401.39
3.82,1.50,3.76,234.60,399.44
4.02,1.51,3.76,263.93,400.68
4.22,1.50,3.77,254.15,398.73
4.42,1.50,3.74,273.70,400.15
4.62,1.52,3.76,283.48,401.91
4.82,1.51,3.73,263.93,402.12
5.02,1.51,3.74,273.70,401.39
5.22,1.49,3.74,244.38,398.91
5.42,1.52,3.76,244.38,401.91
5.62,1.50,3.73,254.15,400.87
5.82,1.52,3.74,273.70,402.63
6.02,1.49,3.74,263.93,398.91
6.22,1.52,3.74,293.26,402.63
6.42,1.50,3.74,263.93,400.15
6.62,1.51,3.74,283.48,401.39
6.82,1.51,3.74,293.26,401.39
7.02,1.52,3.74,273.70,402.63
7.22,1.51,3.74,263.93,401.39
7.42,1.51,3.76,263.93,400.68
7.62,1.51,3.74,293.26,401.39
7.82,1.51,3.73,273.70,402.12
8.02,1.49,3.74,273.70,398.91
8.22,1.49,3.74,283.48,398.91
8.42,1.51,3.77,312.81,399.96
8.62,1.50,3.72,293.26,401.60
8.82,1.52,3.76,322.58,401.91
9.02,1.50,3.76,303.03,399.44
9.22,1.52,3.76,303.03,401.91
9.42,1.52,3.76,293.26,401.91
9.62,1.51,3.74,312.81,401.39
9.82,1.49,3.76,293.26,398.20
10.02,1.51,3.74,303.03,401.39
10.22,1.50,3.74,293.26,400.15
10.42,1.51,3.74,303.03,401.39
10.62,1.52,3.74,293.26,402.63
10.82,1.51,3.73,303.03,402.12
11.02,1.52,3.76,293.26,401.91
11.22,1.49,3.74,273.70,398.91
11.42,1.50,3.74,283.48,400.15
11.62,1.51,3.76,273.70,400.68
11.82,1.51,3.74,273.70,401.39
12.02,1.50,3.76,263.93,399.44
12.22,1.51,3.74,273.70,401.39
12.42,1.50,3.73,263.93,400.87
12.62,1.51,3.76,263.93,400.68
12.82,1.51,3.76,283.48,400.68
13.02,1.51,3.74,263.93,401.39
13.22,1.52,3.76,263.93,401.91
13.42,1.52,3.74,244.38,402.63
13.62,1.50,3.76,254.15,399.44
13.82,1.51,3.74,244.38,401.39
14.02,1.50,3.74,273.70,400.15
14.22,1.49,3.74,244.38,398.91
14.42,1.52,3.74,254.15,402.63
14.62,1.49,3.74,263.93,398.91
14.82,1.51,3.74,263.93,401.39
15.02,1.49,3.76,244.38,398.20
15.22,1.52,3.74,263.93,402.63
15.42,1.50,3.76,273.70,399.44
15.62,1.51,3.76,263.93,400.68
15.82,1.52,3.74,273.70,402.63
16.02,1.51,3.73,263.93,402.12
16.22,1.52,3.74,283.48,402.63
16.42,1.52,3.74,293.26,402.63
16.62,1.52,3.74,283.48,402.63
16.82,1.51,3.74,293.26,401.39
17.02,1.51,3.74,273.70,401.39
17.22,1.51,3.76,293.26,400.68
17.42,1.51,3.74,293.26,401.39
17.62,1.51,3.74,312.81,401.39
17.82,1.50,3.74,303.03,400.15
18.02,1.52,3.76,312.81,401.91
18.22,1.51,3.73,332.36,402.12
18.42,1.51,3.74,322.58,401.39
18.62,1.50,3.73,312.81,400.87
18.82,1.51,3.76,342.13,400.68
19.02,1.52,3.74,312.81,402.63
19.22,1.52,3.74,312.81,402.63
19.42,1.50,3.74,312.81,400.15
19.62,1.51,3.74,342.13,401.39
19.82,1.50,3.74,322.58,400.15
20.02,1.51,3.76,342.13,400.68
20.22,1.52,3.76,312.81,401.91
20.42,1.50,3.74,322.58,400.15
20.62,1.51,3.76,322.58,400.68
20.82,1.50,3.73,332.36,400.87
21.02,1.50,3.74,322.58,400.15
21.22,1.50,3.76,332.36,399.44
21.42,1.51,3.74,322.58,401.39
21.62,1.50,3.76,293.26,399.44
21.82,1.50,3.73,293.26,400.87
22.02,1.52,3.74,312.81,402.63
22.22,1.51,3.73,273.70,402.12
22.42,1.52,3.74,273.70,402.63
22.62,1.51,3.74,293.26,401.39
22.82,1.52,3.74,293.26,402.63
23.02,1.50,3.74,263.93,400.15
23.22,1.52,3.76,283.48,401.91
23.42,1.51,3.76,263.93,400.68
23.62,1.50,3.76,273.70,399.44
23.82,1.52,3.76,273.70,401.91
24.02,1.51,3.73,263.93,402.12
24.22,1.51,3.76,283.48,400.68
24.42,1.51,3.74,234.60,401.39
24.62,1.50,3.76,254.15,399.44
24.82,1.50,3.73,234.60,400.87
25.02,1.51,3.74,263.93,401.39
25.22,1.51,3.74,244.38,401.39
25.42,1.52,3.74,263.93,402.63
25.62,1.50,3.73,263.93,400.87
25.82,1.51,3.74,244.38,401.39
26.02,1.52,3.76,254.15,401.91
26.22,1.52,3.74,244.38,402.63
26.42,1.51,3.76,224.83,400.68
26.62,1.50,3.73,205.28,400.87
26.82,1.52,3.76,215.05,401.91
27.02,1.51,3.73,234.60,402.12
27.22,1.52,3.74,234.60,402.63
27.42,1.49,3.76,215.05,398.20
27.62,1.52,3.74,224.83,402.63
27.82,1.51,3.73,195.50,402.12
28.02,1.50,3.74,224.83,400.15
28.22,1.50,3.76,234.60,399.44
28.42,1.52,3.74,215.05,402.63
28.62,1.51,3.76,234.60,400.68
28.82,1.49,3.74,215.05,398.91
29.02,1.51,3.74,234.60,401.39
29.22,1.50,3.74,205.28,400.15
29.42,1.51,3.74,224.83,401.39
29.62,1.50,3.73,195.50,400.87
29.82,1.51,3.73,224.83,402.12
30.02,1.51,3.73,224.83,402.12
30.22,1.50,3.74,205.28,400.15
30.42,1.52,3.76,195.50,401.91
30.62,1.52,3.73,205.28,403.36
30.82,1.52,3.76,224.83,401.91
31.02,1.49,3.76,224.83,398.20
31.22,1.51,3.74,224.83,401.39
31.42,1.50,3.74,195.50,400.15
31.62,1.51,3.73,224.83,402.12
31.82,1.51,3.76,224.83,400.68
32.02,1.51,3.73,215.05,402.12
32.22,1.51,3.76,234.60,400.68
32.42,1.51,3.74,215.05,401.39
32.62,1.52,3.76,244.38,401.91
32.82,1.51,3.73,215.05,402.12
33.02,1.51,3.74,205.28,401.39
33.22,1.49,3.76,215.05,398.20
33.42,1.51,3.74,224.83,401.39
33.62,1.51,3.76,224.83,400.68
33.82,1.51,3.74,215.05,401.39
34.02,1.51,3.76,224.83,400.68
34.22,1.50,3.74,254.15,400.15
34.42,1.52,3.76,215.05,401.91
34.62,1.50,3.73,234.60,400.87
34.82,1.51,3.74,224.83,401.39
35.02,1.52,3.76,224.83,401.91
35.22,1.52,3.74,234.60,402.63
35.42,1.50,3.73,244.38,400.87
35.62,1.51,3.74,244.38,401.39
35.82,1.51,3.74,254.15,401.39
36.02,1.51,3.74,244.38,401.39
36.22,1.51,3.76,244.38,400.68
36.42,1.50,3.73,254.15,400.87
36.62,1.50,3.76,234.60,399.44
36.82,1.49,3.74,234.60,398.91
37.02,1.51,3.76,254.15,400.68
37.22,1.50,3.74,224.83,400.15
37.42,1.51,3.73,224.83,402.12
37.62,1.52,3.74,254.15,402.63
37.82,1.51,3.76,254.15,400.68
38.02,1.51,3.76,254.15,400.68
38.22,1.50,3.74,215.05,400.15
38.42,1.50,3.74,244.38,400.15
38.62,1.50,3.73,224.83,400.87
38.82,1.51,3.74,254.15,401.39
39.02,1.51,3.76,244.38,400.68
39.22,1.52,3.74,254.15,402.63
39.42,1.50,3.74,254.15,400.15
39.62,1.51,3.76,283.48,400.68
39.82,1.50,3.74,351.91,400.15
40.02,1.52,3.73,283.48,403.36
40.22,1.51,3.76,263.93,400.68
40.42,1.51,3.74,244.38,401.39
40.62,1.50,3.74,263.93,400.15
40.82,1.50,3.73,254.15,400.87
41.02,1.52,3.74,263.93,402.63
41.22,1.51,3.73,234.60,402.12
41.42,1.52,3.74,273.70,402.63
41.62,1.51,3.76,263.93,400.68
41.82,1.51,3.74,215.05,401.39
42.02,1.51,3.76,244.38,400.68
42.22,1.51,3.73,234.60,402.12
42.42,1.52,3.74,234.60,402.63
42.62,1.50,3.73,224.83,400.87
42.82,1.50,3.74,254.15,400.15
43.02,1.50,3.73,224.83,400.87
43.22,1.52,3.74,244.38,402.63
43.42,1.50,3.76,234.60,399.44
43.62,1.51,3.74,254.15,401.39
43.82,1.50,3.74,234.60,400.15
44.02,1.51,3.74,234.60,401.39
