# material: Nylon PA6
# geometry: cyl
# preform_diameter: 20.0
# material_color: White
# temperature_C: 210.0
# drawdown_ratio: 50.0
# trial_number: 049
# operator: Akila
# start_time: 2025-11-10 13:33:13
# notes: Same as 047 
Time(s),Feed(mm/min),Wind(m/min),Diameter(um),Predicted_diameter(um)
1.22,1.51,3.74,498.53,401.39
1.42,1.49,3.76,439.88,398.20
1.62,1.51,3.74,498.53,401.39
1.82,1.51,3.76,498.53,400.68
2.02,1.51,3.73,498.53,402.12
2.22,1.51,3.74,459.43,401.39
2.42,1.51,3.76,400.78,400.68
2.62,1.51,3.76,430.11,400.68
2.82,1.50,3.74,381.23,400.15
3.02,1.52,3.74,391.01,402.63
3.22,1.51,3.73,361.68,402.12
3.42,1.49,3.74,371.46,398.91
3.62,1.50,3.73,400.78,400.87
3.82,1.50,3.76,361.68,399.44
4.02,1.50,3.76,391.01,399.44
4.22,1.50,3.74,391.01,400.15
4.42,1.49,3.73,381.23,399.63
4.62,1.51,3.74,400.78,401.39
4.82,1.51,3.74,361.68,401.39
5.02,1.50,3.74,400.78,400.15
5.22,1.52,3.74,459.43,402.63
5.42,1.51,3.74,449.66,401.39
5.62,1.51,3.73,420.33,402.12
5.82,1.51,3.74,498.53,401.39
6.02,1.50,3.73,478.98,400.87
6.22,1.51,3.74,498.53,401.39
6.42,1.51,3.74,615.84,401.39
6.62,1.51,3.76,674.49,400.68
6.82,1.51,3.73,821.11,402.12
7.02,1.52,3.76,791.79,401.91
7.22,1.51,3.76,752.69,400.68
7.42,1.51,3.76,0.00,400.68
7.62,1.51,3.74,733.14,401.39
7.82,1.51,3.74,742.91,401.39
8.02,1.51,3.73,703.81,402.12
8.22,1.52,3.73,654.94,403.36
8.42,1.51,3.74,625.61,401.39
8.62,1.51,3.76,645.16,400.68
8.82,1.51,3.74,606.06,401.39
9.02,1.51,3.76,566.96,400.68
9.22,1.50,3.74,498.53,400.15
9.42,1.49,3.76,527.86,398.20
9.62,1.51,3.76,537.63,400.68
9.82,1.52,3.76,547.41,401.91
10.02,1.51,3.73,527.86,402.12
10.22,1.51,3.74,459.43,401.39
10.42,1.50,3.74,527.86,400.15
10.62,1.52,3.76,488.76,401.91
10.82,1.52,3.74,469.21,402.63
11.02,1.51,3.74,0.00,401.39
11.22,1.50,3.76,0.00,399.44
11.42,1.51,3.76,0.00,400.68
11.62,1.51,3.74,0.00,401.39
11.82,1.49,3.76,0.00,398.20
12.02,1.52,3.76,0.00,401.91
12.22,1.50,3.74,0.00,400.15
12.42,1.50,3.74,0.00,400.15
12.62,1.50,3.73,0.00,400.87
