# material: Nylon PA6
# geometry: Solid Cylinder
# preform_diameter: 20.0
# material_color: White
# temperature_C: 29085.0
# drawdown_ratio: 50.0
# trial_number: 050_8
# operator: Akila_Ahmed
# start_time: 2026-06-03 13:10:39
# notes: Feed and Draw speeds set to 1.2 mm per min and 3.0 m per min. 0.3 mm Layer Thickness Experiment.
Time(s),Feed(mm/min),Wind(m/min),Diameter(um),Predicted_diameter(um)
1.22,1.28,3.07,0.00,407.44
1.42,1.26,3.05,0.00,406.23
1.62,1.26,3.06,0.00,405.34
1.82,1.28,3.06,0.00,409.82
2.02,1.26,3.07,0.00,404.45
2.22,1.25,3.07,0.00,402.95
2.42,1.27,3.03,0.00,408.63
2.62,1.28,3.09,0.00,406.55
2.82,1.25,3.05,0.00,404.72
3.02,1.26,3.05,0.00,406.23
3.22,1.28,3.07,0.00,407.44
3.42,1.26,3.06,0.00,405.34
3.62,1.26,3.06,0.00,405.34
3.82,1.28,3.07,0.00,407.44
4.02,1.27,3.06,0.00,406.83
4.22,1.28,3.07,0.00,407.44
4.42,1.28,3.05,0.00,409.23
4.62,1.28,3.07,0.00,407.44
4.82,1.25,3.05,0.00,404.72
5.02,1.21,2.99,322.58,402.19
5.22,1.19,2.98,322.58,399.99
5.42,1.21,2.99,337.24,402.19
5.62,1.22,2.99,332.36,403.74
5.82,1.20,2.97,337.24,402.45
6.02,1.21,2.99,351.91,402.19
6.22,1.20,2.99,337.24,400.64
6.42,1.22,2.99,327.47,403.74
6.62,1.21,2.99,342.13,402.19
6.82,1.17,2.99,327.47,395.96
7.02,1.21,2.99,307.92,402.19
7.22,1.20,2.98,312.81,401.55
7.42,1.21,2.99,317.69,402.19
7.62,1.20,2.99,332.36,400.64
7.82,1.21,2.97,351.91,404.01
8.02,1.19,2.99,356.79,399.09
8.22,1.20,2.99,332.36,400.64
8.42,1.22,2.97,361.68,405.56
8.62,1.21,2.99,391.01,402.19
8.82,1.18,2.99,347.02,397.53
9.02,1.20,2.98,322.58,401.55
9.22,1.21,2.98,312.81,403.10
9.42,1.18,2.97,303.03,399.32
9.62,1.22,2.99,303.03,403.74
9.82,1.22,2.97,303.03,405.56
10.02,1.20,2.99,332.36,400.64
10.22,1.19,2.99,322.58,399.09
10.42,1.20,2.99,327.47,400.64
10.62,1.21,2.98,332.36,403.10
10.82,1.19,2.99,327.47,399.09
11.02,1.20,2.98,332.36,401.55
11.22,1.22,3.01,327.47,402.84
11.42,1.20,2.99,307.92,400.64
11.62,1.20,2.98,307.92,401.55
11.82,1.22,2.99,278.59,403.74
12.02,1.20,2.99,298.14,400.64
12.22,1.20,2.99,303.03,400.64
12.42,1.19,2.98,298.14,399.99
12.62,1.20,2.98,293.26,401.55
12.82,1.21,2.99,288.37,402.19
13.02,1.20,2.97,288.37,402.45
13.22,1.20,2.98,278.59,401.55
13.42,1.21,2.99,268.82,402.19
13.62,1.21,2.97,298.14,404.01
13.82,1.21,2.98,298.14,403.10
14.02,1.19,2.97,283.48,400.89
14.22,1.20,2.99,307.92,400.64
14.42,1.18,2.98,322.58,398.42
14.62,1.21,2.98,317.69,403.10
14.82,1.20,2.99,312.81,400.64
15.02,1.19,2.97,322.58,400.89
15.22,1.22,2.99,317.69,403.74
15.42,1.21,2.99,312.81,402.19
15.62,1.21,2.95,322.58,404.93
15.82,1.21,2.99,337.24,402.19
16.02,1.20,2.98,342.13,401.55
16.22,1.20,3.01,342.13,399.75
16.42,1.21,2.99,351.91,402.19
16.62,1.19,2.95,337.24,401.80
16.82,1.20,2.98,337.24,401.55
17.02,1.19,2.97,327.47,400.89
17.22,1.21,2.98,342.13,403.10
17.42,1.19,2.98,327.47,399.99
17.62,1.21,2.97,361.68,404.01
17.82,1.21,2.98,351.91,403.10
18.02,1.17,2.97,337.24,397.75
18.22,1.21,2.99,322.58,402.19
18.42,1.21,3.02,322.58,400.40
18.62,1.19,3.01,312.81,398.20
18.82,1.20,2.99,312.81,400.64
19.02,1.20,2.97,293.26,402.45
19.22,1.20,2.99,298.14,400.64
19.42,1.21,2.98,288.37,403.10
19.62,1.20,2.97,298.14,402.45
19.82,1.20,2.99,293.26,400.64
20.02,1.20,2.97,288.37,402.45
20.22,1.20,2.97,312.81,402.45
20.42,1.20,2.99,298.14,400.64
20.62,1.19,2.99,268.82,399.09
20.82,1.21,2.98,283.48,403.10
21.02,1.19,3.01,268.82,398.20
21.22,1.18,2.98,283.48,398.42
21.42,1.21,2.97,293.26,404.01
21.62,1.19,2.99,278.59,399.09
21.82,1.20,2.98,298.14,401.55
22.02,1.21,3.01,278.59,401.29
22.22,1.20,2.95,293.26,403.37
22.42,1.20,2.98,278.59,401.55
22.62,1.20,3.01,293.26,399.75
22.82,1.20,2.99,273.70,400.64
23.02,1.21,3.01,293.26,401.29
23.22,1.19,2.97,288.37,400.89
23.42,1.19,2.99,283.48,399.09
23.62,1.21,2.99,278.59,402.19
23.82,1.20,2.97,283.48,402.45
24.02,1.22,2.99,283.48,403.74
24.22,1.19,2.98,303.03,399.99
24.42,1.20,2.98,312.81,401.55
24.62,1.21,2.99,307.92,402.19
24.82,1.20,2.99,307.92,400.64
25.02,1.21,2.99,317.69,402.19
25.22,1.20,2.99,288.37,400.64
25.42,1.17,2.97,293.26,397.75
25.62,1.20,2.95,288.37,403.37
25.82,1.18,2.99,283.48,397.53
26.02,1.20,2.98,293.26,401.55
26.22,1.20,2.98,293.26,401.55
26.42,1.20,2.98,278.59,401.55
26.62,1.22,2.99,273.70,403.74
26.82,1.22,2.98,268.82,404.65
27.02,1.21,2.99,288.37,402.19
27.22,1.21,2.99,283.48,402.19
27.42,1.21,2.98,283.48,403.10
27.62,1.21,2.98,263.93,403.10
27.82,1.19,2.98,254.15,399.99
28.02,1.20,2.99,278.59,400.64
28.22,1.21,2.99,283.48,402.19
28.42,1.21,2.98,273.70,403.10
28.62,1.21,2.99,293.26,402.19
28.82,1.20,2.99,293.26,400.64
29.02,1.20,2.98,288.37,401.55
29.22,1.21,2.98,303.03,403.10
29.42,1.18,3.01,288.37,396.64
29.62,1.21,2.99,307.92,402.19
29.82,1.19,2.99,303.03,399.09
30.02,1.20,2.97,293.26,402.45
30.22,1.21,2.99,278.59,402.19
30.42,1.20,3.01,273.70,399.75
