# material: Nylon PA6
# geometry: Solid Cylinder
# preform_diameter: 20.0
# material_color: White
# temperature_C: 29085.0
# drawdown_ratio: 50.0
# trial_number: 050_9
# operator: Akila_Ahmed
# start_time: 2026-06-05 15:46:41
# notes: Feed and draw speeds set to 1.2 mm per min and 3.0 m per min. 0.3 mm Layer Thickness Experiment.
Time(s),Feed(mm/min),Wind(m/min),Diameter(um),Predicted_diameter(um)
1.22,1.14,2.89,425.22,396.80
1.42,1.13,2.90,420.33,394.26
1.62,1.15,2.91,410.56,396.59
1.82,1.14,2.90,420.33,395.89
2.02,1.15,2.90,420.33,397.50
2.22,1.13,2.89,425.22,395.18
2.42,1.12,2.90,420.33,392.63
2.62,1.15,2.87,430.11,399.36
2.82,1.13,2.89,420.33,395.18
3.02,1.12,2.89,444.77,393.54
3.22,1.14,2.89,454.55,396.80
3.42,1.12,2.89,459.43,393.54
3.62,1.15,2.89,498.53,398.43
3.82,1.14,2.90,488.76,395.89
4.02,1.15,2.91,469.21,396.59
4.22,1.13,2.87,469.21,396.10
4.42,1.13,2.90,459.43,394.26
4.62,1.13,2.91,464.32,393.35
4.82,1.13,2.91,454.55,393.35
5.02,1.15,2.90,454.55,397.50
5.22,1.13,2.90,425.22,394.26
5.42,1.14,2.91,430.11,394.97
5.62,1.14,2.90,425.22,395.89
5.82,1.14,2.89,400.78,396.80
6.02,1.13,2.90,366.57,394.26
6.22,1.14,2.90,381.23,395.89
6.42,1.15,2.91,376.34,396.59
6.62,1.13,2.87,410.56,396.10
6.82,1.14,2.90,400.78,395.89
7.02,1.12,2.91,376.34,391.72
7.22,1.13,2.89,386.12,395.18
7.42,1.14,2.90,410.56,395.89
7.62,1.15,2.89,381.23,398.43
7.82,1.13,2.90,371.46,394.26
8.02,1.15,2.90,351.91,397.50
8.22,1.14,2.89,347.02,396.80
8.42,1.14,2.87,337.24,397.73
8.62,1.13,2.90,351.91,394.26
8.82,1.15,2.89,347.02,398.43
9.02,1.12,2.90,361.68,392.63
9.22,1.13,2.90,376.34,394.26
9.42,1.12,2.89,351.91,393.54
9.62,1.14,2.93,351.91,394.06
9.82,1.15,2.90,322.58,397.50
10.02,1.12,2.89,322.58,393.54
10.22,1.13,2.90,337.24,394.26
10.42,1.14,2.93,332.36,394.06
10.62,1.14,2.89,361.68,396.80
10.82,1.14,2.89,347.02,396.80
11.02,1.13,2.91,391.01,393.35
11.22,1.15,2.89,395.89,398.43
11.42,1.12,2.90,400.78,392.63
11.62,1.14,2.94,386.12,393.16
11.82,1.13,2.89,381.23,395.18
12.02,1.14,2.91,376.34,394.97
12.22,1.15,2.91,371.46,396.59
12.42,1.14,2.90,386.12,395.89
12.62,1.14,2.89,366.57,396.80
12.82,1.15,2.93,376.34,395.68
13.02,1.14,2.90,381.23,395.89
13.22,1.14,2.90,381.23,395.89
13.42,1.13,2.90,391.01,394.26
13.62,1.13,2.89,391.01,395.18
13.82,1.13,2.90,381.23,394.26
14.02,1.13,2.90,400.78,394.26
14.22,1.14,2.87,381.23,397.73
14.42,1.15,2.89,356.79,398.43
14.62,1.13,2.90,351.91,394.26
14.82,1.12,2.90,347.02,392.63
15.02,1.14,2.90,342.13,395.89
15.22,1.15,2.94,327.47,394.77
15.42,1.13,2.87,317.69,396.10
15.62,1.15,2.89,332.36,398.43
15.82,1.15,2.91,337.24,396.59
16.02,1.15,2.87,317.69,399.36
16.22,1.15,2.91,332.36,396.59
16.42,1.13,2.90,322.58,394.26
16.62,1.12,2.90,332.36,392.63
16.82,1.14,2.91,337.24,394.97
17.02,1.14,2.91,337.24,394.97
17.22,1.14,2.87,327.47,397.73
17.42,1.15,2.91,337.24,398.20
17.62,1.12,2.91,322.58,391.72
17.82,1.13,2.87,332.36,396.10
18.02,1.15,2.90,351.91,397.50
18.22,1.12,2.91,332.36,391.72
18.42,1.15,2.86,347.02,400.29
18.62,1.14,2.90,337.24,395.89
18.82,1.12,2.89,327.47,393.54
19.02,1.14,2.87,327.47,397.73
19.22,1.15,2.90,332.36,397.50
19.42,1.14,2.89,322.58,396.80
19.62,1.12,2.87,327.47,394.46
19.82,1.15,2.94,307.92,394.77
20.02,1.12,2.91,342.13,391.72
20.22,1.15,2.90,327.47,397.50
20.42,1.15,2.90,327.47,397.50
20.62,1.15,2.91,327.47,396.59
20.82,1.14,2.89,327.47,396.80
21.02,1.13,2.86,332.36,397.03
21.22,1.12,2.89,332.36,393.54
21.42,1.15,2.91,342.13,396.59
21.62,1.15,2.90,337.24,397.50
21.82,1.12,2.87,327.47,394.46
22.02,1.14,2.90,317.69,395.89
22.22,1.15,2.91,332.36,396.59
22.42,1.12,2.90,327.47,392.63
22.62,1.14,2.90,332.36,395.89
22.82,1.14,2.91,327.47,394.97
23.02,1.15,2.93,327.47,395.68
23.22,1.15,2.90,327.47,397.50
23.42,1.12,2.89,288.37,393.54
23.62,1.14,2.90,303.03,395.89
23.82,1.15,2.91,293.26,396.59
24.02,1.14,2.89,303.03,396.80
24.22,1.14,2.87,288.37,397.73
24.42,1.13,2.91,298.14,393.35
24.62,1.12,2.90,312.81,392.63
24.82,1.13,2.93,303.03,392.45
25.02,1.13,2.90,307.92,394.26
25.22,1.14,2.89,307.92,396.80
25.42,1.13,2.90,307.92,394.26
25.62,1.15,2.91,322.58,396.59
25.82,1.12,2.90,342.13,392.63
26.02,1.14,2.91,327.47,394.97
26.22,1.13,2.91,322.58,393.35
26.42,1.14,2.89,327.47,396.80
26.62,1.14,2.90,332.36,395.89
26.82,1.15,2.91,332.36,396.59
27.02,1.15,2.89,307.92,398.43
27.22,1.15,2.90,322.58,397.50
27.42,1.13,2.91,317.69,393.35
27.62,1.14,2.87,322.58,397.73
27.82,1.15,2.91,317.69,396.59
28.02,1.15,2.91,327.47,396.59
28.22,1.12,2.90,327.47,392.63
28.42,1.15,2.91,322.58,396.59
28.62,1.14,2.91,317.69,394.97
28.82,1.13,2.90,332.36,394.26
29.02,1.14,2.87,337.24,397.73
29.22,1.15,2.91,322.58,396.59
29.42,1.13,2.89,322.58,395.18
29.62,1.14,2.90,322.58,395.89
29.82,1.12,2.91,312.81,391.72
30.02,1.14,2.89,312.81,396.80
30.22,1.14,2.91,307.92,394.97
30.42,1.12,2.90,312.81,392.63
30.62,1.12,2.90,337.24,392.63
30.82,1.13,2.89,322.58,395.18
31.02,1.12,2.90,327.47,392.63
31.22,1.14,2.89,347.02,396.80
31.42,1.15,2.91,366.57,396.59
31.62,1.15,2.91,371.46,396.59
31.82,1.13,2.87,361.68,396.10
32.02,1.15,2.90,366.57,397.50
32.22,1.12,2.90,356.79,392.63
32.42,1.14,2.87,376.34,397.73
32.62,1.15,2.90,391.01,397.50
32.82,1.12,2.89,376.34,393.54
33.02,1.15,2.91,391.01,396.59
33.22,1.15,2.91,400.78,396.59
33.42,1.12,2.87,366.57,394.46
33.62,1.15,2.90,376.34,397.50
33.82,1.13,2.91,376.34,393.35
34.02,1.14,2.91,371.46,394.97
34.22,1.15,2.91,381.23,396.59
34.42,1.13,2.90,366.57,394.26
34.62,1.12,2.89,381.23,393.54
34.82,1.15,2.91,386.12,396.59
35.02,1.12,2.89,366.57,393.54
35.22,1.12,2.89,356.79,393.54
35.42,1.13,2.90,356.79,394.26
35.62,1.15,2.90,351.91,397.50
35.82,1.12,2.89,342.13,393.54
36.02,1.13,2.93,342.13,392.45
36.22,1.13,2.94,351.91,391.55
36.42,1.12,2.89,332.36,393.54
36.62,1.15,2.91,332.36,396.59
36.82,1.12,2.85,366.57,396.31
37.02,1.15,2.90,361.68,397.50
37.22,1.15,2.90,366.57,397.50
37.42,1.13,2.91,347.02,393.35
37.62,1.14,2.90,347.02,395.89
37.82,1.14,2.91,347.02,394.97
38.02,1.14,2.89,342.13,396.80
38.22,1.14,2.90,347.02,395.89
38.42,1.14,2.91,342.13,394.97
38.62,1.13,2.87,347.02,396.10
38.82,1.13,2.93,347.02,392.45
39.02,1.13,2.91,337.24,393.35
39.22,1.12,2.87,327.47,394.46
39.42,1.15,2.91,317.69,398.20
39.62,1.14,2.91,303.03,394.97
39.82,1.15,2.89,307.92,398.43
40.02,1.14,2.91,303.03,394.97
40.22,1.14,2.91,307.92,394.97
40.42,1.15,2.87,322.58,399.36
40.62,1.15,2.91,337.24,396.59
