# material: Nylon 66
# geometry: cyl 3ch
# preform_diameter: 20.0
# material_color: Grey
# temperature_C: 190.0
# drawdown_ratio: 50.0
# trial_number: 051
# operator: Akila
# start_time: 2025-11-13 14:13:02
# notes: Drawing speed and feeding speed reduced to 3.75 m per minute and 1.5 mm per minute respectively
Time(s),Feed(mm/min),Wind(m/min),Diameter(um),Predicted_diameter(um)
1.22,1.51,3.73,234.60,402.12
1.42,1.50,3.72,283.48,401.60
1.62,1.48,3.72,293.26,399.09
1.82,1.50,3.72,283.48,401.60
2.02,1.49,3.72,273.70,400.35
2.22,1.50,3.72,303.03,401.60
2.42,1.49,3.69,273.70,401.80
2.62,1.50,3.73,303.03,400.87
2.82,1.50,3.70,293.26,402.32
3.02,1.49,3.73,303.03,399.63
3.22,1.51,3.72,312.81,402.84
3.42,1.49,3.72,322.58,400.35
3.62,1.49,3.69,322.58,401.80
3.82,1.49,3.72,371.46,400.35
4.02,1.50,3.70,381.23,402.32
4.22,1.50,3.72,381.23,401.60
4.42,1.51,3.73,351.91,402.12
4.62,1.49,3.70,351.91,401.07
4.82,1.50,3.72,342.13,401.60
5.02,1.49,3.70,351.91,401.07
5.22,1.49,3.72,342.13,400.35
5.42,1.51,3.72,342.13,402.84
5.62,1.49,3.73,322.58,399.63
5.82,1.50,3.70,400.78,402.32
6.02,1.49,3.70,371.46,401.07
6.22,1.51,3.70,351.91,403.57
6.42,1.49,3.70,283.48,401.07
6.62,1.51,3.72,303.03,402.84
6.82,1.51,3.70,303.03,403.57
7.02,1.51,3.73,303.03,402.12
7.22,1.50,3.72,303.03,401.60
7.42,1.49,3.72,312.81,400.35
7.62,1.50,3.72,322.58,401.60
7.82,1.50,3.70,342.13,402.32
8.02,1.50,3.72,332.36,401.60
8.22,1.49,3.72,351.91,400.35
8.42,1.49,3.73,400.78,399.63
8.62,1.51,3.72,391.01,402.84
8.82,1.49,3.72,391.01,400.35
9.02,1.48,3.73,400.78,398.38
9.22,1.50,3.73,391.01,400.87
9.42,1.50,3.72,400.78,401.60
9.62,1.49,3.72,371.46,400.35
9.82,1.51,3.72,371.46,402.84
10.02,1.49,3.72,351.91,400.35
10.22,1.50,3.73,391.01,400.87
10.42,1.51,3.70,420.33,403.57
10.62,1.50,3.73,459.43,400.87
10.82,1.48,3.70,488.76,399.82
11.02,1.51,3.70,498.53,403.57
11.22,1.50,3.72,527.86,401.60
11.42,1.50,3.70,537.63,402.32
11.62,1.50,3.72,518.08,401.60
11.82,1.48,3.72,518.08,399.09
12.02,1.51,3.72,518.08,402.84
12.22,1.50,3.70,478.98,402.32
12.42,1.51,3.72,469.21,402.84
12.62,1.49,3.70,439.88,401.07
12.82,1.51,3.72,0.00,402.84
13.02,1.49,3.70,0.00,401.07
