# material: Nylon PA6
# geometry: Solid Cylinder
# preform_diameter: 20.0
# material_color: White
# temperature_C: 29085.0
# drawdown_ratio: 50.0
# trial_number: 051
# operator: Akila_Ahmed
# start_time: 2026-05-22 15:22:37
# notes: Feed and draw speed set to 1.2 mm per min and 3 m per min. 0.2 Layer Thickness.
Time(s),Feed(mm/min),Wind(m/min),Diameter(um),Predicted_diameter(um)
1.22,1.15,2.91,738.03,396.59
1.42,1.15,2.94,811.34,396.37
1.62,1.13,2.93,830.89,392.45
1.82,1.15,2.93,772.24,395.68
2.02,1.15,2.91,674.49,396.59
2.22,1.14,2.93,630.50,394.06
2.42,1.14,2.94,601.17,393.16
2.62,1.14,2.94,547.41,393.16
2.82,1.13,2.93,503.42,392.45
3.02,1.14,2.93,478.98,394.06
3.22,1.13,2.93,444.77,392.45
3.42,1.15,2.90,435.00,397.50
3.62,1.15,2.94,410.56,396.37
3.82,1.14,2.93,400.78,394.06
4.02,1.14,2.94,400.78,393.16
4.22,1.14,2.91,391.01,394.97
4.42,1.15,2.93,391.01,395.68
4.62,1.12,2.91,400.78,391.72
4.82,1.15,2.93,391.01,395.68
5.02,1.15,2.90,395.89,397.50
5.22,1.15,2.90,400.78,397.50
5.42,1.12,2.93,395.89,390.82
5.62,1.13,2.95,395.89,390.66
5.82,1.15,2.91,410.56,396.59
6.02,1.15,2.93,415.44,395.68
6.22,1.15,2.93,425.22,395.68
6.42,1.15,2.91,400.78,396.59
6.62,1.15,2.91,400.78,396.59
6.82,1.13,2.94,395.89,391.55
7.02,1.13,2.94,386.12,391.55
7.22,1.15,2.91,386.12,396.59
7.42,1.14,2.94,386.12,393.16
7.62,1.12,2.91,395.89,391.72
7.82,1.13,2.93,405.67,392.45
8.02,1.14,2.91,405.67,394.97
8.22,1.15,2.93,400.78,395.68
8.42,1.14,2.93,391.01,394.06
8.62,1.15,2.94,371.46,394.77
8.82,1.13,2.90,361.68,394.26
9.02,1.15,2.93,361.68,395.68
9.22,1.13,2.93,347.02,392.45
9.42,1.13,2.93,351.91,392.45
9.62,1.13,2.93,356.79,392.45
9.82,1.14,2.94,361.68,393.16
10.02,1.14,2.93,366.57,394.06
10.22,1.14,2.91,356.79,394.97
10.42,1.15,2.93,366.57,395.68
10.62,1.14,2.94,366.57,393.16
10.82,1.14,2.94,361.68,393.16
11.02,1.14,2.94,366.57,393.16
11.22,1.14,2.93,386.12,394.06
11.42,1.13,2.91,376.34,393.35
11.62,1.13,2.91,391.01,393.35
11.82,1.14,2.89,391.01,396.80
12.02,1.15,2.93,391.01,395.68
12.22,1.14,2.90,361.68,395.89
12.42,1.15,2.94,351.91,394.77
12.62,1.14,2.91,361.68,394.97
12.82,1.15,2.94,337.24,394.77
13.02,1.12,2.91,351.91,391.72
13.22,1.14,2.93,332.36,394.06
13.42,1.12,2.94,342.13,389.93
13.62,1.15,2.93,337.24,395.68
13.82,1.13,2.94,332.36,391.55
14.02,1.15,2.94,351.91,394.77
14.22,1.13,2.95,347.02,390.66
14.42,1.14,2.94,332.36,393.16
14.62,1.13,2.91,322.58,393.35
14.82,1.14,2.94,322.58,393.16
15.02,1.12,2.93,327.47,390.82
15.22,1.13,2.93,322.58,392.45
15.42,1.13,2.94,342.13,391.55
15.62,1.15,2.93,351.91,395.68
15.82,1.14,2.93,351.91,394.06
16.02,1.15,2.94,361.68,394.77
16.22,1.14,2.93,356.79,394.06
16.42,1.15,2.91,366.57,396.59
16.62,1.15,2.94,351.91,394.77
16.82,1.15,2.93,332.36,395.68
17.02,1.14,2.94,337.24,393.16
17.22,1.14,2.93,342.13,394.06
17.42,1.15,2.93,342.13,395.68
17.62,1.15,2.93,322.58,395.68
17.82,1.14,2.93,322.58,394.06
18.02,1.13,2.91,322.58,393.35
18.22,1.15,2.93,327.47,395.68
18.42,1.15,2.93,337.24,395.68
18.62,1.13,2.93,337.24,392.45
18.82,1.12,2.91,332.36,391.72
19.02,1.12,2.93,303.03,390.82
19.22,1.12,2.94,322.58,389.93
