# material: Nylon PA6
# geometry: Solid Cylinder
# preform_diameter: 20 mm
# material_color: White
# temperature_C: 29085.0
# drawdown_ratio: 50.0
# trial_number: 051_4
# operator: Akila_Ahmed
# start_time: 2026-06-01 13:09:30
# notes: Feed and draw speed set to 1.2 mm per min and 3.0 m per min. 0.2mm Layer Thicknes Experiment.
Time(s),Feed(mm/min),Wind(m/min),Diameter(um),Predicted_diameter(um)
1.22,1.25,3.06,0.00,403.83
1.42,1.24,3.06,0.00,402.32
1.62,1.26,3.06,0.00,405.34
1.82,1.24,3.07,0.00,401.44
2.02,1.26,3.06,0.00,405.34
2.22,1.25,3.06,0.00,403.83
2.42,1.25,3.06,0.00,403.83
2.62,1.27,3.06,0.00,406.83
2.82,1.26,3.07,0.00,404.45
3.02,1.26,3.06,0.00,405.34
3.22,1.25,3.06,0.00,403.83
3.42,1.24,3.05,0.00,403.21
3.62,1.26,3.07,0.00,404.45
3.82,1.24,3.05,0.00,403.21
4.02,1.19,2.99,112.41,399.09
4.22,1.17,3.01,122.19,395.07
4.42,1.25,3.07,0.00,402.95
4.62,1.25,3.05,0.00,404.72
4.82,1.26,3.07,0.00,404.45
5.02,1.25,3.06,0.00,403.83
5.22,1.24,3.06,0.00,402.32
5.42,1.25,3.05,0.00,404.72
5.62,1.20,2.99,117.30,400.64
5.82,1.24,3.06,0.00,402.32
6.02,1.26,3.07,0.00,404.45
6.22,1.23,3.05,0.00,401.69
6.42,1.25,3.06,0.00,403.83
6.62,1.25,3.09,0.00,402.07
6.82,1.26,3.07,0.00,404.45
7.02,1.26,3.05,0.00,406.23
7.22,1.24,3.07,0.00,401.44
7.42,1.25,3.06,0.00,403.83
7.62,1.25,3.07,0.00,402.95
7.82,1.25,3.05,0.00,404.72
8.02,1.19,2.98,127.08,399.99
8.22,1.25,3.05,0.00,404.72
8.42,1.25,3.09,0.00,402.07
8.62,1.26,3.07,0.00,404.45
8.82,1.26,3.07,0.00,404.45
9.02,1.26,3.07,0.00,404.45
9.22,1.23,3.07,0.00,399.93
9.42,1.24,3.07,0.00,401.44
9.62,1.23,3.07,0.00,399.93
9.82,1.21,2.99,136.85,402.19
10.02,1.17,2.98,131.96,396.85
10.22,1.26,3.09,0.00,403.57
10.42,1.26,3.07,0.00,404.45
10.62,1.26,3.09,0.00,403.57
10.82,1.23,3.05,0.00,401.69
11.02,1.24,3.07,0.00,401.44
11.22,1.26,3.07,0.00,404.45
11.42,1.24,3.06,0.00,402.32
11.62,1.26,3.07,0.00,404.45
11.82,1.24,3.05,0.00,403.21
12.02,1.27,3.07,0.00,405.95
12.22,1.25,3.06,0.00,403.83
12.42,1.24,3.07,0.00,401.44
12.62,1.23,3.06,0.00,400.81
12.82,1.25,3.07,0.00,402.95
13.02,1.25,3.05,0.00,404.72
13.22,1.27,3.05,0.00,407.73
13.42,1.25,3.07,0.00,402.95
13.62,1.24,3.06,0.00,402.32
13.82,1.25,3.06,0.00,403.83
14.02,1.26,3.07,0.00,404.45
14.22,1.26,3.06,0.00,405.34
14.42,1.26,3.07,0.00,404.45
14.62,1.24,3.06,0.00,402.32
14.82,1.25,3.06,0.00,403.83
15.02,1.26,3.05,0.00,406.23
15.22,1.24,3.06,0.00,402.32
15.42,1.26,3.09,0.00,403.57
15.62,1.25,3.06,0.00,403.83
15.82,1.26,3.07,0.00,404.45
16.02,1.24,3.05,0.00,403.21
16.22,1.26,3.07,0.00,404.45
16.42,1.26,3.06,0.00,405.34
16.62,1.24,3.06,0.00,402.32
16.82,1.25,3.06,0.00,403.83
17.02,1.25,3.06,0.00,403.83
17.22,1.26,3.07,0.00,404.45
17.42,1.26,3.07,0.00,404.45
17.62,1.26,3.07,0.00,404.45
17.82,1.23,3.05,0.00,401.69
18.02,1.24,3.07,0.00,401.44
18.22,1.26,3.07,0.00,404.45
18.42,1.26,3.07,0.00,404.45
18.62,1.26,3.06,0.00,405.34
18.82,1.26,3.05,0.00,406.23
19.02,1.26,3.07,0.00,404.45
19.22,1.25,3.06,0.00,403.83
19.42,1.20,2.99,127.08,400.64
19.62,1.25,3.09,0.00,402.07
19.82,1.26,3.07,0.00,404.45
20.02,1.25,3.06,0.00,403.83
20.22,1.19,2.99,127.08,399.09
20.42,1.19,2.99,102.64,399.09
20.62,1.20,2.99,112.41,400.64
20.82,1.19,2.98,122.19,399.99
21.02,1.25,3.06,0.00,403.83
21.22,1.24,3.07,0.00,401.44
21.42,1.27,3.07,0.00,405.95
21.62,1.26,3.05,0.00,406.23
21.82,1.26,3.06,0.00,405.34
22.02,1.19,2.99,117.30,399.09
22.22,1.19,2.99,127.08,399.09
22.42,1.19,2.98,112.41,399.99
22.62,1.20,2.99,127.08,400.64
22.82,1.19,2.97,117.30,400.89
23.02,1.18,3.01,117.30,396.64
23.22,1.20,2.99,127.08,400.64
23.42,1.18,3.01,122.19,396.64
23.62,1.18,2.99,112.41,397.53
23.82,1.19,2.98,112.41,399.99
24.02,1.20,2.99,122.19,400.64
24.22,1.18,2.98,131.96,398.42
24.42,1.18,2.99,127.08,397.53
24.62,1.17,2.97,107.53,397.75
24.82,1.21,2.99,112.41,402.19
25.02,1.19,2.98,112.41,399.99
25.22,1.20,2.99,136.85,400.64
25.42,1.18,2.98,122.19,398.42
25.62,1.19,2.99,131.96,399.09
25.82,1.26,3.05,0.00,406.23
26.02,1.20,2.99,127.08,400.64
26.22,1.19,2.98,127.08,399.99
26.42,1.18,2.99,117.30,397.53
26.62,1.19,2.99,122.19,399.09
26.82,1.26,3.07,0.00,404.45
27.02,1.24,3.06,0.00,402.32
27.22,1.24,3.06,0.00,402.32
27.42,1.25,3.06,0.00,403.83
27.62,1.25,3.02,0.00,406.52
27.82,1.26,3.07,0.00,404.45
28.02,1.26,3.07,0.00,404.45
28.22,1.24,3.09,0.00,400.57
28.42,1.26,3.05,0.00,406.23
28.62,1.25,3.06,0.00,403.83
28.82,1.25,3.05,0.00,404.72
29.02,1.26,3.07,0.00,404.45
29.22,1.23,3.05,0.00,401.69
29.42,1.26,3.06,0.00,405.34
29.62,1.19,3.01,122.19,398.20
29.82,1.20,3.03,122.19,397.98
30.02,1.20,2.98,127.08,401.55
30.22,1.26,3.09,0.00,403.57
30.42,1.20,3.01,127.08,399.75
30.62,1.18,3.01,122.19,396.64
30.82,1.19,2.99,112.41,399.09
31.02,1.23,3.06,0.00,400.81
31.22,1.26,3.07,0.00,404.45
31.42,1.18,2.98,112.41,398.42
31.62,1.20,2.99,112.41,400.64
31.82,1.25,3.05,0.00,404.72
32.02,1.20,2.99,122.19,400.64
32.22,1.17,3.01,102.64,395.07
32.42,1.25,3.07,0.00,402.95
32.62,1.24,3.06,0.00,402.32
32.82,1.26,3.06,0.00,405.34
33.02,1.25,3.06,0.00,403.83
33.22,1.26,3.07,0.00,404.45
33.42,1.27,3.03,0.00,408.63
33.62,1.24,3.07,0.00,401.44
33.82,1.25,3.06,0.00,403.83
34.02,1.24,3.07,0.00,401.44
34.22,1.25,3.06,0.00,403.83
34.42,1.26,3.06,0.00,405.34
34.62,1.26,3.07,0.00,404.45
34.82,1.24,3.06,0.00,402.32
35.02,1.26,3.05,0.00,406.23
35.22,1.26,3.07,0.00,404.45
35.42,1.26,3.07,0.00,404.45
35.62,1.24,3.07,0.00,401.44
35.82,1.27,3.07,0.00,405.95
36.02,1.22,3.07,0.00,398.41
36.22,1.25,3.09,0.00,402.07
36.42,1.24,3.06,0.00,402.32
36.62,1.26,3.07,0.00,404.45
36.82,1.25,3.06,0.00,403.83
37.02,1.25,3.06,0.00,403.83
37.22,1.23,3.06,0.00,400.81
37.42,1.25,3.07,0.00,402.95
37.62,1.23,3.06,0.00,400.81
37.82,1.21,3.01,127.08,401.29
38.02,1.25,3.07,0.00,402.95
38.22,1.26,3.07,0.00,404.45
38.42,1.18,2.99,122.19,397.53
38.62,1.26,3.07,0.00,404.45
38.82,1.25,3.06,0.00,403.83
39.02,1.26,3.09,0.00,403.57
39.22,1.17,2.98,117.30,396.85
39.42,1.20,3.01,122.19,399.75
39.62,1.23,3.06,0.00,400.81
39.82,1.26,3.10,0.00,402.70
40.02,1.26,3.07,0.00,404.45
40.22,1.26,3.06,0.00,405.34
40.42,1.25,3.06,0.00,403.83
40.62,1.26,3.07,0.00,404.45
40.82,1.24,3.05,0.00,403.21
41.02,1.25,3.09,0.00,402.07
41.22,1.25,3.09,0.00,402.07
41.42,1.24,3.07,0.00,401.44
41.62,1.19,2.99,122.19,399.09
41.82,1.20,2.99,131.96,400.64
42.02,1.19,2.99,102.64,399.09
42.22,1.26,3.09,0.00,403.57
42.42,1.20,2.98,107.53,401.55
42.62,1.19,2.99,122.19,399.09
42.82,1.17,3.01,107.53,395.07
43.02,1.18,2.99,136.85,397.53
43.22,1.25,3.05,0.00,404.72
43.42,1.20,2.99,131.96,400.64
43.62,1.18,2.97,122.19,399.32
