# material: Nylon 66
# geometry: cyl 3ch
# preform_diameter: 20.0
# material_color: Grey
# temperature_C: 195.0
# drawdown_ratio: 50.0
# trial_number: 052
# operator: Akila
# start_time: 2025-11-13 15:21:23
# notes: Same feeding and drawing speeds as 051
Time(s),Feed(mm/min),Wind(m/min),Diameter(um),Predicted_diameter(um)
1.22,1.50,3.73,224.83,400.87
1.42,1.50,3.72,224.83,401.60
1.62,1.51,3.72,254.15,402.84
1.82,1.48,3.72,224.83,399.09
2.02,1.49,3.73,254.15,399.63
2.22,1.50,3.70,244.38,402.32
2.42,1.51,3.73,244.38,402.12
2.62,1.50,3.72,224.83,401.60
2.82,1.48,3.72,215.05,399.09
3.02,1.50,3.72,224.83,401.60
3.22,1.51,3.73,205.28,402.12
3.42,1.51,3.72,205.28,402.84
3.62,1.50,3.72,234.60,401.60
3.82,1.50,3.72,224.83,401.60
4.02,1.48,3.70,234.60,399.82
4.22,1.50,3.72,254.15,401.60
4.42,1.49,3.70,234.60,401.07
4.62,1.50,3.72,224.83,401.60
4.82,1.50,3.72,263.93,401.60
5.02,1.50,3.73,254.15,400.87
5.22,1.50,3.72,254.15,401.60
5.42,1.49,3.70,244.38,401.07
5.62,1.50,3.72,283.48,401.60
5.82,1.49,3.70,263.93,401.07
6.02,1.51,3.72,312.81,402.84
6.22,1.49,3.72,342.13,400.35
6.42,1.50,3.72,371.46,401.60
6.62,1.51,3.72,400.78,402.84
6.82,1.51,3.72,342.13,402.84
7.02,1.50,3.72,332.36,401.60
7.22,1.49,3.74,293.26,398.91
7.42,1.51,3.72,322.58,402.84
7.62,1.50,3.70,303.03,402.32
7.82,1.50,3.70,332.36,402.32
8.02,1.50,3.72,312.81,401.60
8.22,1.51,3.72,273.70,402.84
8.42,1.51,3.72,303.03,402.84
8.62,1.49,3.70,293.26,401.07
8.82,1.51,3.73,303.03,402.12
9.02,1.49,3.72,283.48,400.35
9.22,1.51,3.73,273.70,402.12
9.42,1.49,3.73,244.38,399.63
9.62,1.51,3.73,273.70,402.12
9.82,1.49,3.72,254.15,400.35
10.02,1.51,3.72,263.93,402.84
10.22,1.50,3.72,273.70,401.60
10.42,1.50,3.70,293.26,402.32
10.62,1.50,3.72,244.38,401.60
10.82,1.49,3.72,273.70,400.35
11.02,1.51,3.72,303.03,402.84
11.22,1.49,3.70,273.70,401.07
11.42,1.50,3.72,293.26,401.60
11.62,1.50,3.70,263.93,402.32
11.82,1.49,3.72,273.70,400.35
12.02,1.50,3.70,273.70,402.32
12.22,1.48,3.73,263.93,398.38
12.42,1.50,3.73,263.93,400.87
12.62,1.49,3.72,254.15,400.35
12.82,1.50,3.73,293.26,400.87
13.02,1.49,3.70,303.03,401.07
13.22,1.50,3.73,303.03,400.87
13.42,1.48,3.70,283.48,399.82
13.62,1.49,3.73,273.70,399.63
13.82,1.50,3.70,293.26,402.32
14.02,1.49,3.73,263.93,399.63
14.22,1.50,3.72,273.70,401.60
14.42,1.49,3.70,254.15,401.07
14.62,1.49,3.72,273.70,400.35
14.82,1.49,3.70,273.70,401.07
15.02,1.50,3.72,263.93,401.60
15.22,1.50,3.70,234.60,402.32
15.42,1.50,3.72,234.60,401.60
15.62,1.50,3.72,254.15,401.60
15.82,1.51,3.72,263.93,402.84
16.02,1.50,3.72,283.48,401.60
16.22,1.49,3.70,283.48,401.07
16.42,1.50,3.72,293.26,401.60
16.62,1.50,3.70,303.03,402.32
16.82,1.50,3.73,312.81,400.87
17.02,1.50,3.70,273.70,402.32
17.22,1.50,3.70,273.70,402.32
17.42,1.51,3.72,303.03,402.84
17.62,1.49,3.70,273.70,401.07
17.82,1.51,3.72,293.26,402.84
18.02,1.49,3.70,312.81,401.07
18.22,1.48,3.72,283.48,399.09
18.42,1.48,3.70,293.26,399.82
18.62,1.50,3.72,283.48,401.60
18.82,1.51,3.72,254.15,402.84
19.02,1.49,3.72,234.60,400.35
19.22,1.50,3.72,244.38,401.60
19.42,1.50,3.70,195.50,402.32
19.62,1.50,3.70,195.50,402.32
19.82,1.48,3.73,175.95,398.38
20.02,1.51,3.73,166.18,402.12
20.22,1.50,3.70,166.18,402.32
20.42,1.50,3.73,175.95,400.87
20.62,1.50,3.72,136.85,401.60
20.82,1.49,3.72,146.63,400.35
21.02,1.50,3.73,146.63,400.87
21.22,1.50,3.70,136.85,402.32
21.42,1.50,3.72,146.63,401.60
21.62,1.49,3.72,156.40,400.35
21.82,1.49,3.72,146.63,400.35
22.02,1.50,3.72,146.63,401.60
22.22,1.51,3.72,127.08,402.84
22.42,1.50,3.72,146.63,401.60
22.62,1.49,3.73,127.08,399.63
22.82,1.51,3.72,146.63,402.84
23.02,1.49,3.70,127.08,401.07
23.22,1.51,3.72,136.85,402.84
23.42,1.50,3.70,136.85,402.32
23.62,1.51,3.72,127.08,402.84
23.82,1.51,3.72,146.63,402.84
24.02,1.49,3.72,127.08,400.35
24.22,1.50,3.72,127.08,401.60
24.42,1.49,3.72,156.40,400.35
24.62,1.50,3.72,166.18,401.60
24.82,1.49,3.70,127.08,401.07
25.02,1.51,3.72,156.40,402.84
25.22,1.50,3.72,156.40,401.60
25.42,1.49,3.73,136.85,399.63
25.62,1.50,3.72,146.63,401.60
25.82,1.48,3.70,146.63,399.82
26.02,1.51,3.72,166.18,402.84
26.22,1.49,3.72,146.63,400.35
26.42,1.51,3.73,136.85,402.12
26.62,1.49,3.70,166.18,401.07
26.82,1.51,3.72,175.95,402.84
27.02,1.49,3.70,156.40,401.07
27.22,1.49,3.73,146.63,399.63
27.42,1.48,3.72,146.63,399.09
27.62,1.49,3.70,156.40,401.07
27.82,1.51,3.72,166.18,402.84
28.02,1.49,3.73,175.95,399.63
28.22,1.50,3.72,215.05,401.60
28.42,1.50,3.70,215.05,402.32
28.62,1.51,3.72,195.50,402.84
28.82,1.50,3.72,185.73,401.60
29.02,1.49,3.72,166.18,400.35
29.22,1.49,3.73,195.50,399.63
29.42,1.49,3.69,215.05,401.80
29.62,1.51,3.72,254.15,402.84
29.82,1.49,3.73,244.38,399.63
30.02,1.51,3.73,312.81,402.12
30.22,1.48,3.72,351.91,399.09
30.42,1.49,3.70,312.81,401.07
30.62,1.50,3.72,351.91,401.60
30.82,1.49,3.70,342.13,401.07
31.02,1.50,3.72,351.91,401.60
31.22,1.50,3.70,312.81,402.32
31.42,1.50,3.70,322.58,402.32
31.62,1.50,3.73,283.48,400.87
31.82,1.51,3.72,293.26,402.84
32.02,1.51,3.72,263.93,402.84
32.22,1.51,3.72,244.38,402.84
32.42,1.50,3.72,254.15,401.60
32.62,1.49,3.70,234.60,401.07
32.82,1.50,3.72,254.15,401.60
33.02,1.50,3.70,263.93,402.32
33.22,1.50,3.73,263.93,400.87
33.42,1.50,3.73,224.83,400.87
33.62,1.49,3.73,224.83,399.63
33.82,1.50,3.72,254.15,401.60
34.02,1.49,3.70,215.05,401.07
34.22,1.50,3.73,244.38,400.87
34.42,1.49,3.72,244.38,400.35
34.62,1.48,3.72,254.15,399.09
34.82,1.50,3.72,263.93,401.60
35.02,1.50,3.72,273.70,401.60
35.22,1.50,3.72,263.93,401.60
35.42,1.49,3.70,263.93,401.07
35.62,1.50,3.72,254.15,401.60
35.82,1.49,3.70,254.15,401.07
36.02,1.51,3.73,244.38,402.12
36.22,1.49,3.70,224.83,401.07
36.42,1.50,3.73,215.05,400.87
36.62,1.51,3.72,254.15,402.84
36.82,1.50,3.70,244.38,402.32
37.02,1.50,3.70,254.15,402.32
37.22,1.49,3.70,273.70,401.07
37.42,1.49,3.72,342.13,400.35
37.62,1.49,3.73,371.46,399.63
37.82,1.51,3.72,342.13,402.84
38.02,1.51,3.72,342.13,402.84
38.22,1.49,3.72,312.81,400.35
38.42,1.51,3.72,342.13,402.84
38.62,1.50,3.70,322.58,402.32
