# material: Nylon PA6
# geometry: 3ch 5th AR
# preform_diameter: 20.0
# material_color: White
# temperature_C: 29085.0
# drawdown_ratio: 50.0
# trial_number: 053
# operator: Akila_Ahmed
# start_time: 2026-05-26 14:47:08
# notes: Feed and draw speeds set to 1.2 mm per min and 3.0 m per min. 5th Aspect ratio (0.7). Predicted diameter 347.5 micrometers.
Time(s),Feed(mm/min),Wind(m/min),Diameter(um),Predicted_diameter(um)
1.22,1.15,2.89,273.70,400.04
1.42,1.13,2.94,268.82,391.55
1.62,1.13,2.90,288.37,394.26
1.82,1.15,2.90,293.26,397.50
2.02,1.12,2.91,283.48,391.72
2.22,1.14,2.90,293.26,395.89
2.42,1.13,2.91,293.26,393.35
2.62,1.15,2.90,288.37,397.50
2.82,1.15,2.89,288.37,398.43
3.02,1.12,2.89,293.26,393.54
3.22,1.14,2.91,288.37,394.97
3.42,1.12,2.89,298.14,393.54
3.62,1.14,2.90,303.03,395.89
3.82,1.13,2.90,303.03,394.26
4.02,1.15,2.91,322.58,398.20
4.22,1.13,2.91,298.14,393.35
4.42,1.13,2.89,288.37,395.18
4.62,1.15,2.90,268.82,397.50
4.82,1.14,2.87,259.04,397.73
5.02,1.15,2.91,293.26,398.20
5.22,1.13,2.89,283.48,395.18
5.42,1.13,2.89,283.48,395.18
5.62,1.15,2.90,259.04,397.50
5.82,1.14,2.91,268.82,394.97
6.02,1.13,2.91,254.15,393.35
6.22,1.15,2.90,263.93,397.50
6.42,1.15,2.91,259.04,396.59
6.62,1.14,2.89,244.38,396.80
6.82,1.15,2.91,259.04,396.59
7.02,1.12,2.89,249.27,393.54
7.22,1.14,2.90,234.60,395.89
7.42,1.12,2.89,229.72,393.54
7.62,1.16,2.91,239.49,399.80
7.82,1.12,2.89,229.72,393.54
8.02,1.14,2.90,244.38,395.89
8.22,1.15,2.90,234.60,397.50
8.42,1.14,2.89,219.94,396.80
8.62,1.14,2.91,219.94,394.97
8.82,1.12,2.89,210.17,393.54
9.02,1.15,2.91,210.17,396.59
9.22,1.15,2.89,200.39,398.43
9.42,1.14,2.90,215.05,395.89
9.62,1.12,2.93,219.94,390.82
9.82,1.14,2.90,249.27,395.89
10.02,1.12,2.89,234.60,393.54
10.22,1.13,2.94,254.15,391.55
10.42,1.15,2.89,249.27,398.43
10.62,1.14,2.89,249.27,396.80
10.82,1.15,2.90,249.27,397.50
11.02,1.13,2.89,259.04,395.18
11.22,1.13,2.90,268.82,394.26
11.42,1.15,2.90,278.59,397.50
11.62,1.15,2.90,283.48,397.50
11.82,1.13,2.91,278.59,393.35
12.02,1.14,2.89,273.70,396.80
12.22,1.12,2.90,244.38,392.63
12.42,1.14,2.91,254.15,394.97
12.62,1.14,2.90,259.04,395.89
12.82,1.13,2.90,254.15,394.26
13.02,1.15,2.91,249.27,396.59
13.22,1.13,2.89,234.60,395.18
13.42,1.13,2.90,234.60,394.26
13.62,1.12,2.90,224.83,392.63
13.82,1.12,2.90,229.72,392.63
14.02,1.15,2.90,249.27,397.50
14.22,1.14,2.89,249.27,396.80
14.42,1.15,2.91,239.49,396.59
14.62,1.13,2.89,215.05,395.18
14.82,1.14,2.90,219.94,395.89
15.02,1.13,2.89,229.72,395.18
15.22,1.14,2.90,224.83,395.89
15.42,1.13,2.91,210.17,393.35
15.62,1.14,2.90,229.72,395.89
15.82,1.13,2.91,234.60,393.35
16.02,1.14,2.91,234.60,394.97
16.22,1.15,2.91,234.60,396.59
16.42,1.14,2.89,234.60,396.80
16.62,1.15,2.91,219.94,396.59
16.82,1.12,2.89,210.17,393.54
17.02,1.14,2.90,210.17,395.89
17.22,1.14,2.91,215.05,394.97
17.42,1.14,2.90,200.39,395.89
17.62,1.13,2.90,200.39,394.26
17.82,1.13,2.90,210.17,394.26
18.02,1.14,2.89,205.28,396.80
18.22,1.15,2.90,205.28,397.50
18.42,1.15,2.91,215.05,396.59
18.62,1.14,2.90,219.94,395.89
18.82,1.14,2.90,219.94,395.89
19.02,1.14,2.93,234.60,394.06
19.22,1.14,2.87,219.94,397.73
19.42,1.15,2.91,205.28,396.59
19.62,1.14,2.91,205.28,394.97
19.82,1.14,2.89,210.17,396.80
20.02,1.12,2.89,200.39,393.54
20.22,1.15,2.91,205.28,396.59
20.42,1.14,2.87,195.50,397.73
20.62,1.14,2.91,190.62,394.97
20.82,1.15,2.91,200.39,396.59
21.02,1.14,2.91,200.39,394.97
21.22,1.15,2.91,215.05,396.59
21.42,1.15,2.87,219.94,399.36
21.62,1.13,2.91,234.60,393.35
21.82,1.12,2.89,234.60,393.54
22.02,1.15,2.91,234.60,396.59
22.22,1.13,2.90,239.49,394.26
22.42,1.14,2.91,254.15,394.97
22.62,1.14,2.90,254.15,395.89
22.82,1.13,2.87,268.82,396.10
23.02,1.15,2.91,293.26,396.59
23.22,1.14,2.90,293.26,395.89
23.42,1.15,2.91,259.04,396.59
23.62,1.13,2.89,239.49,395.18
23.82,1.14,2.89,234.60,396.80
24.02,1.12,2.89,215.05,393.54
24.22,1.14,2.91,229.72,394.97
24.42,1.13,2.89,229.72,395.18
24.62,1.14,2.91,249.27,394.97
24.82,1.14,2.90,234.60,395.89
25.02,1.14,2.90,229.72,395.89
25.22,1.14,2.91,244.38,394.97
25.42,1.12,2.90,234.60,392.63
25.62,1.13,2.90,239.49,394.26
25.82,1.13,2.89,234.60,395.18
26.02,1.15,2.89,263.93,398.43
26.22,1.12,2.89,254.15,393.54
26.42,1.14,2.90,268.82,395.89
26.62,1.15,2.89,273.70,398.43
26.82,1.14,2.89,254.15,396.80
27.02,1.13,2.90,254.15,394.26
27.22,1.13,2.90,254.15,394.26
27.42,1.15,2.91,263.93,396.59
27.62,1.12,2.89,263.93,393.54
27.82,1.15,2.91,244.38,396.59
28.02,1.13,2.90,224.83,394.26
28.22,1.14,2.90,239.49,395.89
28.42,1.14,2.89,229.72,396.80
28.62,1.13,2.90,229.72,394.26
28.82,1.15,2.91,229.72,396.59
29.02,1.13,2.90,224.83,394.26
29.22,1.14,2.90,224.83,395.89
29.42,1.12,2.91,210.17,391.72
29.62,1.14,2.91,224.83,394.97
29.82,1.12,2.90,205.28,392.63
30.02,1.13,2.90,205.28,394.26
30.22,1.13,2.89,219.94,395.18
30.42,1.14,2.90,219.94,395.89
30.62,1.14,2.91,224.83,394.97
30.82,1.13,2.86,244.38,397.03
31.02,1.13,2.91,249.27,393.35
31.22,1.12,2.89,244.38,393.54
31.42,1.14,2.89,244.38,396.80
31.62,1.12,2.89,224.83,393.54
31.82,1.15,2.89,239.49,398.43
32.02,1.15,2.90,249.27,397.50
32.22,1.14,2.90,273.70,395.89
32.42,1.15,2.90,288.37,397.50
32.62,1.12,2.90,259.04,392.63
32.82,1.13,2.90,263.93,394.26
33.02,1.15,2.90,263.93,397.50
