# material: Nylon 66
# geometry: 7ch
# preform_diameter: 20.0
# material_color: Grey
# temperature_C: 183.0
# drawdown_ratio: 50.0
# trial_number: 054
# operator: Akila
# start_time: 2025-11-17 14:06:39
# notes: Default feed and draw speed. Both ends sealed close.
Time(s),Feed(mm/min),Wind(m/min),Diameter(um),Predicted_diameter(um)
1.22,2.03,5.02,283.48,402.17
1.42,2.02,5.02,273.70,401.25
1.62,2.00,5.02,273.70,399.39
1.82,2.03,5.02,322.58,402.17
2.02,2.00,5.03,283.48,398.86
2.22,2.02,5.03,351.91,400.71
2.42,2.00,5.05,312.81,398.33
2.62,2.01,5.03,322.58,399.79
2.82,2.01,5.02,322.58,400.32
3.02,2.02,5.02,361.68,401.25
3.22,2.01,5.01,293.26,400.86
3.42,2.01,5.02,303.03,400.32
3.62,2.02,5.02,263.93,401.25
3.82,2.02,5.02,234.60,401.25
4.02,2.01,5.03,254.15,399.79
4.22,2.02,5.02,254.15,401.25
4.42,2.02,5.02,263.93,401.25
4.62,2.01,5.02,263.93,400.32
4.82,2.02,5.03,234.60,400.71
5.02,2.01,5.02,244.38,400.32
5.22,2.02,5.03,234.60,400.71
5.42,2.02,5.03,224.83,400.71
5.62,2.02,5.03,224.83,400.71
5.82,2.02,5.02,224.83,401.25
6.02,2.03,5.02,234.60,402.17
6.22,2.00,5.03,215.05,398.86
6.42,2.02,5.02,205.28,401.25
6.62,2.00,5.02,224.83,399.39
6.82,2.01,5.03,195.50,399.79
7.02,2.00,5.03,185.73,398.86
7.22,2.02,5.01,166.18,401.78
7.42,2.02,5.03,156.40,400.71
7.62,2.02,5.03,175.95,400.71
7.82,2.02,5.02,175.95,401.25
8.02,2.02,5.02,175.95,401.25
8.22,2.00,5.02,156.40,399.39
8.42,2.02,5.02,185.73,401.25
8.62,2.00,5.02,156.40,399.39
8.82,2.02,5.02,166.18,401.25
9.02,2.01,5.02,175.95,400.32
9.22,2.01,5.03,175.95,399.79
9.42,2.00,5.02,156.40,399.39
9.62,2.02,5.02,195.50,401.25
9.82,2.01,5.02,146.63,400.32
10.02,2.02,5.03,166.18,400.71
10.22,2.02,5.02,195.50,401.25
10.42,2.02,5.02,175.95,401.25
10.62,2.02,5.02,185.73,401.25
10.82,2.01,5.05,215.05,399.25
11.02,2.00,5.02,166.18,399.39
11.22,2.02,5.02,185.73,401.25
11.42,2.02,5.02,185.73,401.25
