# material: Nylon PA6
# geometry: 3ch 4th AR
# preform_diameter: 20.0
# material_color: White
# temperature_C: 29085.0
# drawdown_ratio: 50.0
# trial_number: 054
# operator: Akila_Ahmed
# start_time: 2026-05-26 10:10:34
# notes: Feed and draw speed set to 1.2 mm per min and 3 m per min. 4th Aspect ratio 0.6. Predicted Diameter 347.5 micrometers.
Time(s),Feed(mm/min),Wind(m/min),Diameter(um),Predicted_diameter(um)
1.22,1.14,2.90,205.28,395.89
1.42,1.15,2.87,239.49,399.36
1.62,1.14,2.90,244.38,395.89
1.82,1.15,2.89,229.72,398.43
2.02,1.15,2.89,210.17,400.04
2.22,1.13,2.90,210.17,394.26
2.42,1.14,2.89,219.94,396.80
2.62,1.14,2.90,219.94,395.89
2.82,1.13,2.89,210.17,395.18
3.02,1.15,2.89,215.05,398.43
3.22,1.14,2.90,200.39,395.89
3.42,1.15,2.86,195.50,400.29
3.62,1.15,2.89,224.83,398.43
3.82,1.14,2.91,215.05,394.97
4.02,1.15,2.89,205.28,398.43
4.22,1.15,2.90,229.72,397.50
4.42,1.15,2.87,210.17,399.36
4.62,1.14,2.89,229.72,396.80
4.82,1.15,2.90,219.94,399.12
5.02,1.14,2.90,205.28,395.89
5.22,1.13,2.87,200.39,396.10
5.42,1.15,2.93,205.28,395.68
5.62,1.15,2.89,205.28,400.04
5.82,1.15,2.89,195.50,398.43
6.02,1.13,2.87,195.50,396.10
6.22,1.15,2.87,200.39,399.36
6.42,1.15,2.89,210.17,400.04
6.62,1.14,2.90,180.84,395.89
6.82,1.15,2.87,195.50,399.36
7.02,1.15,2.90,180.84,397.50
7.22,1.15,2.90,200.39,399.12
7.42,1.15,2.90,185.73,397.50
7.62,1.13,2.89,195.50,395.18
7.82,1.15,2.89,200.39,400.04
8.02,1.15,2.89,210.17,398.43
8.22,1.14,2.90,185.73,395.89
8.42,1.14,2.87,200.39,397.73
8.62,1.14,2.90,200.39,395.89
8.82,1.15,2.90,205.28,397.50
9.02,1.13,2.87,190.62,396.10
9.22,1.13,2.89,185.73,395.18
9.42,1.15,2.90,200.39,397.50
9.62,1.15,2.90,195.50,397.50
9.82,1.14,2.90,190.62,395.89
10.02,1.13,2.87,224.83,396.10
10.22,1.15,2.89,190.62,398.43
10.42,1.13,2.90,185.73,394.26
10.62,1.14,2.90,205.28,395.89
10.82,1.14,2.89,210.17,396.80
11.02,1.14,2.87,200.39,397.73
11.22,1.14,2.89,200.39,396.80
11.42,1.14,2.87,190.62,397.73
11.62,1.13,2.87,195.50,396.10
11.82,1.14,2.89,180.84,396.80
12.02,1.15,2.90,171.07,399.12
12.22,1.15,2.90,180.84,397.50
12.42,1.14,2.87,180.84,397.73
12.62,1.14,2.89,175.95,396.80
12.82,1.15,2.90,180.84,397.50
13.02,1.14,2.90,166.18,395.89
13.22,1.15,2.90,185.73,399.12
13.42,1.15,2.89,185.73,398.43
13.62,1.15,2.87,180.84,399.36
13.82,1.14,2.89,166.18,396.80
14.02,1.14,2.89,175.95,396.80
14.22,1.14,2.90,175.95,395.89
14.42,1.15,2.90,161.29,399.12
14.62,1.14,2.87,175.95,397.73
14.82,1.14,2.90,190.62,395.89
15.02,1.15,2.90,171.07,399.12
15.22,1.14,2.90,156.40,395.89
15.42,1.15,2.90,171.07,397.50
15.62,1.15,2.91,175.95,396.59
15.82,1.13,2.89,175.95,395.18
16.02,1.12,2.87,156.40,394.46
16.22,1.15,2.90,171.07,397.50
16.42,1.15,2.89,175.95,398.43
16.62,1.15,2.90,171.07,397.50
16.82,1.13,2.89,175.95,395.18
17.02,1.14,2.87,171.07,397.73
17.22,1.14,2.90,166.18,395.89
17.42,1.13,2.90,161.29,394.26
17.62,1.14,2.87,171.07,397.73
17.82,1.15,2.89,175.95,398.43
18.02,1.13,2.90,185.73,394.26
18.22,1.14,2.87,185.73,397.73
18.42,1.12,2.86,190.62,395.38
18.62,1.15,2.90,190.62,397.50
18.82,1.13,2.91,175.95,393.35
19.02,1.13,2.87,175.95,396.10
19.22,1.14,2.86,185.73,398.66
19.42,1.15,2.90,190.62,397.50
19.62,1.15,2.90,166.18,399.12
19.82,1.14,2.87,175.95,397.73
20.02,1.15,2.90,195.50,399.12
20.22,1.15,2.89,185.73,398.43
20.42,1.13,2.91,195.50,393.35
20.62,1.12,2.89,200.39,393.54
20.82,1.14,2.87,210.17,397.73
21.02,1.15,2.89,185.73,400.04
21.22,1.15,2.89,190.62,398.43
21.42,1.15,2.86,195.50,400.29
21.62,1.14,2.91,195.50,394.97
21.82,1.14,2.90,185.73,395.89
22.02,1.15,2.90,175.95,397.50
22.22,1.13,2.89,190.62,395.18
22.42,1.15,2.87,215.05,399.36
22.62,1.13,2.90,205.28,394.26
22.82,1.15,2.87,185.73,400.98
23.02,1.15,2.86,185.73,400.29
23.22,1.14,2.90,195.50,395.89
23.42,1.15,2.89,210.17,398.43
23.62,1.15,2.89,190.62,398.43
23.82,1.13,2.87,175.95,396.10
24.02,1.15,2.89,180.84,398.43
24.22,1.15,2.89,195.50,398.43
24.42,1.14,2.91,185.73,394.97
24.62,1.15,2.89,195.50,398.43
24.82,1.14,2.89,190.62,396.80
25.02,1.13,2.90,185.73,394.26
25.22,1.13,2.87,180.84,396.10
25.42,1.12,2.87,190.62,394.46
25.62,1.15,2.89,190.62,398.43
25.82,1.13,2.89,166.18,395.18
26.02,1.14,2.89,166.18,396.80
26.22,1.14,2.87,175.95,397.73
26.42,1.15,2.89,190.62,400.04
26.62,1.15,2.89,190.62,400.04
26.82,1.13,2.86,180.84,397.03
27.02,1.15,2.91,180.84,396.59
27.22,1.13,2.91,166.18,393.35
27.42,1.14,2.87,146.63,397.73
27.62,1.13,2.86,166.18,397.03
27.82,1.15,2.89,171.07,400.04
28.02,1.13,2.89,161.29,395.18
28.22,1.15,2.91,156.40,396.59
28.42,1.14,2.87,185.73,397.73
28.62,1.14,2.91,175.95,394.97
28.82,1.14,2.87,171.07,397.73
29.02,1.14,2.87,166.18,397.73
29.22,1.14,2.89,171.07,396.80
29.42,1.15,2.90,175.95,397.50
29.62,1.13,2.89,175.95,395.18
29.82,1.15,2.89,175.95,398.43
30.02,1.15,2.87,166.18,399.36
30.22,1.15,2.87,180.84,399.36
30.42,1.13,2.87,180.84,396.10
30.62,1.15,2.89,175.95,398.43
30.82,1.15,2.89,166.18,400.04
31.02,1.15,2.89,171.07,398.43
31.22,1.13,2.89,180.84,395.18
31.42,1.15,2.89,185.73,398.43
31.62,1.14,2.90,175.95,395.89
31.82,1.14,2.89,185.73,396.80
32.02,1.14,2.89,175.95,396.80
32.22,1.14,2.89,185.73,396.80
32.42,1.15,2.90,180.84,397.50
32.62,1.13,2.90,171.07,394.26
32.82,1.15,2.90,190.62,399.12
33.02,1.15,2.89,161.29,400.04
33.22,1.15,2.90,175.95,397.50
33.42,1.13,2.89,156.40,395.18
33.62,1.14,2.89,166.18,396.80
33.82,1.15,2.89,171.07,398.43
34.02,1.15,2.89,171.07,398.43
34.22,1.13,2.87,166.18,396.10
34.42,1.14,2.87,171.07,397.73
34.62,1.14,2.89,195.50,396.80
34.82,1.14,2.90,175.95,395.89
35.02,1.14,2.87,171.07,397.73
35.22,1.15,2.90,175.95,397.50
35.42,1.14,2.89,166.18,396.80
35.62,1.14,2.90,171.07,395.89
35.82,1.15,2.90,156.40,397.50
