# material: Nylon PA6
# geometry: 3ch 3rd AR
# preform_diameter: 20.0
# material_color: White
# temperature_C: 29085.0
# drawdown_ratio: 50.0
# trial_number: 055
# operator: Akila_Ahmed
# start_time: 2026-05-26 11:11:28
# notes: Feed and draw speed set to 1.2 mm per min and 3 m per min. 3rd Aspect Ratio for 3 channel preform of 0.5. Predicted diameter 347.5.
Time(s),Feed(mm/min),Wind(m/min),Diameter(um),Predicted_diameter(um)
1.22,1.19,2.98,244.38,399.99
1.42,1.18,2.99,254.15,397.53
1.62,1.20,2.97,254.15,402.45
1.82,1.19,2.98,249.27,399.99
2.02,1.19,2.99,259.04,399.09
2.22,1.19,2.99,278.59,399.09
2.42,1.21,2.99,307.92,402.19
2.62,1.19,3.01,283.48,398.20
2.82,1.20,2.97,268.82,402.45
3.02,1.20,2.99,259.04,400.64
3.22,1.20,2.98,259.04,401.55
3.42,1.20,2.98,259.04,401.55
3.62,1.20,2.98,259.04,401.55
3.82,1.19,2.98,239.49,399.99
4.02,1.21,2.99,239.49,402.19
4.22,1.21,2.99,244.38,402.19
4.42,1.19,2.98,234.60,399.99
4.62,1.20,2.98,254.15,401.55
4.82,1.20,2.98,254.15,401.55
5.02,1.19,3.02,249.27,397.31
5.22,1.20,2.99,249.27,400.64
5.42,1.20,2.97,234.60,402.45
5.62,1.20,2.99,234.60,400.64
5.82,1.19,2.98,239.49,399.99
6.02,1.21,2.97,234.60,404.01
6.22,1.20,2.99,229.72,400.64
6.42,1.21,3.01,234.60,401.29
6.62,1.19,2.99,229.72,399.09
6.82,1.20,2.99,234.60,400.64
7.02,1.19,3.01,215.05,398.20
7.22,1.19,2.99,229.72,399.09
7.42,1.21,2.98,239.49,403.10
7.62,1.18,2.97,239.49,399.32
7.82,1.21,2.99,229.72,402.19
8.02,1.19,2.99,205.28,399.09
8.22,1.21,2.99,229.72,402.19
8.42,1.18,2.99,219.94,397.53
8.62,1.21,2.98,239.49,403.10
8.82,1.21,2.99,239.49,402.19
9.02,1.19,2.99,234.60,399.09
9.22,1.20,2.97,239.49,402.45
9.42,1.20,2.99,224.83,400.64
9.62,1.20,2.97,224.83,402.45
9.82,1.20,2.98,219.94,401.55
10.02,1.21,2.99,224.83,402.19
10.22,1.19,2.98,210.17,399.99
10.42,1.21,2.99,234.60,402.19
10.62,1.21,2.98,239.49,403.10
10.82,1.19,2.99,205.28,399.09
11.02,1.21,2.99,219.94,402.19
11.22,1.19,2.98,200.39,399.99
11.42,1.19,2.98,200.39,399.99
11.62,1.20,2.99,219.94,400.64
11.82,1.20,2.98,219.94,401.55
12.02,1.19,2.99,219.94,399.09
12.22,1.21,2.99,224.83,402.19
12.42,1.19,2.97,219.94,400.89
12.62,1.20,2.98,229.72,401.55
12.82,1.18,2.99,200.39,397.53
13.02,1.18,2.98,195.50,398.42
13.22,1.21,2.98,210.17,403.10
13.42,1.19,2.99,210.17,399.09
13.62,1.19,2.98,200.39,399.99
13.82,1.20,2.98,210.17,401.55
14.02,1.19,2.98,239.49,399.99
14.22,1.20,2.97,244.38,402.45
14.42,1.21,2.99,215.05,402.19
14.62,1.19,2.99,224.83,399.09
14.82,1.20,2.98,249.27,401.55
15.02,1.21,2.99,239.49,402.19
15.22,1.19,2.98,259.04,399.99
15.42,1.21,2.98,259.04,403.10
15.62,1.20,2.98,239.49,401.55
15.82,1.18,2.99,249.27,397.53
16.02,1.20,2.98,268.82,401.55
16.22,1.21,2.98,254.15,403.10
16.42,1.17,2.99,224.83,395.96
16.62,1.21,2.99,224.83,402.19
16.82,1.20,3.01,224.83,399.75
17.02,1.19,2.97,219.94,400.89
17.22,1.21,3.02,215.05,400.40
17.42,1.19,2.98,195.50,399.99
17.62,1.19,2.98,205.28,399.99
