# material: Nylon 66
# geometry: 7ch
# preform_diameter: 20.0
# material_color: Grey
# temperature_C: 180.0
# drawdown_ratio: 50.0
# trial_number: 058
# operator: Akil
# start_time: 2025-11-18 13:25:00
# notes: Feeding less material with feed and draw speed at 1.5 mm and 3.75 m per min; respectively.
Time(s),Feed(mm/min),Wind(m/min),Diameter(um),Predicted_diameter(um)
1.22,1.49,3.72,244.38,400.35
1.42,1.50,3.72,263.93,401.60
1.62,1.49,3.70,234.60,401.07
1.82,1.51,3.70,244.38,403.57
2.02,1.48,3.72,205.28,399.09
2.22,1.50,3.72,215.05,401.60
2.42,1.49,3.70,224.83,401.07
2.62,1.50,3.70,224.83,402.32
2.82,1.49,3.70,224.83,401.07
3.02,1.50,3.70,224.83,402.32
3.22,1.49,3.72,215.05,400.35
3.42,1.49,3.72,205.28,400.35
3.62,1.51,3.72,234.60,402.84
3.82,1.49,3.72,195.50,400.35
4.02,1.49,3.72,215.05,400.35
4.22,1.49,3.72,195.50,400.35
4.42,1.50,3.72,205.28,401.60
4.62,1.50,3.72,215.05,401.60
4.82,1.49,3.70,195.50,401.07
5.02,1.49,3.72,215.05,400.35
5.22,1.50,3.70,185.73,402.32
5.42,1.50,3.70,224.83,402.32
5.62,1.50,3.72,224.83,401.60
5.82,1.50,3.72,224.83,401.60
6.02,1.50,3.70,215.05,402.32
6.22,1.51,3.72,215.05,402.84
6.42,1.50,3.72,254.15,401.60
6.62,1.49,3.70,205.28,401.07
6.82,1.49,3.72,234.60,400.35
7.02,1.50,3.70,224.83,402.32
7.22,1.51,3.70,224.83,403.57
7.42,1.49,3.73,215.05,399.63
7.62,1.51,3.73,215.05,402.12
7.82,1.51,3.72,224.83,402.84
8.02,1.48,3.70,224.83,399.82
8.22,1.50,3.72,244.38,401.60
8.42,1.49,3.70,234.60,401.07
8.62,1.49,3.72,244.38,400.35
8.82,1.50,3.72,234.60,401.60
9.02,1.50,3.70,224.83,402.32
9.22,1.49,3.72,224.83,400.35
9.42,1.51,3.72,195.50,402.84
9.62,1.51,3.72,234.60,402.84
9.82,1.50,3.72,205.28,401.60
10.02,1.50,3.72,234.60,401.60
10.22,1.49,3.70,195.50,401.07
10.42,1.50,3.72,215.05,401.60
10.62,1.51,3.72,224.83,402.84
10.82,1.49,3.72,195.50,400.35
11.02,1.50,3.72,215.05,401.60
11.22,1.49,3.70,195.50,401.07
11.42,1.51,3.72,215.05,402.84
11.62,1.50,3.70,224.83,402.32
11.82,1.49,3.72,224.83,400.35
12.02,1.48,3.70,224.83,399.82
12.22,1.48,3.72,224.83,399.09
12.42,1.50,3.69,215.05,403.05
12.62,1.50,3.70,244.38,402.32
12.82,1.50,3.72,195.50,401.60
13.02,1.49,3.70,215.05,401.07
13.22,1.50,3.72,224.83,401.60
13.42,1.51,3.72,234.60,402.84
13.62,1.51,3.73,224.83,402.12
13.82,1.49,3.70,234.60,401.07
14.02,1.51,3.72,254.15,402.84
14.22,1.50,3.72,254.15,401.60
14.42,1.50,3.72,273.70,401.60
14.62,1.50,3.72,254.15,401.60
14.82,1.49,3.70,244.38,401.07
15.02,1.50,3.72,263.93,401.60
15.22,1.51,3.70,293.26,403.57
15.42,1.49,3.72,273.70,400.35
15.62,1.50,3.72,303.03,401.60
15.82,1.49,3.72,273.70,400.35
16.02,1.49,3.72,293.26,400.35
16.22,1.50,3.72,303.03,401.60
16.42,1.50,3.73,312.81,400.87
16.62,1.49,3.70,293.26,401.07
16.82,1.51,3.72,312.81,402.84
17.02,1.49,3.70,322.58,401.07
17.22,1.48,3.72,283.48,399.09
17.42,1.50,3.72,312.81,401.60
17.62,1.48,3.72,293.26,399.09
17.82,1.50,3.72,303.03,401.60
18.02,1.50,3.70,273.70,402.32
18.22,1.49,3.70,263.93,401.07
18.42,1.50,3.70,293.26,402.32
18.62,1.50,3.72,263.93,401.60
18.82,1.49,3.72,273.70,400.35
19.02,1.50,3.70,244.38,402.32
19.22,1.50,3.72,263.93,401.60
19.42,1.50,3.72,234.60,401.60
19.62,1.51,3.72,244.38,402.84
19.82,1.51,3.72,254.15,402.84
20.02,1.50,3.72,224.83,401.60
20.22,1.50,3.69,224.83,403.05
20.42,1.48,3.70,215.05,399.82
20.62,1.51,3.72,244.38,402.84
20.82,1.50,3.70,224.83,402.32
21.02,1.49,3.70,205.28,401.07
21.22,1.50,3.72,224.83,401.60
21.42,1.50,3.70,205.28,402.32
