# material: Nylon 66
# geometry: cyl 3ch
# preform_diameter: 20.0
# material_color: Grey
# temperature_C: 169.0
# drawdown_ratio: 50.0
# trial_number: 060
# operator: Akila
# start_time: 2025-11-19 09:59:24
# notes: Draw and feed speeds set to 1.5 mm per min and 3.75 m per min; both ends sealed closed.
Time(s),Feed(mm/min),Wind(m/min),Diameter(um),Predicted_diameter(um)
1.22,1.49,3.60,361.68,407.01
1.42,1.49,3.60,303.03,407.01
1.62,1.50,3.58,254.15,409.05
1.82,1.50,3.60,234.60,408.28
2.02,1.50,3.58,224.83,409.05
2.22,1.51,3.58,205.28,410.32
2.42,1.50,3.58,195.50,409.05
2.62,1.50,3.60,205.28,408.28
2.82,1.51,3.57,195.50,411.09
3.02,1.50,3.61,215.05,407.52
3.22,1.50,3.58,156.40,409.05
3.42,1.49,3.60,136.85,407.01
3.62,1.49,3.58,127.08,407.77
3.82,1.48,3.60,156.40,405.74
4.02,1.50,3.58,136.85,409.05
4.22,1.50,3.60,146.63,408.28
4.42,1.50,3.58,127.08,409.05
4.62,1.50,3.60,146.63,408.28
4.82,1.50,3.60,127.08,408.28
5.02,1.48,3.60,127.08,405.74
5.22,1.50,3.58,146.63,409.05
5.42,1.49,3.60,127.08,407.01
5.62,1.50,3.58,146.63,409.05
5.82,1.49,3.58,156.40,407.77
6.02,1.50,3.58,156.40,409.05
6.22,1.50,3.60,175.95,408.28
6.42,1.50,3.60,146.63,408.28
6.62,1.49,3.58,146.63,407.77
6.82,1.50,3.60,185.73,408.28
7.02,1.49,3.58,166.18,407.77
7.22,1.50,3.60,224.83,408.28
7.42,1.49,3.60,215.05,407.01
7.62,1.51,3.60,195.50,409.55
7.82,1.48,3.58,205.28,406.50
8.02,1.50,3.60,215.05,408.28
8.22,1.50,3.57,254.15,409.82
8.42,1.51,3.60,166.18,409.55
8.62,1.49,3.58,146.63,407.77
8.82,1.50,3.60,156.40,408.28
9.02,1.48,3.58,156.40,406.50
9.22,1.49,3.60,166.18,407.01
9.42,1.48,3.57,156.40,407.26
9.62,1.50,3.58,156.40,409.05
9.82,1.49,3.57,146.63,408.54
10.02,1.51,3.61,156.40,408.79
10.22,1.48,3.58,156.40,406.50
10.42,1.51,3.60,234.60,409.55
10.62,1.50,3.57,166.18,409.82
10.82,1.49,3.58,156.40,407.77
11.02,1.50,3.58,175.95,409.05
11.22,1.50,3.58,175.95,409.05
