# material: Nylon 66
# geometry: cyl 3ch
# preform_diameter: 20.0
# material_color: Grey
# temperature_C: 185.0
# drawdown_ratio: 50.0
# trial_number: 061
# operator: Akila
# start_time: 2025-11-19 12:59:55
# notes: Feed and draw speed set to default; more material inside the furnace.
Time(s),Feed(mm/min),Wind(m/min),Diameter(um),Predicted_diameter(um)
1.22,2.02,5.01,273.70,401.78
1.42,2.03,5.01,273.70,402.71
1.62,2.02,5.02,254.15,401.25
1.82,2.03,5.01,244.38,402.71
2.02,2.03,5.01,244.38,402.71
2.22,2.02,5.01,234.60,401.78
2.42,2.02,5.01,224.83,401.78
2.62,2.02,5.01,185.73,401.78
2.82,2.01,5.01,185.73,400.86
3.02,2.02,5.01,166.18,401.78
3.22,2.03,5.02,166.18,402.17
3.42,2.02,5.02,185.73,401.25
3.62,2.01,5.01,156.40,400.86
3.82,2.03,5.01,205.28,402.71
4.02,2.02,5.01,205.28,401.78
4.22,2.03,5.01,195.50,402.71
4.42,2.02,5.02,185.73,401.25
4.62,2.02,5.02,205.28,401.25
4.82,2.01,5.01,195.50,400.86
5.02,2.02,5.02,175.95,401.25
5.22,2.02,5.01,195.50,401.78
5.42,2.01,5.02,195.50,400.32
5.62,2.02,5.01,185.73,401.78
5.82,2.01,5.01,156.40,400.86
6.02,2.02,5.01,195.50,401.78
6.22,2.00,4.99,166.18,400.46
6.42,2.03,5.02,175.95,402.17
6.62,2.01,5.01,185.73,400.86
6.82,2.02,5.01,175.95,401.78
7.02,2.02,5.01,175.95,401.78
7.22,2.02,5.02,205.28,401.25
7.42,2.03,5.01,185.73,402.71
7.62,2.01,5.01,166.18,400.86
7.82,2.02,5.02,195.50,401.25
8.02,2.00,5.02,175.95,399.39
8.22,2.02,5.01,205.28,401.78
8.42,2.03,5.02,175.95,402.17
8.62,2.02,5.03,175.95,400.71
8.82,2.01,5.01,156.40,400.86
9.02,2.03,5.01,185.73,402.71
9.22,2.02,4.99,185.73,402.32
9.42,2.03,5.02,175.95,402.17
9.62,2.02,5.01,166.18,401.78
9.82,2.03,5.01,156.40,402.71
10.02,2.00,5.01,185.73,399.93
10.22,2.03,5.02,175.95,402.17
10.42,2.03,5.02,166.18,402.17
10.62,2.01,5.02,166.18,400.32
10.82,2.03,4.99,185.73,403.25
11.02,2.01,5.01,175.95,400.86
11.22,2.02,5.02,185.73,401.25
11.42,2.01,5.01,175.95,400.86
11.62,2.02,5.02,156.40,401.25
11.82,2.04,4.99,195.50,404.17
12.02,2.02,5.01,175.95,401.78
12.22,2.02,5.01,166.18,401.78
12.42,2.02,5.02,224.83,401.25
12.62,2.03,5.01,234.60,402.71
12.82,2.02,4.99,224.83,402.32
13.02,2.02,5.01,224.83,401.78
13.22,2.01,5.01,195.50,400.86
13.42,2.02,5.02,215.05,401.25
13.62,2.03,4.99,205.28,403.25
13.82,2.02,5.01,185.73,401.78
14.02,2.00,5.01,185.73,399.93
14.22,2.01,5.01,175.95,400.86
14.42,2.03,5.01,185.73,402.71
14.62,2.01,5.01,175.95,400.86
14.82,2.03,5.01,195.50,402.71
15.02,2.01,5.01,175.95,400.86
15.22,2.02,5.02,175.95,401.25
15.42,2.03,5.01,175.95,402.71
15.62,2.02,5.01,185.73,401.78
15.82,2.00,5.01,195.50,399.93
16.02,2.02,5.01,195.50,401.78
16.22,2.02,5.01,195.50,401.78
16.42,2.02,5.02,224.83,401.25
16.62,2.02,5.01,224.83,401.78
16.82,2.01,5.01,205.28,400.86
17.02,2.02,5.01,215.05,401.78
17.22,2.02,5.01,215.05,401.78
17.42,2.03,5.01,224.83,402.71
17.62,2.01,5.01,234.60,400.86
17.82,2.02,5.01,254.15,401.78
18.02,2.02,4.98,234.60,402.86
18.22,2.01,5.01,254.15,400.86
18.42,2.02,5.01,254.15,401.78
18.62,2.03,5.02,234.60,402.17
18.82,2.02,5.01,244.38,401.78
19.02,2.03,5.02,254.15,402.17
19.22,2.03,5.02,234.60,402.17
19.42,2.01,5.01,195.50,400.86
19.62,2.02,5.01,215.05,401.78
19.82,2.02,5.01,175.95,401.78
20.02,2.03,5.02,215.05,402.17
20.22,2.01,5.02,175.95,400.32
20.42,2.03,5.02,166.18,402.17
20.62,2.02,5.01,175.95,401.78
20.82,2.02,5.01,166.18,401.78
21.02,2.03,5.01,195.50,402.71
21.22,2.01,5.01,195.50,400.86
21.42,2.03,5.01,215.05,402.71
21.62,2.01,5.01,195.50,400.86
21.82,2.03,5.02,215.05,402.17
22.02,2.02,5.02,224.83,401.25
22.22,2.03,5.02,195.50,402.17
22.42,2.03,5.01,224.83,402.71
22.62,2.01,5.01,234.60,400.86
22.82,2.02,5.01,224.83,401.78
23.02,2.01,5.02,215.05,400.32
23.22,2.03,5.02,263.93,402.17
23.42,2.02,4.99,224.83,402.32
23.62,2.02,5.03,263.93,400.71
23.82,2.02,5.01,273.70,401.78
24.02,2.01,5.02,244.38,400.32
24.22,2.01,4.98,244.38,401.94
24.42,2.03,5.02,224.83,402.17
24.62,2.02,5.01,224.83,401.78
24.82,2.01,5.01,185.73,400.86
25.02,2.03,5.02,234.60,402.17
25.22,2.01,5.01,244.38,400.86
25.42,2.02,5.01,215.05,401.78
25.62,2.01,5.01,175.95,400.86
25.82,2.02,5.02,175.95,401.25
26.02,2.01,5.01,195.50,400.86
26.22,2.01,5.02,195.50,400.32
26.42,2.02,5.02,166.18,401.25
26.62,2.01,5.02,156.40,400.32
26.82,2.02,5.01,175.95,401.78
27.02,2.01,5.01,156.40,400.86
27.22,2.02,5.03,166.18,400.71
27.42,2.01,5.01,146.63,400.86
27.62,2.01,5.01,185.73,400.86
27.82,2.02,5.01,166.18,401.78
28.02,2.02,5.02,175.95,401.25
