# material: Nylon PA6
# geometry: cyl 3ch
# preform_diameter: 20.0
# material_color: White
# temperature_C: 185.0
# drawdown_ratio: 50.0
# trial_number: 064
# operator: Akila
# start_time: 2025-11-24 14:33:39
# notes: Starting with draw and feed speed of 3.75 m per min and 1.5 mm per min. Both ends sealed close.
Time(s),Feed(mm/min),Wind(m/min),Diameter(um),Predicted_diameter(um)
1.22,1.51,3.72,273.70,402.84
1.42,1.51,3.72,263.93,402.84
1.62,1.50,3.73,273.70,400.87
1.82,1.52,3.73,263.93,403.36
2.02,1.52,3.73,283.48,403.36
2.22,1.50,3.72,293.26,401.60
2.42,1.51,3.72,283.48,402.84
2.62,1.51,3.72,303.03,402.84
2.82,1.49,3.72,283.48,400.35
3.02,1.50,3.72,303.03,401.60
3.22,1.52,3.72,312.81,404.08
3.42,1.51,3.70,263.93,403.57
3.62,1.52,3.72,293.26,404.08
3.82,1.52,3.73,312.81,403.36
4.02,1.51,3.72,303.03,402.84
4.22,1.52,3.73,303.03,403.36
4.42,1.51,3.70,322.58,403.57
4.62,1.51,3.72,312.81,402.84
4.82,1.49,3.72,312.81,400.35
5.02,1.50,3.72,342.13,401.60
5.22,1.52,3.72,332.36,404.08
5.42,1.50,3.70,322.58,402.32
5.62,1.51,3.72,342.13,402.84
5.82,1.51,3.72,322.58,402.84
6.02,1.51,3.72,322.58,402.84
6.22,1.49,3.73,283.48,399.63
6.42,1.51,3.70,293.26,403.57
6.62,1.51,3.73,303.03,402.12
6.82,1.49,3.73,273.70,399.63
7.02,1.51,3.73,312.81,402.12
7.22,1.51,3.72,303.03,402.84
7.42,1.51,3.72,283.48,402.84
7.62,1.52,3.73,293.26,403.36
7.82,1.51,3.70,303.03,403.57
8.02,1.51,3.72,322.58,402.84
8.22,1.49,3.73,283.48,399.63
8.42,1.51,3.70,322.58,403.57
8.62,1.51,3.72,342.13,402.84
8.82,1.49,3.72,342.13,400.35
9.02,1.52,3.73,332.36,403.36
9.22,1.49,3.72,312.81,400.35
9.42,1.51,3.73,303.03,402.12
9.62,1.50,3.72,283.48,401.60
9.82,1.52,3.72,322.58,404.08
10.02,1.52,3.73,312.81,403.36
10.22,1.49,3.70,303.03,401.07
10.42,1.50,3.73,303.03,400.87
10.62,1.49,3.72,283.48,400.35
10.82,1.50,3.73,283.48,400.87
11.02,1.51,3.73,254.15,402.12
11.22,1.51,3.70,283.48,403.57
11.42,1.51,3.73,273.70,402.12
11.62,1.51,3.70,244.38,403.57
11.82,1.50,3.72,254.15,401.60
12.02,1.49,3.72,254.15,400.35
12.22,1.50,3.70,254.15,402.32
12.42,1.51,3.72,273.70,402.84
12.62,1.51,3.72,273.70,402.84
12.82,1.51,3.72,273.70,402.84
13.02,1.49,3.70,254.15,401.07
13.22,1.51,3.70,263.93,403.57
13.42,1.51,3.72,273.70,402.84
13.62,1.51,3.72,263.93,402.84
13.82,1.52,3.72,293.26,404.08
14.02,1.51,3.70,312.81,403.57
14.22,1.51,3.73,322.58,402.12
14.42,1.50,3.73,312.81,400.87
14.62,1.52,3.73,351.91,403.36
14.82,1.50,3.70,293.26,402.32
15.02,1.51,3.72,332.36,402.84
15.22,1.51,3.73,342.13,402.12
15.42,1.51,3.72,342.13,402.84
15.62,1.51,3.73,322.58,402.12
15.82,1.52,3.73,293.26,403.36
16.02,1.51,3.72,273.70,402.84
16.22,1.50,3.72,263.93,401.60
16.42,1.49,3.72,283.48,400.35
16.62,1.50,3.73,293.26,400.87
16.82,1.50,3.70,293.26,402.32
17.02,1.52,3.72,312.81,404.08
17.22,1.50,3.72,312.81,401.60
17.42,1.51,3.72,303.03,402.84
17.62,1.52,3.73,312.81,403.36
17.82,1.50,3.72,303.03,401.60
18.02,1.50,3.73,303.03,400.87
18.22,1.52,3.73,312.81,403.36
18.42,1.50,3.72,332.36,401.60
18.62,1.50,3.73,312.81,400.87
18.82,1.51,3.72,332.36,402.84
19.02,1.50,3.72,322.58,401.60
19.22,1.50,3.70,361.68,402.32
19.42,1.51,3.73,361.68,402.12
19.62,1.50,3.72,361.68,401.60
19.82,1.51,3.73,361.68,402.12
20.02,1.50,3.70,322.58,402.32
20.22,1.51,3.70,351.91,403.57
20.42,1.50,3.73,332.36,400.87
20.62,1.49,3.72,322.58,400.35
20.82,1.52,3.73,322.58,403.36
21.02,1.49,3.70,293.26,401.07
21.22,1.51,3.72,303.03,402.84
21.42,1.49,3.72,283.48,400.35
21.62,1.51,3.70,293.26,403.57
21.82,1.51,3.73,312.81,402.12
22.02,1.49,3.70,293.26,401.07
22.22,1.50,3.73,303.03,400.87
22.42,1.49,3.70,293.26,401.07
22.62,1.52,3.72,332.36,404.08
22.82,1.49,3.70,351.91,401.07
23.02,1.51,3.72,332.36,402.84
23.22,1.51,3.72,351.91,402.84
23.42,1.49,3.72,332.36,400.35
23.62,1.52,3.73,351.91,403.36
23.82,1.51,3.72,342.13,402.84
24.02,1.51,3.73,351.91,402.12
24.22,1.51,3.73,342.13,402.12
24.42,1.50,3.72,371.46,401.60
24.62,1.51,3.72,351.91,402.84
24.82,1.50,3.73,351.91,400.87
25.02,1.52,3.74,400.78,402.63
25.22,1.50,3.70,371.46,402.32
25.42,1.50,3.73,371.46,400.87
25.62,1.51,3.73,391.01,402.12
25.82,1.50,3.70,391.01,402.32
26.02,1.51,3.73,381.23,402.12
26.22,1.50,3.72,342.13,401.60
26.42,1.51,3.72,381.23,402.84
26.62,1.49,3.73,332.36,399.63
26.82,1.49,3.72,332.36,400.35
27.02,1.51,3.73,371.46,402.12
27.22,1.51,3.70,381.23,403.57
27.42,1.51,3.72,391.01,402.84
27.62,1.49,3.70,381.23,401.07
27.82,1.50,3.72,430.11,401.60
28.02,1.51,3.73,410.56,402.12
28.22,1.50,3.72,420.33,401.60
28.42,1.51,3.72,430.11,402.84
28.62,1.51,3.72,400.78,402.84
28.82,1.52,3.72,410.56,404.08
29.02,1.49,3.73,381.23,399.63
29.22,1.51,3.72,439.88,402.84
29.42,1.51,3.72,449.66,402.84
29.62,1.51,3.73,459.43,402.12
29.82,1.52,3.73,478.98,403.36
30.02,1.52,3.72,478.98,404.08
30.22,1.51,3.73,527.86,402.12
30.42,1.51,3.73,518.08,402.12
30.62,1.51,3.72,508.31,402.84
30.82,1.52,3.73,566.96,403.36
31.02,1.51,3.72,566.96,402.84
31.22,1.52,3.72,625.61,404.08
31.42,1.52,3.72,654.94,404.08
31.62,1.50,3.72,713.59,401.60
31.82,1.52,3.73,0.00,403.36
32.02,1.51,3.72,0.00,402.84
32.22,1.51,3.72,0.00,402.84
32.42,1.49,3.73,0.00,399.63
32.62,1.50,3.72,0.00,401.60
32.82,1.49,3.72,0.00,400.35
33.02,1.49,3.73,0.00,399.63
33.22,1.52,3.73,0.00,403.36
33.42,1.50,3.70,0.00,402.32
33.62,1.52,3.73,0.00,403.36
33.82,1.49,3.70,0.00,401.07
34.02,1.50,3.73,0.00,400.87
34.22,1.50,3.72,0.00,401.60
34.42,1.51,3.72,0.00,402.84
34.62,1.50,3.73,0.00,400.87
34.82,1.51,3.70,0.00,403.57
35.02,1.51,3.72,400.78,402.84
35.22,1.51,3.72,0.00,402.84
35.42,1.52,3.72,0.00,404.08
35.62,1.49,3.72,0.00,400.35
35.82,1.50,3.72,0.00,401.60
36.02,1.50,3.72,0.00,401.60
36.22,1.50,3.70,0.00,402.32
36.42,1.51,3.73,303.03,402.12
36.62,1.50,3.73,322.58,400.87
36.82,1.50,3.72,342.13,401.60
37.02,1.50,3.72,312.81,401.60
37.22,1.51,3.72,312.81,402.84
37.42,1.49,3.72,0.00,400.35
37.62,1.51,3.72,0.00,402.84
37.82,1.51,3.72,0.00,402.84
38.02,1.51,3.72,0.00,402.84
38.22,1.49,3.72,0.00,400.35
38.42,1.51,3.72,0.00,402.84
38.62,1.51,3.72,0.00,402.84
38.82,1.49,3.72,0.00,400.35
39.02,1.52,3.73,0.00,403.36
39.22,1.49,3.72,0.00,400.35
39.42,1.52,3.72,9.78,404.08
39.62,1.50,3.72,0.00,401.60
39.82,1.51,3.73,0.00,402.12
40.02,1.50,3.72,0.00,401.60
40.22,1.52,3.73,0.00,403.36
40.42,1.50,3.73,0.00,400.87
40.62,1.52,3.72,0.00,404.08
40.82,1.49,3.72,0.00,400.35
41.02,1.51,3.73,0.00,402.12
41.22,1.49,3.72,0.00,400.35
41.42,1.49,3.70,0.00,401.07
41.62,1.52,3.73,0.00,403.36
41.82,1.51,3.72,0.00,402.84
42.02,1.51,3.74,0.00,401.39
42.22,1.50,3.70,0.00,402.32
42.42,1.51,3.73,9.78,402.12
42.62,1.50,3.73,0.00,400.87
42.82,1.52,3.73,283.48,403.36
43.02,1.51,3.72,9.78,402.84
43.22,1.50,3.72,0.00,401.60
43.42,1.51,3.73,273.70,402.12
43.62,1.51,3.72,224.83,402.84
43.82,1.50,3.73,195.50,400.87
44.02,1.50,3.73,234.60,400.87
44.22,1.50,3.73,244.38,400.87
44.42,1.51,3.70,0.00,403.57
44.62,1.50,3.72,0.00,401.60
44.82,1.49,3.70,0.00,401.07
45.02,1.51,3.72,263.93,402.84
45.22,1.52,3.72,0.00,404.08
45.42,1.51,3.72,0.00,402.84
45.62,1.50,3.72,254.15,401.60
45.82,1.50,3.70,224.83,402.32
46.02,1.51,3.73,254.15,402.12
46.22,1.51,3.72,234.60,402.84
46.42,1.51,3.72,234.60,402.84
46.62,1.51,3.72,254.15,402.84
46.82,1.50,3.72,234.60,401.60
47.02,1.52,3.73,234.60,403.36
47.22,1.49,3.70,244.38,401.07
47.42,1.51,3.73,263.93,402.12
47.62,1.50,3.72,244.38,401.60
47.82,1.51,3.70,293.26,403.57
48.02,1.49,3.73,312.81,399.63
48.22,1.50,3.72,312.81,401.60
48.42,1.50,3.72,303.03,401.60
48.62,1.49,3.72,303.03,400.35
48.82,1.50,3.72,332.36,401.60
49.02,1.51,3.72,303.03,402.84
49.22,1.50,3.69,322.58,403.05
49.42,1.51,3.73,293.26,402.12
49.62,1.50,3.72,312.81,401.60
49.82,1.50,3.73,312.81,400.87
50.02,1.50,3.73,303.03,400.87
50.22,1.51,3.72,293.26,402.84
50.42,1.50,3.74,0.00,400.15
50.62,1.49,3.72,0.00,400.35
50.82,1.51,3.72,0.00,402.84
51.02,1.49,3.72,283.48,400.35
51.22,1.51,3.73,303.03,402.12
51.42,1.49,3.70,303.03,401.07
51.62,1.50,3.72,322.58,401.60
51.82,1.49,3.70,0.00,401.07
52.02,1.52,3.72,0.00,404.08
52.22,1.50,3.72,0.00,401.60
52.42,1.50,3.73,0.00,400.87
52.62,1.52,3.73,0.00,403.36
52.82,1.51,3.70,0.00,403.57
53.02,1.51,3.72,0.00,402.84
53.22,1.51,3.73,0.00,402.12
53.42,1.50,3.73,0.00,400.87
53.62,1.51,3.70,0.00,403.57
53.82,1.50,3.73,0.00,400.87
54.02,1.49,3.72,0.00,400.35
54.22,1.50,3.72,0.00,401.60
54.42,1.51,3.70,0.00,403.57
54.62,1.51,3.73,0.00,402.12
