# material: Nylon PA6
# geometry: cyl 7ch
# preform_diameter: 20.0
# material_color: White
# temperature_C: 185.0
# drawdown_ratio: 50.0
# trial_number: 066
# operator: Akila
# start_time: 2025-11-25 10:48:45
# notes: Both ends sealed close. Draw and feed speed at 3.75 m and 1.5 mm per min.
Time(s),Feed(mm/min),Wind(m/min),Diameter(um),Predicted_diameter(um)
1.22,1.52,3.73,459.43,403.36
1.42,1.52,3.74,469.21,402.63
1.62,1.51,3.73,469.21,402.12
1.82,1.52,3.70,439.88,404.81
2.02,1.51,3.73,439.88,402.12
2.22,1.50,3.73,420.33,400.87
2.42,1.52,3.72,439.88,404.08
2.62,1.51,3.72,400.78,402.84
2.82,1.52,3.72,420.33,404.08
3.02,1.52,3.73,420.33,403.36
3.22,1.51,3.72,391.01,402.84
3.42,1.52,3.73,391.01,403.36
3.62,1.50,3.73,361.68,400.87
3.82,1.50,3.72,371.46,401.60
4.02,1.50,3.73,391.01,400.87
4.22,1.50,3.70,361.68,402.32
4.42,1.51,3.73,391.01,402.12
4.62,1.50,3.72,351.91,401.60
4.82,1.52,3.73,351.91,403.36
5.02,1.52,3.73,351.91,403.36
5.22,1.50,3.72,361.68,401.60
5.42,1.52,3.73,351.91,403.36
5.62,1.50,3.70,342.13,402.32
5.82,1.51,3.72,371.46,402.84
6.02,1.50,3.73,361.68,400.87
6.22,1.52,3.73,391.01,403.36
6.42,1.50,3.73,391.01,400.87
6.62,1.51,3.72,430.11,402.84
6.82,1.52,3.72,459.43,404.08
7.02,1.50,3.72,449.66,401.60
7.22,1.52,3.73,459.43,403.36
7.42,1.52,3.72,478.98,404.08
7.62,1.50,3.72,430.11,401.60
7.82,1.52,3.73,430.11,403.36
8.02,1.50,3.72,439.88,401.60
8.22,1.52,3.73,449.66,403.36
8.42,1.51,3.73,430.11,402.12
8.62,1.51,3.70,449.66,403.57
8.82,1.52,3.72,430.11,404.08
9.02,1.50,3.73,420.33,400.87
9.22,1.52,3.73,420.33,403.36
9.42,1.51,3.72,439.88,402.84
9.62,1.51,3.70,391.01,403.57
9.82,1.52,3.73,381.23,403.36
10.02,1.51,3.70,391.01,403.57
10.22,1.52,3.73,410.56,403.36
10.42,1.50,3.70,371.46,402.32
10.62,1.52,3.73,410.56,403.36
10.82,1.53,3.72,391.01,405.32
11.02,1.52,3.73,400.78,403.36
11.22,1.50,3.73,371.46,400.87
11.42,1.51,3.72,381.23,402.84
