# material: Nylon PA6
# geometry: cyl 3cj
# preform_diameter: 20.0
# material_color: White
# temperature_C: 185.0
# drawdown_ratio: 50.0
# trial_number: 073
# operator: Akila
# start_time: 2025-12-02 10:55:42
# notes: Feed and draw speed set to 1.5 mm per min and 3.75 m per min; both ends sealed close.
Time(s),Feed(mm/min),Wind(m/min),Diameter(um),Predicted_diameter(um)
1.22,1.51,3.76,381.23,400.68
1.42,1.50,3.76,400.78,399.44
1.62,1.51,3.76,381.23,400.68
1.82,1.52,3.76,371.46,401.91
2.02,1.52,3.76,371.46,401.91
2.22,1.50,3.76,361.68,399.44
2.42,1.52,3.74,342.13,402.63
2.62,1.52,3.74,351.91,402.63
2.82,1.50,3.73,361.68,400.87
3.02,1.51,3.74,361.68,401.39
3.22,1.51,3.74,361.68,401.39
3.42,1.51,3.76,342.13,400.68
3.62,1.52,3.76,371.46,401.91
3.82,1.51,3.74,391.01,401.39
4.02,1.51,3.77,400.78,399.96
4.22,1.50,3.76,381.23,399.44
4.42,1.52,3.76,381.23,401.91
4.62,1.49,3.74,361.68,398.91
4.82,1.52,3.76,391.01,401.91
5.02,1.52,3.74,420.33,402.63
5.22,1.50,3.74,430.11,400.15
5.42,1.52,3.76,459.43,401.91
5.62,1.52,3.76,449.66,401.91
5.82,1.51,3.74,449.66,401.39
6.02,1.50,3.76,459.43,399.44
6.22,1.51,3.74,449.66,401.39
6.42,1.51,3.74,449.66,401.39
6.62,1.50,3.77,430.11,398.73
6.82,1.51,3.74,439.88,401.39
7.02,1.50,3.74,439.88,400.15
7.22,1.51,3.74,469.21,401.39
7.42,1.52,3.76,459.43,401.91
7.62,1.51,3.73,430.11,402.12
7.82,1.51,3.76,469.21,400.68
8.02,1.50,3.74,430.11,400.15
8.22,1.50,3.73,439.88,400.87
8.42,1.52,3.76,459.43,401.91
8.62,1.51,3.74,449.66,401.39
8.82,1.52,3.74,459.43,402.63
9.02,1.50,3.73,449.66,400.87
9.22,1.51,3.76,518.08,400.68
9.42,1.52,3.76,508.31,401.91
9.62,1.51,3.73,498.53,402.12
9.82,1.50,3.76,527.86,399.44
10.02,1.52,3.76,547.41,401.91
10.22,1.52,3.76,537.63,401.91
10.42,1.51,3.73,547.41,402.12
10.62,1.52,3.74,537.63,402.63
10.82,1.51,3.74,537.63,401.39
11.02,1.51,3.74,508.31,401.39
11.22,1.52,3.76,537.63,401.91
11.42,1.53,3.76,527.86,403.14
11.62,1.51,3.73,537.63,402.12
11.82,1.50,3.74,518.08,400.15
12.02,1.51,3.77,518.08,399.96
12.22,1.50,3.74,498.53,400.15
12.42,1.51,3.76,508.31,400.68
12.62,1.50,3.73,488.76,400.87
12.82,1.51,3.76,498.53,400.68
13.02,1.50,3.74,459.43,400.15
13.22,1.50,3.74,469.21,400.15
13.42,1.51,3.74,488.76,401.39
13.62,1.51,3.74,469.21,401.39
13.82,1.51,3.76,498.53,400.68
14.02,1.52,3.76,508.31,401.91
14.22,1.50,3.74,459.43,400.15
14.42,1.51,3.76,498.53,400.68
14.62,1.50,3.76,469.21,399.44
14.82,1.51,3.77,478.98,399.96
15.02,1.51,3.76,488.76,400.68
15.22,1.52,3.74,459.43,402.63
15.42,1.52,3.74,478.98,402.63
15.62,1.50,3.74,469.21,400.15
15.82,1.51,3.74,469.21,401.39
16.02,1.52,3.74,469.21,402.63
16.22,1.50,3.74,469.21,400.15
16.42,1.51,3.76,488.76,400.68
16.62,1.50,3.77,478.98,398.73
16.82,1.51,3.76,508.31,400.68
17.02,1.51,3.76,498.53,400.68
