# material: Nylon PA6
# geometry: cyl 3ch
# preform_diameter: 20.0
# material_color: White
# temperature_C: 187.0
# drawdown_ratio: 50.0
# trial_number: 074
# operator: Akila
# start_time: 2025-12-03 11:04:47
# notes: Feed and Draw speed change to 1.75 mm per min and 4.32 m per min; both ends sealed close.
Time(s),Feed(mm/min),Wind(m/min),Diameter(um),Predicted_diameter(um)
1.22,1.75,4.32,654.94,402.50
1.42,1.72,4.31,586.51,399.90
1.62,1.74,4.31,566.96,402.05
1.82,1.75,4.32,547.41,402.50
2.02,1.73,4.31,527.86,400.98
2.22,1.74,4.31,537.63,402.05
2.42,1.75,4.32,498.53,402.50
2.62,1.72,4.31,518.08,399.90
2.82,1.74,4.31,566.96,402.05
3.02,1.73,4.31,547.41,400.98
3.22,1.74,4.31,527.86,402.05
3.42,1.74,4.31,449.66,402.05
3.62,1.72,4.30,410.56,400.52
3.82,1.74,4.32,391.01,401.43
4.02,1.75,4.32,371.46,402.50
4.22,1.75,4.31,342.13,403.13
4.42,1.75,4.32,381.23,402.50
4.62,1.73,4.32,361.68,400.35
4.82,1.74,4.30,361.68,402.68
5.02,1.75,4.31,371.46,403.13
5.22,1.72,4.32,332.36,399.28
5.42,1.74,4.32,322.58,401.43
5.62,1.75,4.32,312.81,402.50
5.82,1.74,4.34,322.58,400.81
6.02,1.75,4.32,312.81,402.50
6.22,1.73,4.31,303.03,400.98
6.42,1.74,4.31,342.13,402.05
6.62,1.73,4.32,293.26,400.35
6.82,1.74,4.31,322.58,402.05
7.02,1.75,4.32,332.36,402.50
7.22,1.73,4.32,312.81,400.35
7.42,1.74,4.30,332.36,402.68
7.62,1.75,4.31,322.58,403.13
7.82,1.74,4.30,322.58,402.68
8.02,1.73,4.31,303.03,400.98
8.22,1.75,4.32,273.70,402.50
8.42,1.73,4.32,273.70,400.35
8.62,1.73,4.32,273.70,400.35
8.82,1.73,4.31,234.60,400.98
9.02,1.74,4.31,254.15,402.05
9.22,1.73,4.31,244.38,400.98
9.42,1.73,4.31,224.83,400.98
9.62,1.75,4.32,234.60,402.50
9.82,1.74,4.31,224.83,402.05
10.02,1.74,4.31,244.38,402.05
10.22,1.75,4.31,244.38,403.13
10.42,1.73,4.32,293.26,400.35
