# material: Nylon PA6
# geometry: cyl 3ch
# preform_diameter: 20.0
# material_color: White
# temperature_C: 180.0
# drawdown_ratio: 50.0
# trial_number: 079
# operator: Akila
# start_time: 2025-12-04 13:35:51
# notes: Same settings as 078
Time(s),Feed(mm/min),Wind(m/min),Diameter(um),Predicted_diameter(um)
1.22,1.51,3.73,185.73,402.12
1.42,1.49,3.72,185.73,400.35
1.62,1.49,3.73,234.60,399.63
1.82,1.50,3.73,254.15,400.87
2.02,1.49,3.72,215.05,400.35
2.22,1.50,3.73,254.15,400.87
2.42,1.51,3.74,244.38,401.39
2.62,1.49,3.73,293.26,399.63
2.82,1.50,3.73,351.91,400.87
3.02,1.49,3.73,303.03,399.63
3.22,1.50,3.73,322.58,400.87
3.42,1.50,3.74,342.13,400.15
3.62,1.49,3.72,273.70,400.35
3.82,1.50,3.73,263.93,400.87
4.02,1.49,3.73,244.38,399.63
4.22,1.49,3.73,283.48,399.63
4.42,1.50,3.73,303.03,400.87
4.62,1.50,3.74,312.81,400.15
4.82,1.50,3.73,273.70,400.87
5.02,1.50,3.73,303.03,400.87
5.22,1.49,3.73,293.26,399.63
5.42,1.50,3.73,273.70,400.87
5.62,1.49,3.73,273.70,399.63
5.82,1.49,3.73,254.15,399.63
6.02,1.50,3.74,283.48,400.15
6.22,1.51,3.74,263.93,401.39
6.42,1.50,3.73,303.03,400.87
6.62,1.49,3.73,312.81,399.63
6.82,1.50,3.72,254.15,401.60
7.02,1.50,3.74,303.03,400.15
7.22,1.51,3.74,351.91,401.39
7.42,1.49,3.72,303.03,400.35
7.62,1.50,3.73,263.93,400.87
7.82,1.49,3.73,293.26,399.63
8.02,1.50,3.73,263.93,400.87
8.22,1.51,3.73,312.81,402.12
8.42,1.49,3.73,312.81,399.63
8.62,1.50,3.74,322.58,400.15
8.82,1.49,3.74,273.70,398.91
9.02,1.48,3.73,303.03,398.38
9.22,1.51,3.73,322.58,402.12
9.42,1.49,3.73,244.38,399.63
9.62,1.50,3.74,263.93,400.15
9.82,1.49,3.73,244.38,399.63
10.02,1.50,3.73,273.70,400.87
10.22,1.51,3.74,283.48,401.39
10.42,1.49,3.73,254.15,399.63
10.62,1.50,3.73,293.26,400.87
10.82,1.49,3.74,273.70,398.91
11.02,1.49,3.73,215.05,399.63
11.22,1.50,3.73,244.38,400.87
11.42,1.49,3.73,244.38,399.63
11.62,1.50,3.74,263.93,400.15
11.82,1.51,3.74,293.26,401.39
12.02,1.49,3.72,293.26,400.35
12.22,1.50,3.73,254.15,400.87
12.42,1.49,3.74,215.05,398.91
12.62,1.49,3.72,215.05,400.35
12.82,1.49,3.74,263.93,398.91
13.02,1.50,3.74,263.93,400.15
13.22,1.49,3.73,263.93,399.63
13.42,1.50,3.73,283.48,400.87
13.62,1.50,3.73,263.93,400.87
13.82,1.51,3.73,273.70,402.12
14.02,1.50,3.73,244.38,400.87
14.22,1.50,3.73,224.83,400.87
