# material: Nylon PA6
# geometry: cyl 3ch
# preform_diameter: 20.0
# material_color: White
# temperature_C: 185.0
# drawdown_ratio: 50.0
# trial_number: 085
# operator: Akila
# start_time: 2025-12-10 13:05:17
# notes: Feed and draw speeds set to 1.5 mm per min and 3.75 m per min; both ends sealed close.
Time(s),Feed(mm/min),Wind(m/min),Diameter(um),Predicted_diameter(um)
1.22,1.51,3.77,1329.42,399.96
1.42,1.49,3.74,1339.20,398.91
1.62,1.49,3.76,1309.87,398.20
1.82,1.49,3.74,1212.12,398.91
2.02,1.49,3.76,1173.02,398.20
2.22,1.50,3.76,1104.59,399.44
2.42,1.51,3.74,1065.49,401.39
2.62,1.49,3.74,987.29,398.91
2.82,1.49,3.74,860.21,398.91
3.02,1.51,3.76,830.89,400.68
3.22,1.50,3.74,811.34,400.15
3.42,1.49,3.74,889.54,398.91
3.62,1.47,3.74,860.21,396.41
3.82,1.49,3.76,791.79,398.20
4.02,1.50,3.76,850.44,399.44
4.22,1.48,3.74,791.79,397.66
4.42,1.50,3.76,811.34,399.44
4.62,1.50,3.74,664.71,400.15
4.82,1.49,3.76,742.91,398.20
5.02,1.50,3.76,703.81,399.44
5.22,1.49,3.76,723.36,398.20
5.42,1.49,3.77,654.94,397.49
5.62,1.49,3.76,645.16,398.20
5.82,1.50,3.76,635.39,399.44
6.02,1.49,3.74,586.51,398.91
6.22,1.51,3.76,635.39,400.68
6.42,1.49,3.74,557.18,398.91
6.62,1.49,3.77,586.51,397.49
6.82,1.51,3.74,527.86,401.39
7.02,1.49,3.76,518.08,398.20
7.22,1.50,3.76,557.18,399.44
7.42,1.49,3.76,576.74,398.20
7.62,1.51,3.76,557.18,400.68
7.82,1.50,3.74,527.86,400.15
8.02,1.51,3.76,508.31,400.68
8.22,1.49,3.73,478.98,399.63
8.42,1.48,3.76,449.66,396.95
8.62,1.50,3.76,391.01,399.44
8.82,1.49,3.76,400.78,398.20
9.02,1.50,3.76,430.11,399.44
9.22,1.49,3.74,439.88,398.91
9.42,1.50,3.76,498.53,399.44
9.62,1.49,3.76,439.88,398.20
9.82,1.51,3.76,478.98,400.68
10.02,1.49,3.76,430.11,398.20
10.22,1.50,3.76,469.21,399.44
10.42,1.50,3.74,518.08,400.15
10.62,1.51,3.76,439.88,400.68
10.82,1.50,3.76,508.31,399.44
11.02,1.49,3.74,439.88,398.91
11.22,1.51,3.76,430.11,400.68
11.42,1.49,3.74,459.43,398.91
11.62,1.51,3.79,410.56,399.25
11.82,1.50,3.76,371.46,399.44
12.02,1.51,3.76,361.68,400.68
12.22,1.49,3.74,342.13,398.91
12.42,1.49,3.74,400.78,398.91
12.62,1.50,3.74,410.56,400.15
12.82,1.49,3.73,371.46,399.63
13.02,1.51,3.76,332.36,400.68
13.22,1.48,3.74,371.46,397.66
13.42,1.51,3.76,351.91,400.68
13.62,1.51,3.76,332.36,400.68
13.82,1.49,3.76,322.58,398.20
14.02,1.51,3.76,342.13,400.68
14.22,1.50,3.74,322.58,400.15
14.42,1.50,3.74,342.13,400.15
14.62,1.50,3.77,322.58,398.73
14.82,1.51,3.76,312.81,400.68
15.02,1.49,3.76,361.68,398.20
