# material: Nylon PA6
# geometry: cyl 3ch
# preform_diameter: 20.0
# material_color: White
# temperature_C: 183.0
# drawdown_ratio: 50.0
# trial_number: 090
# operator: Akila
# start_time: 2025-12-12 11:28:09
# notes: Feed and draw speed set to 1.5 mm per min and 3.75 m per min; both ends sealed close; less material inside the furnace.
Time(s),Feed(mm/min),Wind(m/min),Diameter(um),Predicted_diameter(um)
1.22,1.51,3.74,263.93,401.39
1.42,1.51,3.74,263.93,401.39
1.62,1.50,3.73,263.93,400.87
1.82,1.51,3.74,293.26,401.39
2.02,1.51,3.74,332.36,401.39
2.22,1.52,3.73,322.58,403.36
2.42,1.52,3.74,303.03,402.63
2.62,1.51,3.73,283.48,402.12
2.82,1.52,3.74,254.15,402.63
3.02,1.51,3.73,254.15,402.12
3.22,1.52,3.74,293.26,402.63
3.42,1.52,3.74,361.68,402.63
3.62,1.52,3.73,361.68,403.36
3.82,1.52,3.74,430.11,402.63
4.02,1.52,3.74,430.11,402.63
4.22,1.52,3.73,459.43,403.36
4.42,1.52,3.73,430.11,403.36
4.62,1.52,3.73,371.46,403.36
4.82,1.51,3.76,371.46,400.68
5.02,1.52,3.74,351.91,402.63
5.22,1.51,3.74,312.81,401.39
5.42,1.52,3.74,332.36,402.63
5.62,1.51,3.73,322.58,402.12
5.82,1.52,3.73,322.58,403.36
6.02,1.52,3.74,303.03,402.63
6.22,1.52,3.76,322.58,401.91
6.42,1.52,3.74,351.91,402.63
6.62,1.52,3.73,391.01,403.36
6.82,1.50,3.74,420.33,400.15
7.02,1.52,3.74,400.78,402.63
7.22,1.50,3.73,371.46,400.87
7.42,1.51,3.74,371.46,401.39
7.62,1.51,3.73,371.46,402.12
7.82,1.52,3.74,371.46,402.63
8.02,1.52,3.74,400.78,402.63
8.22,1.51,3.74,391.01,401.39
8.42,1.51,3.74,430.11,401.39
8.62,1.52,3.73,381.23,403.36
8.82,1.51,3.74,351.91,401.39
9.02,1.52,3.74,351.91,402.63
9.22,1.51,3.73,342.13,402.12
9.42,1.52,3.74,342.13,402.63
9.62,1.52,3.73,332.36,403.36
9.82,1.51,3.74,312.81,401.39
10.02,1.52,3.74,322.58,402.63
10.22,1.50,3.74,322.58,400.15
10.42,1.52,3.74,303.03,402.63
10.62,1.51,3.73,312.81,402.12
10.82,1.51,3.73,312.81,402.12
11.02,1.52,3.74,293.26,402.63
11.22,1.52,3.74,273.70,402.63
11.42,1.52,3.74,293.26,402.63
11.62,1.52,3.73,293.26,403.36
11.82,1.50,3.73,293.26,400.87
12.02,1.52,3.74,303.03,402.63
12.22,1.51,3.73,312.81,402.12
12.42,1.50,3.72,293.26,401.60
12.62,1.51,3.73,283.48,402.12
12.82,1.51,3.73,293.26,402.12
13.02,1.51,3.74,293.26,401.39
13.22,1.51,3.74,303.03,401.39
13.42,1.51,3.74,342.13,401.39
13.62,1.52,3.74,342.13,402.63
13.82,1.51,3.73,303.03,402.12
14.02,1.52,3.74,351.91,402.63
14.22,1.51,3.73,342.13,402.12
14.42,1.50,3.74,322.58,400.15
14.62,1.51,3.74,371.46,401.39
14.82,1.51,3.73,410.56,402.12
15.02,1.52,3.74,469.21,402.63
15.22,1.51,3.74,576.74,401.39
15.42,1.50,3.73,557.18,400.87
15.62,1.52,3.74,557.18,402.63
15.82,1.51,3.73,518.08,402.12
16.02,1.52,3.74,547.41,402.63
16.22,1.51,3.74,527.86,401.39
16.42,1.51,3.76,449.66,400.68
