# material: Nylon PA6
# geometry: cyl 3ch
# preform_diameter: 20.0
# material_color: White
# temperature_C: 176.0
# drawdown_ratio: 50.0
# trial_number: 091
# operator: Akila
# start_time: 2025-12-15 13:30:39
# notes: Feed and draw speed set to 1.5 mm per min and 3.75 m per min; both ends sealed close.
Time(s),Feed(mm/min),Wind(m/min),Diameter(um),Predicted_diameter(um)
1.22,1.51,3.74,136.85,401.39
1.42,1.50,3.74,185.73,400.15
1.62,1.52,3.76,146.63,401.91
1.82,1.50,3.73,136.85,400.87
2.02,1.52,3.74,146.63,402.63
2.22,1.50,3.76,156.40,399.44
2.42,1.50,3.76,146.63,399.44
2.62,1.51,3.73,146.63,402.12
2.82,1.52,3.76,166.18,401.91
3.02,1.51,3.74,136.85,401.39
3.22,1.50,3.74,127.08,400.15
3.42,1.52,3.74,127.08,402.63
3.62,1.51,3.74,146.63,401.39
3.82,1.51,3.73,136.85,402.12
4.02,1.51,3.74,117.30,401.39
4.22,1.51,3.74,156.40,401.39
4.42,1.51,3.74,117.30,401.39
4.62,1.50,3.74,127.08,400.15
4.82,1.52,3.74,127.08,402.63
5.02,1.50,3.74,107.53,400.15
5.22,1.50,3.76,107.53,399.44
5.42,1.52,3.74,127.08,402.63
5.62,1.52,3.74,127.08,402.63
5.82,1.51,3.73,127.08,402.12
6.02,1.51,3.73,107.53,402.12
6.22,1.51,3.73,136.85,402.12
6.42,1.51,3.74,107.53,401.39
6.62,1.52,3.73,127.08,403.36
6.82,1.51,3.74,127.08,401.39
7.02,1.51,3.74,107.53,401.39
7.22,1.50,3.73,127.08,400.87
7.42,1.49,3.73,136.85,399.63
7.62,1.50,3.74,136.85,400.15
7.82,1.51,3.74,127.08,401.39
8.02,1.51,3.76,117.30,400.68
8.22,1.52,3.74,146.63,402.63
8.42,1.50,3.74,136.85,400.15
8.62,1.52,3.74,127.08,402.63
8.82,1.52,3.74,136.85,402.63
9.02,1.52,3.74,127.08,402.63
9.22,1.52,3.74,97.75,402.63
9.42,1.51,3.74,136.85,401.39
9.62,1.51,3.76,146.63,400.68
9.82,1.50,3.73,127.08,400.87
10.02,1.52,3.74,136.85,402.63
10.22,1.52,3.76,146.63,401.91
10.42,1.52,3.76,156.40,401.91
10.62,1.51,3.72,136.85,402.84
10.82,1.52,3.74,146.63,402.63
11.02,1.51,3.74,136.85,401.39
11.22,1.53,3.74,127.08,403.86
11.42,1.51,3.74,166.18,401.39
11.62,1.51,3.76,263.93,400.68
11.82,1.52,3.73,175.95,403.36
12.02,1.52,3.74,156.40,402.63
12.22,1.51,3.74,166.18,401.39
12.42,1.50,3.73,156.40,400.87
12.62,1.49,3.74,234.60,398.91
12.82,1.52,3.74,293.26,402.63
13.02,1.52,3.76,283.48,401.91
13.22,1.50,3.73,234.60,400.87
13.42,1.52,3.74,185.73,402.63
13.62,1.52,3.74,195.50,402.63
13.82,1.50,3.73,156.40,400.87
14.02,1.52,3.74,185.73,402.63
14.22,1.50,3.74,185.73,400.15
14.42,1.51,3.74,166.18,401.39
14.62,1.50,3.73,156.40,400.87
14.82,1.52,3.76,166.18,401.91
15.02,1.52,3.73,166.18,403.36
15.22,1.50,3.74,127.08,400.15
15.42,1.51,3.74,146.63,401.39
15.62,1.52,3.74,136.85,402.63
15.82,1.50,3.73,156.40,400.87
16.02,1.51,3.74,156.40,401.39
16.22,1.52,3.74,136.85,402.63
16.42,1.52,3.74,166.18,402.63
16.62,1.50,3.74,156.40,400.15
16.82,1.51,3.74,166.18,401.39
17.02,1.50,3.74,156.40,400.15
17.22,1.50,3.74,146.63,400.15
17.42,1.52,3.74,175.95,402.63
17.62,1.52,3.74,166.18,402.63
17.82,1.50,3.73,146.63,400.87
18.02,1.52,3.74,146.63,402.63
18.22,1.52,3.76,146.63,401.91
18.42,1.51,3.74,156.40,401.39
18.62,1.51,3.74,146.63,401.39
18.82,1.51,3.76,156.40,400.68
19.02,1.52,3.74,117.30,402.63
19.22,1.50,3.73,136.85,400.87
19.42,1.51,3.73,156.40,402.12
19.62,1.51,3.74,146.63,401.39
19.82,1.51,3.73,127.08,402.12
20.02,1.52,3.74,166.18,402.63
20.22,1.52,3.73,156.40,403.36
20.42,1.49,3.74,156.40,398.91
20.62,1.51,3.73,146.63,402.12
20.82,1.51,3.74,127.08,401.39
21.02,1.50,3.74,127.08,400.15
21.22,1.52,3.73,146.63,403.36
21.42,1.53,3.74,127.08,403.86
21.62,1.50,3.73,136.85,400.87
21.82,1.51,3.73,127.08,402.12
22.02,1.52,3.74,146.63,402.63
22.22,1.51,3.73,136.85,402.12
22.42,1.50,3.76,127.08,399.44
22.62,1.52,3.74,136.85,402.63
22.82,1.52,3.74,146.63,402.63
23.02,1.50,3.73,117.30,400.87
23.22,1.51,3.74,156.40,401.39
23.42,1.52,3.76,136.85,401.91
23.62,1.50,3.76,117.30,399.44
23.82,1.52,3.73,175.95,403.36
24.02,1.52,3.74,185.73,402.63
24.22,1.51,3.74,136.85,401.39
24.42,1.52,3.74,166.18,402.63
24.62,1.52,3.76,195.50,401.91
24.82,1.52,3.74,185.73,402.63
25.02,1.50,3.73,156.40,400.87
25.22,1.52,3.74,185.73,402.63
25.42,1.52,3.74,156.40,402.63
25.62,1.52,3.76,166.18,401.91
25.82,1.52,3.74,156.40,402.63
26.02,1.51,3.74,166.18,401.39
26.22,1.50,3.74,156.40,400.15
26.42,1.51,3.73,156.40,402.12
26.62,1.52,3.74,156.40,402.63
26.82,1.51,3.74,136.85,401.39
27.02,1.51,3.76,127.08,400.68
27.22,1.52,3.74,146.63,402.63
27.42,1.52,3.73,146.63,403.36
27.62,1.49,3.74,117.30,398.91
27.82,1.51,3.74,146.63,401.39
28.02,1.52,3.74,127.08,402.63
28.22,1.50,3.73,107.53,400.87
28.42,1.52,3.74,146.63,402.63
28.62,1.51,3.74,156.40,401.39
28.82,1.50,3.74,127.08,400.15
29.02,1.51,3.73,166.18,402.12
29.22,1.52,3.76,166.18,401.91
29.42,1.51,3.73,136.85,402.12
29.62,1.49,3.73,136.85,399.63
29.82,1.51,3.73,136.85,402.12
30.02,1.52,3.74,136.85,402.63
30.22,1.52,3.73,127.08,403.36
30.42,1.52,3.74,117.30,402.63
30.62,1.52,3.74,156.40,402.63
30.82,1.50,3.73,127.08,400.87
31.02,1.51,3.74,146.63,401.39
31.22,1.52,3.74,146.63,402.63
31.42,1.50,3.73,117.30,400.87
31.62,1.50,3.74,127.08,400.15
31.82,1.51,3.73,127.08,402.12
32.02,1.52,3.76,127.08,401.91
32.22,1.51,3.73,107.53,402.12
32.42,1.52,3.73,117.30,403.36
32.62,1.52,3.74,107.53,402.63
32.82,1.52,3.74,117.30,402.63
33.02,1.52,3.72,156.40,404.08
33.22,1.52,3.74,283.48,402.63
33.42,1.50,3.76,156.40,399.44
33.62,1.51,3.74,166.18,401.39
33.82,1.52,3.74,185.73,402.63
34.02,1.51,3.74,146.63,401.39
34.22,1.51,3.72,185.73,402.84
34.42,1.51,3.76,156.40,400.68
34.62,1.52,3.76,156.40,401.91
34.82,1.51,3.73,146.63,402.12
35.02,1.51,3.73,136.85,402.12
35.22,1.50,3.74,136.85,400.15
35.42,1.52,3.74,127.08,402.63
35.62,1.50,3.73,127.08,400.87
35.82,1.53,3.74,156.40,403.86
36.02,1.52,3.74,156.40,402.63
36.22,1.52,3.74,185.73,402.63
36.42,1.51,3.73,185.73,402.12
36.62,1.52,3.74,195.50,402.63
36.82,1.52,3.73,156.40,403.36
37.02,1.50,3.73,156.40,400.87
37.22,1.52,3.74,195.50,402.63
37.42,1.51,3.76,195.50,400.68
37.62,1.52,3.76,195.50,401.91
37.82,1.51,3.73,175.95,402.12
38.02,1.50,3.74,185.73,400.15
38.22,1.50,3.74,175.95,400.15
38.42,1.50,3.73,156.40,400.87
38.62,1.52,3.74,175.95,402.63
38.82,1.51,3.73,156.40,402.12
39.02,1.51,3.73,175.95,402.12
39.22,1.52,3.73,175.95,403.36
39.42,1.52,3.74,185.73,402.63
39.62,1.52,3.74,185.73,402.63
39.82,1.50,3.74,195.50,400.15
40.02,1.52,3.74,205.28,402.63
40.22,1.50,3.74,254.15,400.15
40.42,1.51,3.74,283.48,401.39
40.62,1.50,3.74,391.01,400.15
40.82,1.50,3.74,439.88,400.15
41.02,1.51,3.73,498.53,402.12
41.22,1.50,3.73,400.78,400.87
41.42,1.52,3.73,459.43,403.36
41.62,1.52,3.74,498.53,402.63
41.82,1.50,3.73,625.61,400.87
42.02,1.51,3.73,733.14,402.12
42.22,1.52,3.74,635.39,402.63
42.42,1.52,3.76,537.63,401.91
42.62,1.53,3.73,498.53,404.59
42.82,1.50,3.74,488.76,400.15
43.02,1.51,3.74,449.66,401.39
43.22,1.50,3.74,410.56,400.15
43.42,1.50,3.74,391.01,400.15
43.62,1.52,3.74,361.68,402.63
43.82,1.50,3.74,332.36,400.15
44.02,1.52,3.73,312.81,403.36
44.22,1.51,3.73,322.58,402.12
44.42,1.51,3.74,351.91,401.39
44.62,1.52,3.74,410.56,402.63
44.82,1.50,3.73,439.88,400.87
45.02,1.52,3.74,430.11,402.63
45.22,1.52,3.74,400.78,402.63
45.42,1.50,3.74,342.13,400.15
45.62,1.52,3.74,342.13,402.63
45.82,1.50,3.74,361.68,400.15
46.02,1.50,3.73,381.23,400.87
46.22,1.51,3.74,361.68,401.39
46.42,1.52,3.74,361.68,402.63
46.62,1.52,3.74,400.78,402.63
46.82,1.51,3.73,400.78,402.12
47.02,1.50,3.73,381.23,400.87
47.22,1.52,3.74,361.68,402.63
47.42,1.51,3.74,332.36,401.39
47.62,1.52,3.73,332.36,403.36
47.82,1.52,3.74,312.81,402.63
48.02,1.51,3.74,312.81,401.39
48.22,1.51,3.73,283.48,402.12
48.42,1.51,3.76,283.48,400.68
48.62,1.52,3.74,312.81,402.63
48.82,1.51,3.73,303.03,402.12
49.02,1.51,3.76,322.58,400.68
49.22,1.52,3.74,351.91,402.63
49.42,1.52,3.74,342.13,402.63
49.62,1.50,3.74,332.36,400.15
49.82,1.50,3.74,381.23,400.15
50.02,1.50,3.74,430.11,400.15
50.22,1.50,3.73,508.31,400.87
50.42,1.51,3.74,654.94,401.39
50.62,1.52,3.74,615.84,402.63
50.82,1.49,3.73,488.76,399.63
51.02,1.51,3.73,439.88,402.12
51.22,1.51,3.74,371.46,401.39
51.42,1.50,3.74,342.13,400.15
51.62,1.50,3.73,361.68,400.87
51.82,1.52,3.74,322.58,402.63
52.02,1.51,3.74,322.58,401.39
52.22,1.51,3.76,322.58,400.68
52.42,1.51,3.74,283.48,401.39
52.62,1.51,3.74,303.03,401.39
52.82,1.50,3.73,293.26,400.87
53.02,1.50,3.74,312.81,400.15
53.22,1.51,3.73,332.36,402.12
53.42,1.52,3.74,332.36,402.63
53.62,1.51,3.73,303.03,402.12
53.82,1.52,3.74,381.23,402.63
54.02,1.52,3.74,391.01,402.63
54.22,1.52,3.76,420.33,401.91
54.42,1.50,3.73,498.53,400.87
54.62,1.51,3.74,537.63,401.39
54.82,1.50,3.73,410.56,400.87
55.02,1.51,3.73,371.46,402.12
55.22,1.52,3.74,371.46,402.63
55.42,1.51,3.74,351.91,401.39
55.62,1.50,3.73,332.36,400.87
55.82,1.52,3.74,342.13,402.63
56.02,1.52,3.74,351.91,402.63
56.22,1.52,3.74,342.13,402.63
56.42,1.51,3.73,342.13,402.12
56.62,1.52,3.76,332.36,401.91
56.82,1.50,3.74,371.46,400.15
57.02,1.50,3.74,322.58,400.15
57.22,1.51,3.74,351.91,401.39
57.42,1.50,3.76,332.36,399.44
57.62,1.50,3.74,342.13,400.15
57.82,1.52,3.74,391.01,402.63
58.02,1.52,3.73,449.66,403.36
58.22,1.50,3.73,547.41,400.87
58.42,1.52,3.74,791.79,402.63
58.62,1.52,3.74,1124.14,402.63
58.82,1.52,3.73,1153.47,403.36
59.02,1.52,3.72,1075.27,404.08
59.22,1.52,3.74,1085.04,402.63
59.42,1.51,3.74,1143.69,401.39
59.62,1.50,3.73,791.79,400.87
59.82,1.51,3.76,615.84,400.68
60.02,1.51,3.74,518.08,401.39
60.22,1.49,3.73,430.11,399.63
60.42,1.52,3.74,410.56,402.63
60.62,1.52,3.74,381.23,402.63
60.82,1.51,3.73,332.36,402.12
61.02,1.50,3.74,361.68,400.15
