# material: Nylon PA6
# geometry: cyl 3ch
# preform_diameter: 20.0
# material_color: White
# temperature_C: 185.0
# drawdown_ratio: 50.0
# trial_number: 094
# operator: Akila
# start_time: 2025-12-16 11:18:49
# notes: Feed and draw speed set to 2.25 mm per min and 5.62 m per min; both ends sealed close; more material inside the heating element.
Time(s),Feed(mm/min),Wind(m/min),Diameter(um),Predicted_diameter(um)
1.22,2.24,5.60,606.06,400.46
1.42,2.24,5.60,566.96,400.46
1.62,2.25,5.60,576.74,401.29
1.82,2.25,5.61,537.63,400.81
2.02,2.25,5.61,469.21,400.81
2.22,2.24,5.60,400.78,400.46
2.42,2.25,5.61,371.46,400.81
2.62,2.25,5.60,371.46,401.29
2.82,2.25,5.61,342.13,400.81
3.02,2.25,5.61,361.68,400.81
3.22,2.24,5.61,361.68,399.98
3.42,2.25,5.61,351.91,400.81
3.62,2.25,5.60,391.01,401.29
3.82,2.24,5.61,449.66,399.98
4.02,2.25,5.60,508.31,401.29
4.22,2.26,5.61,488.76,401.63
4.42,2.25,5.60,498.53,401.29
4.62,2.25,5.60,508.31,401.29
4.82,2.23,5.60,439.88,399.63
5.02,2.24,5.61,410.56,399.98
5.22,2.24,5.61,439.88,399.98
5.42,2.25,5.61,508.31,400.81
5.62,2.23,5.60,586.51,399.63
5.82,2.25,5.61,635.39,400.81
6.02,2.24,5.61,576.74,399.98
6.22,2.25,5.61,537.63,400.81
6.42,2.24,5.60,488.76,400.46
6.62,2.26,5.60,488.76,402.12
6.82,2.25,5.61,537.63,400.81
7.02,2.25,5.61,527.86,400.81
7.22,2.24,5.61,527.86,399.98
7.42,2.25,5.60,596.29,401.29
7.62,2.24,5.61,703.81,399.98
7.82,2.25,5.60,684.26,401.29
8.02,2.24,5.60,596.29,400.46
8.22,2.25,5.60,576.74,401.29
8.42,2.25,5.60,557.18,401.29
8.62,2.25,5.61,488.76,400.81
8.82,2.26,5.61,459.43,401.63
9.02,2.26,5.61,459.43,401.63
9.22,2.24,5.61,410.56,399.98
9.42,2.24,5.61,410.56,399.98
9.62,2.24,5.61,371.46,399.98
9.82,2.25,5.60,342.13,401.29
10.02,2.26,5.61,391.01,401.63
10.22,2.23,5.60,400.78,399.63
10.42,2.26,5.61,420.33,401.63
10.62,2.25,5.60,439.88,401.29
10.82,2.26,5.61,420.33,401.63
11.02,2.24,5.61,400.78,399.98
11.22,2.24,5.61,420.33,399.98
11.42,2.24,5.60,361.68,400.46
11.62,2.25,5.60,371.46,401.29
11.82,2.25,5.60,361.68,401.29
12.02,2.25,5.61,361.68,400.81
