# material: Nylon PA6
# geometry: cyl 3ch
# preform_diameter: 20.0
# material_color: White
# temperature_C: 185.0
# drawdown_ratio: 50.0
# trial_number: 095
# operator: Akila
# start_time: 2025-12-16 13:29:40
# notes: All settings similar to trial 094.
Time(s),Feed(mm/min),Wind(m/min),Diameter(um),Predicted_diameter(um)
1.22,2.26,5.61,361.68,401.63
1.42,2.25,5.60,351.91,401.29
1.62,2.25,5.61,342.13,400.81
1.82,2.24,5.61,312.81,399.98
2.02,2.26,5.60,332.36,402.12
2.22,2.24,5.60,312.81,400.46
2.42,2.25,5.60,342.13,401.29
2.62,2.24,5.60,312.81,400.46
2.82,2.25,5.61,332.36,400.81
3.02,2.24,5.61,322.58,399.98
3.22,2.25,5.61,361.68,400.81
3.42,2.23,5.61,342.13,399.15
3.62,2.24,5.61,342.13,399.98
3.82,2.26,5.60,391.01,402.12
4.02,2.25,5.61,449.66,400.81
4.22,2.23,5.61,400.78,399.15
4.42,2.25,5.58,400.78,401.77
4.62,2.25,5.61,410.56,400.81
4.82,2.26,5.62,381.23,401.15
5.02,2.25,5.61,420.33,400.81
5.22,2.26,5.61,351.91,401.63
5.42,2.25,5.61,381.23,400.81
5.62,2.23,5.61,361.68,399.15
5.82,2.25,5.61,371.46,400.81
6.02,2.25,5.61,361.68,400.81
6.22,2.25,5.60,351.91,401.29
6.42,2.25,5.60,361.68,401.29
6.62,2.25,5.61,342.13,400.81
6.82,2.24,5.61,312.81,399.98
7.02,2.25,5.61,322.58,400.81
7.22,2.25,5.60,332.36,401.29
7.42,2.24,5.61,342.13,399.98
7.62,2.25,5.60,361.68,401.29
7.82,2.26,5.61,351.91,401.63
8.02,2.25,5.61,342.13,400.81
8.22,2.25,5.60,351.91,401.29
8.42,2.25,5.61,361.68,400.81
8.62,2.24,5.60,332.36,400.46
8.82,2.25,5.60,342.13,401.29
9.02,2.23,5.60,322.58,399.63
9.22,2.25,5.62,361.68,400.33
9.42,2.25,5.60,361.68,401.29
9.62,2.25,5.61,361.68,400.81
9.82,2.24,5.60,351.91,400.46
10.02,2.25,5.61,371.46,400.81
10.22,2.24,5.61,342.13,399.98
10.42,2.24,5.61,342.13,399.98
10.62,2.24,5.60,361.68,400.46
10.82,2.25,5.61,381.23,400.81
11.02,2.23,5.60,371.46,399.63
11.22,2.26,5.61,371.46,401.63
11.42,2.25,5.60,361.68,401.29
11.62,2.25,5.61,381.23,400.81
11.82,2.25,5.60,361.68,401.29
12.02,2.26,5.61,400.78,401.63
12.22,2.26,5.61,381.23,401.63
12.42,2.24,5.60,410.56,400.46
12.62,2.25,5.61,420.33,400.81
12.82,2.25,5.61,449.66,400.81
13.02,2.25,5.60,420.33,401.29
13.22,2.25,5.60,478.98,401.29
13.42,2.25,5.61,459.43,400.81
13.62,2.24,5.60,449.66,400.46
13.82,2.25,5.60,459.43,401.29
14.02,2.26,5.61,469.21,401.63
14.22,2.26,5.60,478.98,402.12
14.42,2.24,5.61,469.21,399.98
14.62,2.25,5.61,488.76,400.81
14.82,2.23,5.61,459.43,399.15
15.02,2.25,5.61,469.21,400.81
15.22,2.25,5.61,459.43,400.81
15.42,2.25,5.61,478.98,400.81
15.62,2.25,5.60,469.21,401.29
15.82,2.26,5.61,518.08,401.63
16.02,2.24,5.60,557.18,400.46
16.22,2.25,5.61,625.61,400.81
16.42,2.25,5.60,664.71,401.29
16.62,2.25,5.60,782.01,401.29
16.82,2.25,5.60,957.97,401.29
17.02,2.25,5.61,1075.27,400.81
17.22,2.25,5.61,1055.72,400.81
17.42,2.25,5.61,1016.62,400.81
17.62,2.26,5.61,1075.27,401.63
17.82,2.24,5.61,899.32,399.98
18.02,2.24,5.60,977.52,400.46
18.22,2.24,5.61,850.44,399.98
18.42,2.25,5.60,997.07,401.29
18.62,2.24,5.61,889.54,399.98
18.82,2.26,5.61,801.56,401.63
