# material: Nylon PA6
# geometry: cyl cir 3ch
# preform_diameter: 20.0
# material_color: White
# temperature_C: 190.0
# drawdown_ratio: 50.0
# trial_number: 096
# operator: Akila
# start_time: 2025-12-17 10:35:06
# notes: Default feed speeds; less material inside.
Time(s),Feed(mm/min),Wind(m/min),Diameter(um),Predicted_diameter(um)
1.22,2.02,5.02,342.13,401.25
1.42,2.01,5.01,342.13,400.86
1.62,2.02,5.02,391.01,401.25
1.82,2.01,5.02,391.01,400.32
2.02,2.00,5.01,371.46,399.93
2.22,2.01,5.02,410.56,400.32
2.42,2.01,5.02,400.78,400.32
2.62,2.01,5.02,391.01,400.32
2.82,2.02,5.02,361.68,401.25
3.02,2.00,5.01,322.58,399.93
3.22,2.01,5.02,332.36,400.32
3.42,2.01,5.02,312.81,400.32
3.62,2.00,5.01,312.81,399.93
3.82,2.01,5.02,322.58,400.32
4.02,2.02,5.02,332.36,401.25
4.22,2.01,5.01,351.91,400.86
4.42,2.03,5.02,410.56,402.17
4.62,2.03,5.03,391.01,401.63
4.82,2.01,5.02,391.01,400.32
5.02,2.01,5.01,381.23,400.86
5.22,2.00,5.01,391.01,399.93
5.42,2.03,5.02,371.46,402.17
5.62,2.02,5.01,381.23,401.78
5.82,2.01,5.02,361.68,400.32
6.02,2.01,5.02,371.46,400.32
6.22,2.02,5.02,312.81,401.25
6.42,2.02,5.02,332.36,401.25
6.62,2.01,5.02,322.58,400.32
6.82,2.00,5.02,322.58,399.39
7.02,2.03,5.02,351.91,402.17
7.22,2.02,5.02,322.58,401.25
7.42,2.02,5.01,293.26,401.78
7.62,2.03,5.02,322.58,402.17
7.82,2.00,5.01,283.48,399.93
8.02,2.03,5.02,303.03,402.17
8.22,2.03,5.02,322.58,402.17
8.42,2.00,5.02,312.81,399.39
8.62,2.02,5.02,342.13,401.25
8.82,2.01,5.02,322.58,400.32
9.02,2.01,5.01,312.81,400.86
9.22,2.02,5.02,312.81,401.25
9.42,2.00,5.01,273.70,399.93
9.62,2.02,5.02,293.26,401.25
9.82,2.02,5.02,263.93,401.25
10.02,2.01,5.01,234.60,400.86
10.22,2.02,5.02,273.70,401.25
10.42,2.02,5.01,254.15,401.78
10.62,2.02,5.01,234.60,401.78
10.82,2.02,5.02,234.60,401.25
