# material: Nylon PA6
# geometry: cyl cir 3ch
# preform_diameter: 20.0
# material_color: White
# temperature_C: 185.0
# drawdown_ratio: 50.0
# trial_number: 098
# operator: Akila
# start_time: 2025-12-17 12:55:23
# notes: Default; less material.
Time(s),Feed(mm/min),Wind(m/min),Diameter(um),Predicted_diameter(um)
1.22,2.02,5.01,811.34,401.78
1.42,2.01,5.01,762.46,400.86
1.62,2.02,5.02,791.79,401.25
1.82,2.02,5.02,752.69,401.25
2.02,2.01,5.01,762.46,400.86
2.22,2.00,5.01,742.91,399.93
2.42,2.02,5.02,762.46,401.25
2.62,2.02,5.01,782.01,401.78
2.82,2.02,5.02,791.79,401.25
3.02,2.01,5.01,830.89,400.86
3.22,2.02,5.02,791.79,401.25
3.42,2.00,5.01,762.46,399.93
3.62,2.02,5.03,840.66,400.71
3.82,2.01,5.02,811.34,400.32
4.02,2.02,5.02,821.11,401.25
4.22,2.02,5.02,821.11,401.25
4.42,2.02,5.02,801.56,401.25
4.62,2.02,5.02,791.79,401.25
4.82,2.01,5.02,742.91,400.32
5.02,2.01,5.02,694.04,400.32
5.22,2.02,5.01,664.71,401.78
5.42,2.03,5.02,664.71,402.17
5.62,2.02,5.02,654.94,401.25
5.82,2.02,5.02,684.26,401.25
6.02,2.02,5.02,654.94,401.25
6.22,2.02,5.01,703.81,401.78
6.42,2.01,5.01,713.59,400.86
6.62,2.01,5.02,762.46,400.32
6.82,2.02,5.01,840.66,401.78
7.02,2.02,5.02,889.54,401.25
7.22,2.03,5.01,948.19,402.71
7.42,2.01,5.02,987.29,400.32
7.62,2.02,5.01,1006.84,401.78
7.82,2.02,5.02,967.74,401.25
8.02,2.02,5.01,928.64,401.78
8.22,2.02,5.01,957.97,401.78
8.42,2.02,5.03,997.07,400.71
8.62,2.02,5.02,997.07,401.25
8.82,2.01,5.01,1055.72,400.86
9.02,2.01,5.02,1065.49,400.32
9.22,2.02,5.02,1016.62,401.25
9.42,2.01,5.02,997.07,400.32
9.62,2.00,5.02,928.64,399.39
9.82,2.02,5.02,899.32,401.25
10.02,2.02,5.01,840.66,401.78
10.22,2.01,5.01,840.66,400.86
10.42,2.02,5.02,742.91,401.25
10.62,2.02,5.02,703.81,401.25
10.82,2.02,5.01,703.81,401.78
11.02,2.01,5.02,733.14,400.32
11.22,2.00,5.01,742.91,399.93
11.42,2.01,5.02,791.79,400.32
11.62,2.02,5.02,811.34,401.25
11.82,2.02,5.02,791.79,401.25
12.02,2.02,5.02,782.01,401.25
12.22,2.01,5.02,752.69,400.32
12.42,2.02,5.02,752.69,401.25
12.62,2.02,5.02,742.91,401.25
12.82,2.02,5.01,713.59,401.78
13.02,2.01,5.02,703.81,400.32
13.22,2.01,5.01,694.04,400.86
13.42,2.03,5.02,723.36,402.17
13.62,2.02,5.02,723.36,401.25
13.82,2.02,5.02,694.04,401.25
14.02,2.02,5.01,713.59,401.78
14.22,2.02,5.03,723.36,400.71
14.42,2.00,5.01,742.91,399.93
14.62,2.02,5.02,762.46,401.25
14.82,2.01,5.01,821.11,400.86
15.02,2.02,5.01,791.79,401.78
15.22,2.01,5.02,772.24,400.32
15.42,2.02,5.01,752.69,401.78
15.62,2.01,5.01,772.24,400.86
15.82,2.02,5.02,742.91,401.25
16.02,2.01,5.01,713.59,400.86
16.22,2.02,5.02,684.26,401.25
16.42,2.03,5.01,664.71,402.71
16.62,2.00,5.02,606.06,399.39
16.82,2.02,5.01,566.96,401.78
17.02,2.02,5.02,537.63,401.25
17.22,2.02,5.01,488.76,401.78
17.42,2.02,5.02,498.53,401.25
17.62,2.01,5.01,478.98,400.86
17.82,2.02,5.02,469.21,401.25
18.02,2.02,5.02,459.43,401.25
18.22,2.01,4.99,498.53,401.39
18.42,2.00,5.01,547.41,399.93
18.62,2.02,5.02,596.29,401.25
18.82,2.02,5.02,576.74,401.25
19.02,2.01,5.02,615.84,400.32
19.22,2.02,5.01,508.31,401.78
19.42,2.02,5.02,449.66,401.25
19.62,2.02,5.02,459.43,401.25
19.82,2.02,5.01,459.43,401.78
20.02,2.00,5.01,430.11,399.93
20.22,2.02,5.02,410.56,401.25
20.42,2.03,5.01,430.11,402.71
20.62,2.01,5.01,430.11,400.86
20.82,2.02,5.02,420.33,401.25
