# material: Nylon PA6,,,,
# geometry: 3ch,,,,
# preform_diameter: 20.0,,,,
# material_color: White,,,,
# temperature_C: 185.0,,,,
# drawdown_ratio: 50.0,,,,
# trial_number: 099,,,,
# operator: Akila,,,,
# start_time: 2025-12-18 10:53:21,,,,
# notes: Default feed and draw speed; less material inside heating element.,,,,
Time(s),Feed(mm/min),Wind(m/min),Diameter(um),Predicted_diameter(um)
1.22,2.01,5.02,166.18,400.32
1.42,2.02,5.02,185.73,401.25
1.62,2.01,5.03,175.95,399.79
1.82,2.02,5.02,175.95,401.25
2.02,2.01,5.02,195.5,400.32
2.22,2.01,5.01,185.73,400.86
2.42,2,5.02,166.18,399.39
2.62,2.01,5.02,205.28,400.32
2.82,2.01,5.01,263.93,400.86
3.02,2.01,5.01,273.7,400.86
3.22,2.01,5.02,342.13,400.32
3.42,2.02,5.01,322.58,401.78
3.62,2.02,5.02,283.48,401.25
3.82,2.01,5.01,263.93,400.86
4.02,2.02,5.02,263.93,401.25
4.22,2,5.02,234.6,399.39
4.42,2.01,5.01,254.15,400.86
4.62,2.02,5.01,254.15,401.78
4.82,2.02,5.01,234.6,401.78
5.02,2.02,5.02,263.93,401.25
5.22,2.01,5.01,303.03,400.86
5.42,2.01,5.02,391.01,400.32
5.62,2.01,5.01,400.78,400.86
5.82,2.03,5.01,391.01,402.71
6.02,2.01,5.02,371.46,400.32
6.22,2,5.02,303.03,399.39
6.42,2.02,5.01,312.81,401.78
6.62,2.01,5.03,312.81,399.79
6.82,2,5.03,410.56,398.86
7.02,2.02,5.02,518.08,401.25
7.22,2,5.01,488.76,399.93
7.42,2.01,5.02,459.43,400.32
7.62,2.02,5.02,430.11,401.25
7.82,2.02,5.01,351.91,401.78
8.02,2,5.02,273.7,399.39
8.22,2,5.02,254.15,399.39
8.42,2.01,5.02,244.38,400.32
8.62,2.01,5.01,205.28,400.86
8.82,2.01,5.02,215.05,400.32
9.02,2.01,5.01,205.28,400.86
9.22,2.02,5.02,234.6,401.25
9.42,2.02,5.02,234.6,401.25
9.62,2.01,5.01,224.83,400.86
9.82,2.01,5.02,215.05,400.32
10.02,2.01,4.99,205.28,401.39
10.22,2.02,5.02,195.5,401.25
10.42,2.02,5.02,215.05,401.25
10.62,2.02,5.02,185.73,401.25
10.82,2.01,5.02,205.28,400.32
11.02,2.02,5.02,156.4,401.25
11.22,2.02,5.01,156.4,401.78
11.42,2.01,5.02,166.18,400.32
11.62,2.01,5.02,156.4,400.32
11.82,2.01,5.02,156.4,400.32
12.02,2.01,5.01,166.18,400.86
12.22,2.01,5.02,146.63,400.32
12.42,2.01,5.02,146.63,400.32
