# material: Nylon PA6
# geometry: Three-Channel 1st AR
# preform_diameter: 20.0
# material_color: White
# temperature_C: 85290.0
# drawdown_ratio: 50.0
# trial_number: 101
# operator: Akila_Ahmed
# start_time: 2026-07-23 11:41:28
# notes: Feed and draw speeds set to 1.2 mm per min and 3.0 m per min. Corrected 1st AR with 0.3 mm layer thickness.
Time(s),Feed(mm/min),Wind(m/min),Diameter(um),Predicted_diameter(um)
1.22,1.20,3.01,307.92,399.75
1.42,1.20,3.01,298.14,399.75
1.62,1.21,3.02,307.92,400.40
1.82,1.20,3.01,317.69,399.75
2.02,1.22,2.99,303.03,403.74
2.22,1.20,2.99,307.92,400.64
2.42,1.18,3.02,293.26,395.76
2.62,1.18,2.98,298.14,398.42
2.82,1.20,3.01,298.14,399.75
3.02,1.20,2.99,332.36,400.64
3.22,1.19,3.02,337.24,397.31
3.42,1.19,3.01,317.69,398.20
3.62,1.19,3.01,332.36,398.20
3.82,1.19,2.99,312.81,399.09
4.02,1.20,2.99,327.47,400.64
4.22,1.20,3.01,327.47,399.75
4.42,1.21,2.99,307.92,402.19
4.62,1.21,3.01,312.81,401.29
4.82,1.19,2.98,273.70,399.99
5.02,1.19,3.01,278.59,398.20
5.22,1.20,3.01,283.48,399.75
5.42,1.19,3.01,298.14,398.20
5.62,1.20,3.02,307.92,398.86
5.82,1.19,3.02,312.81,397.31
6.02,1.18,2.99,303.03,397.53
6.22,1.21,3.01,298.14,401.29
6.42,1.20,2.99,303.03,400.64
6.62,1.19,3.01,293.26,398.20
6.82,1.22,3.01,312.81,402.84
7.02,1.22,3.01,317.69,402.84
7.22,1.21,3.02,332.36,400.40
7.42,1.21,2.99,356.79,402.19
7.62,1.19,3.02,351.91,397.31
7.82,1.20,2.98,322.58,401.55
8.02,1.19,3.01,327.47,398.20
8.22,1.20,3.01,317.69,399.75
8.42,1.21,3.02,312.81,400.40
8.62,1.20,3.01,298.14,399.75
8.82,1.19,2.99,312.81,399.09
9.02,1.18,2.99,312.81,397.53
9.22,1.21,3.01,332.36,401.29
9.42,1.21,3.01,351.91,401.29
9.62,1.18,3.02,351.91,395.76
9.82,1.19,2.99,337.24,399.09
10.02,1.19,3.01,332.36,398.20
10.22,1.20,2.98,317.69,401.55
10.42,1.22,3.02,303.03,401.94
10.62,1.21,3.01,307.92,401.29
10.82,1.20,3.01,293.26,399.75
11.02,1.19,2.99,273.70,399.09
11.22,1.21,2.98,283.48,403.10
11.42,1.20,3.01,293.26,399.75
11.62,1.20,3.02,283.48,398.86
11.82,1.20,3.02,312.81,398.86
12.02,1.20,3.02,307.92,398.86
12.22,1.19,2.99,312.81,399.09
12.42,1.19,3.01,298.14,398.20
12.62,1.21,3.01,317.69,401.29
12.82,1.21,3.02,327.47,400.40
13.02,1.20,3.03,342.13,397.98
13.22,1.20,3.01,356.79,399.75
13.42,1.21,3.01,356.79,401.29
13.62,1.20,2.98,366.57,401.55
13.82,1.20,3.01,347.02,399.75
14.02,1.22,3.01,347.02,402.84
14.22,1.21,3.01,337.24,401.29
