# material: Nylon PA6
# geometry: Three-Channel 1st AR
# preform_diameter: 20.0
# material_color: White
# temperature_C: 85290.0
# drawdown_ratio: 50.0
# trial_number: 101_4
# operator: Akila_Ahmed
# start_time: 2026-07-28 14:53:04
# notes: Feed and draw speed set to 1.2 mm per min and 3.0 m per min. Corrected 1st AR with 0.3 mm Layer thickness.
Time(s),Feed(mm/min),Wind(m/min),Diameter(um),Predicted_diameter(um)
1.22,1.19,2.99,254.15,399.09
1.42,1.20,3.02,249.27,398.86
1.62,1.19,3.02,254.15,397.31
1.82,1.19,3.01,278.59,398.20
2.02,1.19,3.02,288.37,397.31
2.22,1.21,3.01,283.48,401.29
2.42,1.20,3.02,263.93,398.86
2.62,1.20,3.01,288.37,399.75
2.82,1.21,2.99,307.92,402.19
3.02,1.19,3.02,288.37,397.31
3.22,1.21,3.02,263.93,400.40
3.42,1.19,3.01,283.48,398.20
3.62,1.21,3.05,283.48,398.63
3.82,1.19,2.99,298.14,399.09
4.02,1.20,3.03,283.48,397.98
4.22,1.20,3.01,278.59,399.75
4.42,1.21,2.99,244.38,402.19
4.62,1.20,3.02,259.04,398.86
4.82,1.22,3.02,259.04,401.94
5.02,1.18,3.01,254.15,396.64
5.22,1.21,2.99,234.60,402.19
5.42,1.19,3.02,239.49,397.31
5.62,1.19,3.01,254.15,398.20
5.82,1.21,2.99,249.27,402.19
6.02,1.20,3.02,244.38,398.86
6.22,1.19,3.02,254.15,397.31
6.42,1.21,3.02,303.03,400.40
6.62,1.19,3.01,298.14,398.20
6.82,1.20,3.02,307.92,398.86
7.02,1.19,3.01,263.93,398.20
7.22,1.19,3.01,278.59,398.20
7.42,1.20,3.02,273.70,398.86
7.62,1.19,2.99,268.82,399.09
7.82,1.20,3.02,259.04,398.86
8.02,1.20,3.01,268.82,399.75
8.22,1.21,2.99,278.59,402.19
8.42,1.20,3.02,278.59,398.86
8.62,1.21,2.99,263.93,402.19
8.82,1.20,2.98,278.59,401.55
9.02,1.21,3.02,259.04,400.40
9.22,1.17,3.01,259.04,395.07
9.42,1.20,2.99,254.15,400.64
9.62,1.18,2.99,254.15,397.53
9.82,1.22,2.99,268.82,403.74
10.02,1.21,3.02,263.93,400.40
10.22,1.20,2.99,278.59,400.64
10.42,1.20,2.99,283.48,400.64
10.62,1.20,3.02,278.59,398.86
10.82,1.21,3.03,273.70,399.52
11.02,1.21,3.01,263.93,401.29
11.22,1.19,3.01,273.70,398.20
11.42,1.19,2.99,259.04,399.09
11.62,1.20,3.03,293.26,397.98
11.82,1.19,3.01,273.70,398.20
12.02,1.20,3.02,293.26,398.86
12.22,1.21,2.99,263.93,402.19
12.42,1.20,3.02,268.82,398.86
12.62,1.18,3.01,268.82,396.64
12.82,1.19,3.01,268.82,398.20
13.02,1.19,3.01,268.82,398.20
13.22,1.22,3.02,254.15,401.94
13.42,1.19,3.02,249.27,397.31
13.62,1.21,3.02,273.70,400.40
13.82,1.19,3.01,263.93,398.20
14.02,1.19,3.01,244.38,398.20
14.22,1.21,3.01,278.59,401.29
14.42,1.18,2.99,298.14,397.53
14.62,1.22,3.02,268.82,401.94
14.82,1.21,3.02,249.27,400.40
15.02,1.21,3.01,268.82,401.29
15.22,1.19,3.01,263.93,398.20
15.42,1.21,3.02,263.93,400.40
15.62,1.20,3.01,273.70,399.75
15.82,1.20,3.02,283.48,398.86
16.02,1.21,3.02,268.82,400.40
16.22,1.21,3.01,259.04,401.29
16.42,1.21,3.02,263.93,400.40
16.62,1.21,2.99,234.60,402.19
16.82,1.19,3.02,224.83,397.31
17.02,1.21,3.02,229.72,400.40
17.22,1.19,3.02,244.38,397.31
17.42,1.19,3.02,244.38,397.31
17.62,1.19,3.02,263.93,397.31
17.82,1.20,2.99,273.70,400.64
18.02,1.20,3.01,298.14,399.75
18.22,1.20,3.01,278.59,399.75
18.42,1.21,3.02,263.93,400.40
18.62,1.21,3.01,263.93,401.29
18.82,1.19,3.02,283.48,397.31
19.02,1.19,3.01,273.70,398.20
19.22,1.19,3.02,283.48,397.31
19.42,1.19,2.99,273.70,399.09
19.62,1.21,2.99,283.48,402.19
19.82,1.20,2.99,273.70,400.64
20.02,1.21,3.02,303.03,400.40
20.22,1.19,2.99,303.03,399.09
20.42,1.21,3.02,283.48,400.40
20.62,1.19,2.98,273.70,399.99
20.82,1.19,3.02,288.37,397.31
21.02,1.20,2.99,303.03,400.64
21.22,1.20,3.02,303.03,398.86
21.42,1.21,3.01,293.26,401.29
21.62,1.19,2.97,307.92,400.89
21.82,1.19,3.01,293.26,398.20
22.02,1.21,3.01,268.82,401.29
22.22,1.18,3.02,263.93,395.76
22.42,1.21,3.01,283.48,401.29
22.62,1.18,2.99,268.82,397.53
22.82,1.19,3.01,278.59,398.20
23.02,1.19,3.02,288.37,397.31
23.22,1.20,2.99,268.82,400.64
23.42,1.22,3.01,273.70,402.84
23.62,1.19,3.02,273.70,397.31
23.82,1.21,3.02,273.70,400.40
24.02,1.20,3.01,288.37,399.75
24.22,1.21,3.02,283.48,400.40
24.42,1.18,3.01,283.48,396.64
24.62,1.19,3.02,278.59,397.31
24.82,1.18,3.01,273.70,396.64
25.02,1.20,3.01,273.70,399.75
25.22,1.20,2.99,273.70,400.64
25.42,1.20,3.02,278.59,398.86
25.62,1.19,3.01,298.14,398.20
25.82,1.21,3.02,293.26,400.40
26.02,1.20,3.02,278.59,398.86
26.22,1.19,3.02,298.14,397.31
26.42,1.19,3.02,298.14,397.31
26.62,1.21,3.01,293.26,401.29
26.82,1.19,3.02,263.93,397.31
27.02,1.20,3.03,268.82,397.98
27.22,1.20,3.01,288.37,399.75
27.42,1.17,3.01,303.03,395.07
27.62,1.21,3.02,322.58,400.40
27.82,1.18,3.01,337.24,396.64
28.02,1.21,3.02,307.92,400.40
28.22,1.19,2.99,278.59,399.09
28.42,1.19,3.02,273.70,397.31
28.62,1.20,2.99,288.37,400.64
28.82,1.22,3.02,298.14,401.94
29.02,1.19,3.02,288.37,397.31
29.22,1.20,2.99,288.37,400.64
29.42,1.21,3.01,283.48,401.29
29.62,1.19,3.01,273.70,398.20
29.82,1.20,3.02,273.70,398.86
30.02,1.19,2.99,293.26,399.09
30.22,1.21,3.02,278.59,400.40
30.42,1.18,3.01,278.59,396.64
30.62,1.20,3.01,283.48,399.75
30.82,1.19,2.99,278.59,399.09
31.02,1.21,3.03,303.03,399.52
31.22,1.19,3.01,288.37,398.20
31.42,1.20,3.02,293.26,398.86
31.62,1.21,3.01,278.59,401.29
31.82,1.20,3.02,278.59,398.86
32.02,1.19,3.02,263.93,397.31
32.22,1.21,3.01,263.93,401.29
32.42,1.20,3.02,249.27,398.86
32.62,1.19,3.01,263.93,398.20
32.82,1.19,3.01,268.82,398.20
33.02,1.20,3.01,259.04,399.75
33.22,1.21,2.99,268.82,402.19
33.42,1.20,3.01,263.93,399.75
33.62,1.20,3.01,273.70,399.75
33.82,1.20,3.01,273.70,399.75
34.02,1.19,3.02,298.14,397.31
34.22,1.20,3.03,298.14,397.98
34.42,1.19,3.03,298.14,396.43
34.62,1.19,2.99,268.82,399.09
34.82,1.21,3.02,278.59,400.40
35.02,1.20,2.99,244.38,400.64
35.22,1.21,3.02,278.59,400.40
35.42,1.21,3.02,278.59,400.40
35.62,1.20,3.05,293.26,397.10
35.82,1.21,3.01,273.70,401.29
36.02,1.19,3.01,303.03,398.20
36.22,1.20,3.02,278.59,398.86
36.42,1.21,2.99,288.37,402.19
36.62,1.21,2.98,293.26,403.10
36.82,1.22,3.01,298.14,402.84
37.02,1.21,3.02,278.59,400.40
37.22,1.20,3.01,263.93,399.75
37.42,1.21,3.03,259.04,399.52
37.62,1.19,2.99,263.93,399.09
37.82,1.21,3.02,263.93,400.40
38.02,1.19,2.99,283.48,399.09
38.22,1.20,3.01,273.70,399.75
38.42,1.18,3.01,278.59,396.64
38.62,1.20,3.01,298.14,399.75
38.82,1.19,2.99,312.81,399.09
39.02,1.22,3.01,327.47,402.84
39.22,1.19,2.98,312.81,399.99
39.42,1.20,3.01,317.69,399.75
39.62,1.19,3.02,298.14,397.31
39.82,1.19,2.99,312.81,399.09
40.02,1.18,2.99,312.81,397.53
40.22,1.20,3.01,307.92,399.75
40.42,1.17,3.01,288.37,395.07
40.62,1.21,3.02,283.48,400.40
40.82,1.19,3.01,278.59,398.20
41.02,1.21,3.01,307.92,401.29
41.22,1.19,3.01,283.48,398.20
41.42,1.22,2.99,303.03,403.74
41.62,1.19,3.02,278.59,397.31
41.82,1.20,3.02,283.48,398.86
42.02,1.21,3.01,283.48,401.29
42.22,1.20,2.99,298.14,400.64
42.42,1.21,3.01,288.37,401.29
42.62,1.19,3.01,288.37,398.20
42.82,1.21,3.01,283.48,401.29
43.02,1.21,3.02,288.37,400.40
43.22,1.19,3.02,293.26,397.31
43.42,1.19,3.01,293.26,398.20
43.62,1.20,3.02,312.81,398.86
43.82,1.20,2.99,298.14,400.64
44.02,1.21,3.02,322.58,400.40
44.22,1.19,3.02,303.03,397.31
44.42,1.21,3.01,322.58,401.29
44.62,1.19,3.01,327.47,398.20
44.82,1.20,3.01,347.02,399.75
45.02,1.19,2.99,312.81,399.09
45.22,1.19,3.01,307.92,398.20
45.42,1.19,2.99,303.03,399.09
45.62,1.20,3.01,327.47,399.75
45.82,1.19,3.02,317.69,397.31
46.02,1.20,2.99,317.69,400.64
46.22,1.20,3.01,312.81,399.75
46.42,1.20,3.01,312.81,399.75
46.62,1.20,3.01,303.03,399.75
46.82,1.19,3.01,307.92,398.20
47.02,1.19,3.02,303.03,397.31
47.22,1.19,2.99,288.37,399.09
47.42,1.18,3.02,283.48,395.76
47.62,1.19,2.99,298.14,399.09
47.82,1.21,3.02,303.03,400.40
48.02,1.20,3.01,298.14,399.75
48.22,1.20,3.01,298.14,399.75
48.42,1.18,3.01,298.14,396.64
48.62,1.21,3.02,307.92,400.40
48.82,1.18,2.98,312.81,398.42
49.02,1.20,3.02,307.92,398.86
49.22,1.21,3.01,337.24,401.29
49.42,1.21,3.01,327.47,401.29
49.62,1.19,3.02,322.58,397.31
49.82,1.21,3.02,327.47,400.40
50.02,1.19,2.99,332.36,399.09
50.22,1.21,3.02,332.36,400.40
50.42,1.19,2.99,312.81,399.09
50.62,1.20,3.02,303.03,398.86
50.82,1.20,2.97,312.81,402.45
51.02,1.20,3.02,312.81,398.86
51.22,1.19,3.02,317.69,397.31
51.42,1.21,3.02,337.24,400.40
51.62,1.18,2.99,332.36,397.53
51.82,1.20,3.02,337.24,398.86
52.02,1.19,2.99,322.58,399.09
52.22,1.20,3.01,303.03,399.75
52.42,1.20,3.02,288.37,398.86
52.62,1.20,3.01,278.59,399.75
52.82,1.19,3.01,259.04,398.20
53.02,1.21,3.01,273.70,401.29
53.22,1.20,2.99,273.70,400.64
53.42,1.19,3.02,278.59,397.31
53.62,1.19,3.02,298.14,397.31
53.82,1.20,2.99,317.69,400.64
54.02,1.18,2.99,322.58,397.53
54.22,1.19,3.02,337.24,397.31
54.42,1.19,3.02,322.58,397.31
54.62,1.21,3.01,322.58,401.29
54.82,1.19,3.03,317.69,396.43
55.02,1.20,2.99,303.03,400.64
55.22,1.20,2.99,283.48,400.64
55.42,1.20,2.99,298.14,400.64
55.62,1.21,3.02,312.81,400.40
55.82,1.20,3.01,307.92,399.75
56.02,1.21,3.01,298.14,401.29
56.22,1.21,2.99,303.03,402.19
56.42,1.19,3.02,327.47,397.31
56.62,1.19,2.99,337.24,399.09
56.82,1.19,3.02,327.47,397.31
57.02,1.20,2.99,332.36,400.64
57.22,1.20,2.99,327.47,400.64
57.42,1.20,2.99,337.24,400.64
57.62,1.22,3.05,332.36,400.16
57.82,1.21,3.01,347.02,401.29
58.02,1.20,3.01,342.13,399.75
58.22,1.19,3.01,337.24,398.20
58.42,1.19,3.01,347.02,398.20
58.62,1.19,3.01,361.68,398.20
58.82,1.21,3.02,361.68,400.40
59.02,1.20,2.99,371.46,400.64
59.22,1.21,3.02,347.02,400.40
59.42,1.19,3.01,356.79,398.20
59.62,1.21,3.02,351.91,400.40
59.82,1.18,2.99,337.24,397.53
60.02,1.20,3.02,342.13,398.86
60.22,1.19,3.03,312.81,396.43
60.42,1.20,2.99,342.13,400.64
60.62,1.19,3.02,322.58,397.31
60.82,1.20,2.99,332.36,400.64
61.02,1.22,2.99,332.36,403.74
61.22,1.20,3.02,327.47,398.86
61.42,1.21,3.03,312.81,399.52
61.62,1.19,2.99,342.13,399.09
61.82,1.20,3.02,342.13,398.86
62.02,1.20,3.02,332.36,398.86
62.22,1.19,3.02,351.91,397.31
62.42,1.19,2.99,337.24,399.09
62.62,1.21,2.99,337.24,402.19
62.82,1.21,2.99,312.81,402.19
63.02,1.21,3.01,337.24,401.29
63.22,1.20,2.99,337.24,400.64
63.42,1.20,3.02,317.69,398.86
63.62,1.21,3.01,327.47,401.29
63.82,1.22,3.02,317.69,401.94
64.02,1.19,3.01,322.58,398.20
64.22,1.20,3.01,317.69,399.75
64.42,1.20,3.02,317.69,398.86
64.62,1.20,3.02,303.03,398.86
64.82,1.18,2.99,298.14,397.53
65.02,1.20,2.99,298.14,400.64
65.22,1.18,2.99,293.26,397.53
65.42,1.21,3.02,317.69,400.40
65.62,1.18,3.02,332.36,395.76
65.82,1.20,3.02,351.91,398.86
66.02,1.19,3.02,322.58,397.31
66.22,1.21,3.01,322.58,401.29
66.42,1.21,3.01,322.58,401.29
66.62,1.21,3.02,307.92,400.40
66.82,1.20,3.05,307.92,397.10
67.02,1.19,3.01,298.14,398.20
67.22,1.20,3.01,288.37,399.75
67.42,1.21,3.02,293.26,400.40
67.62,1.19,3.02,283.48,397.31
67.82,1.20,2.98,288.37,401.55
68.02,1.21,2.99,293.26,402.19
68.22,1.17,2.99,293.26,395.96
68.42,1.20,3.02,307.92,398.86
68.62,1.19,2.99,298.14,399.09
68.82,1.21,3.02,288.37,400.40
69.02,1.18,2.99,278.59,397.53
69.22,1.19,3.03,303.03,396.43
69.42,1.20,3.01,288.37,399.75
69.62,1.21,3.02,298.14,400.40
69.82,1.19,3.02,307.92,397.31
70.02,1.21,3.01,307.92,401.29
70.22,1.19,3.01,312.81,398.20
70.42,1.20,3.01,317.69,399.75
70.62,1.18,3.01,312.81,396.64
70.82,1.22,3.01,322.58,402.84
71.02,1.21,3.02,332.36,400.40
71.22,1.20,3.01,361.68,399.75
71.42,1.21,3.02,337.24,400.40
71.62,1.19,3.02,337.24,397.31
71.82,1.19,2.99,327.47,399.09
72.02,1.19,3.01,332.36,398.20
72.22,1.21,3.02,332.36,400.40
72.42,1.20,2.99,322.58,400.64
72.62,1.20,3.02,322.58,398.86
72.82,1.19,3.01,307.92,398.20
73.02,1.20,3.02,312.81,398.86
73.22,1.19,3.01,332.36,398.20
73.42,1.21,3.01,342.13,401.29
73.62,1.19,3.02,317.69,397.31
73.82,1.21,3.02,327.47,400.40
74.02,1.20,3.01,327.47,399.75
74.22,1.20,3.02,322.58,398.86
74.42,1.19,3.01,317.69,398.20
74.62,1.20,3.01,322.58,399.75
74.82,1.20,3.02,332.36,398.86
75.02,1.20,2.99,312.81,400.64
75.22,1.19,3.01,312.81,398.20
75.42,1.21,3.01,322.58,401.29
75.62,1.20,3.01,332.36,399.75
75.82,1.20,3.02,312.81,398.86
76.02,1.20,3.02,307.92,398.86
76.22,1.17,3.01,332.36,395.07
76.42,1.21,3.02,322.58,400.40
76.62,1.18,3.02,361.68,395.76
76.82,1.18,3.02,386.12,395.76
77.02,1.20,3.01,366.57,399.75
77.22,1.21,3.02,371.46,400.40
77.42,1.20,3.02,361.68,398.86
77.62,1.20,3.02,351.91,398.86
77.82,1.20,3.02,337.24,398.86
78.02,1.20,2.99,322.58,400.64
78.22,1.18,2.99,288.37,397.53
78.42,1.19,3.01,283.48,398.20
78.62,1.20,3.03,298.14,397.98
78.82,1.21,3.02,317.69,400.40
79.02,1.19,2.99,322.58,399.09
79.22,1.21,3.02,342.13,400.40
79.42,1.20,2.99,332.36,400.64
79.62,1.19,3.01,327.47,398.20
79.82,1.21,3.02,322.58,400.40
80.02,1.18,2.99,317.69,397.53
80.22,1.20,3.02,303.03,398.86
80.42,1.20,3.02,317.69,398.86
80.62,1.21,3.01,337.24,401.29
80.82,1.21,2.99,337.24,402.19
81.02,1.20,3.02,337.24,398.86
81.22,1.17,3.02,327.47,394.19
81.42,1.21,3.02,307.92,400.40
81.62,1.19,3.01,293.26,398.20
81.82,1.21,3.03,288.37,399.52
82.02,1.18,2.97,283.48,399.32
82.22,1.21,3.02,303.03,400.40
82.42,1.19,3.01,298.14,398.20
82.62,1.21,3.02,298.14,400.40
82.82,1.19,3.03,288.37,396.43
83.02,1.20,3.01,293.26,399.75
83.22,1.20,2.99,288.37,400.64
83.42,1.20,2.98,293.26,401.55
83.62,1.21,3.01,293.26,401.29
83.82,1.20,2.99,307.92,400.64
84.02,1.20,3.02,298.14,398.86
84.22,1.20,2.95,288.37,403.37
84.42,1.18,3.03,288.37,394.88
84.62,1.20,3.01,273.70,399.75
84.82,1.20,3.01,273.70,399.75
85.02,1.20,3.02,263.93,398.86
85.22,1.19,3.02,288.37,397.31
85.42,1.18,3.01,288.37,396.64
85.62,1.20,3.01,307.92,399.75
85.82,1.19,3.02,298.14,397.31
86.02,1.19,3.01,317.69,398.20
86.22,1.21,3.02,307.92,400.40
86.42,1.19,3.01,327.47,398.20
86.62,1.19,3.01,322.58,398.20
86.82,1.20,2.99,322.58,400.64
87.02,1.19,3.01,327.47,398.20
87.22,1.20,3.02,312.81,398.86
87.42,1.21,3.02,312.81,400.40
87.62,1.20,2.99,303.03,400.64
87.82,1.21,3.01,307.92,401.29
88.02,1.18,2.97,312.81,399.32
88.22,1.20,3.01,312.81,399.75
88.42,1.21,3.01,332.36,401.29
88.62,1.20,3.01,342.13,399.75
88.82,1.19,3.02,332.36,397.31
89.02,1.21,3.02,332.36,400.40
89.22,1.19,3.01,322.58,398.20
89.42,1.19,3.02,307.92,397.31
89.62,1.18,3.01,288.37,396.64
89.82,1.19,3.02,288.37,397.31
90.02,1.19,2.98,303.03,399.99
90.22,1.21,3.02,317.69,400.40
90.42,1.20,3.02,317.69,398.86
90.62,1.21,3.01,322.58,401.29
90.82,1.20,3.01,303.03,399.75
91.02,1.20,3.02,278.59,398.86
91.22,1.21,3.02,283.48,400.40
91.42,1.20,2.99,303.03,400.64
91.62,1.22,3.02,307.92,401.94
91.82,1.19,2.99,317.69,399.09
92.02,1.19,3.02,337.24,397.31
92.22,1.20,3.01,342.13,399.75
92.42,1.19,3.01,327.47,398.20
92.62,1.20,3.02,332.36,398.86
92.82,1.20,3.03,312.81,397.98
93.02,1.18,3.01,298.14,396.64
93.22,1.20,2.99,298.14,400.64
93.42,1.19,3.01,288.37,398.20
93.62,1.21,3.02,322.58,400.40
