# material: Nylon PA6
# geometry: 3ch
# preform_diameter: 20.0
# material_color: White
# temperature_C: 183.0
# drawdown_ratio: 50.0
# trial_number: 102
# operator: Akila
# start_time: 2025-12-19 14:33:33
# notes: Feed and draw speed set to 1.75 mm per min and 4.38 m per min; less material; upto 1st mark inside the heating element.
Time(s),Feed(mm/min),Wind(m/min),Diameter(um),Predicted_diameter(um)
1.22,1.77,4.38,332.36,402.15
1.42,1.76,4.36,332.36,401.70
1.62,1.75,4.38,322.58,400.02
1.82,1.76,4.35,273.70,402.32
2.02,1.75,4.38,234.60,400.02
2.22,1.77,4.36,244.38,402.76
2.42,1.75,4.36,215.05,400.64
2.62,1.77,4.36,244.38,402.76
2.82,1.76,4.35,244.38,402.32
3.02,1.77,4.38,342.13,402.15
3.22,1.76,4.36,312.81,401.70
3.42,1.75,4.36,273.70,400.64
3.62,1.75,4.36,420.33,400.64
3.82,1.75,4.36,420.33,400.64
4.02,1.77,4.36,518.08,402.76
4.22,1.75,4.35,351.91,401.26
4.42,1.77,4.36,332.36,402.76
4.62,1.76,4.36,342.13,401.70
4.82,1.76,4.38,371.46,401.09
5.02,1.77,4.36,410.56,402.76
5.22,1.75,4.38,410.56,400.02
5.42,1.76,4.38,459.43,401.09
5.62,1.75,4.38,332.36,400.02
5.82,1.76,4.36,303.03,401.70
6.02,1.75,4.35,273.70,401.26
6.22,1.76,4.36,254.15,401.70
6.42,1.76,4.35,215.05,402.32
6.62,1.75,4.36,205.28,400.64
6.82,1.76,4.36,205.28,401.70
7.02,1.76,4.36,244.38,401.70
7.22,1.75,4.36,195.50,400.64
7.42,1.75,4.38,205.28,400.02
7.62,1.76,4.35,166.18,402.32
7.82,1.75,4.35,175.95,401.26
8.02,1.77,4.38,195.50,402.15
8.22,1.75,4.35,195.50,401.26
8.42,1.76,4.36,224.83,401.70
8.62,1.76,4.35,254.15,402.32
8.82,1.77,4.36,254.15,402.76
9.02,1.74,4.36,215.05,399.57
9.22,1.77,4.36,205.28,402.76
9.42,1.76,4.36,244.38,401.70
9.62,1.75,4.35,342.13,401.26
9.82,1.76,4.36,322.58,401.70
10.02,1.75,4.36,263.93,400.64
10.22,1.76,4.38,273.70,401.09
10.42,1.76,4.35,303.03,402.32
10.62,1.76,4.38,351.91,401.09
10.82,1.75,4.38,332.36,400.02
11.02,1.77,4.38,303.03,402.15
11.22,1.77,4.34,312.81,404.01
11.42,1.77,4.36,342.13,402.76
11.62,1.76,4.35,342.13,402.32
11.82,1.75,4.36,342.13,400.64
12.02,1.76,4.36,391.01,401.70
12.22,1.76,4.35,351.91,402.32
12.42,1.77,4.36,410.56,402.76
12.62,1.75,4.38,391.01,400.02
