# material: Nylon PA6
# geometry: Three-Channel 2nd AR
# preform_diameter: 20.0
# material_color: White
# temperature_C: 85290.0
# drawdown_ratio: 50.0
# trial_number: 102_2
# operator: Akila_Ahmed
# start_time: 2026-07-27 11:17:31
# notes: Feed and draw speeds set to 1.2 mm per min and 3.0 m per min. Corrected 2nd AR 0.3 mm Layer thickness.
Time(s),Feed(mm/min),Wind(m/min),Diameter(um),Predicted_diameter(um)
1.22,1.20,3.01,332.36,399.75
1.42,1.19,3.02,347.02,397.31
1.62,1.19,2.99,332.36,399.09
1.82,1.19,3.01,298.14,398.20
2.02,1.21,3.02,293.26,400.40
2.22,1.20,2.99,288.37,400.64
2.42,1.20,3.02,298.14,398.86
2.62,1.19,3.02,303.03,397.31
2.82,1.20,3.02,303.03,398.86
3.02,1.20,2.99,293.26,400.64
3.22,1.21,3.02,288.37,400.40
3.42,1.18,3.01,283.48,396.64
3.62,1.19,2.99,283.48,399.09
3.82,1.21,3.02,283.48,400.40
4.02,1.19,2.98,288.37,399.99
4.22,1.20,3.01,293.26,399.75
4.42,1.21,3.02,298.14,400.40
4.62,1.19,3.02,298.14,397.31
4.82,1.20,3.01,298.14,399.75
5.02,1.19,3.01,293.26,398.20
5.22,1.20,2.98,312.81,401.55
5.42,1.21,3.02,307.92,400.40
5.62,1.21,3.01,307.92,401.29
5.82,1.18,2.99,288.37,397.53
6.02,1.20,3.01,293.26,399.75
6.22,1.21,3.02,283.48,400.40
6.42,1.21,3.01,307.92,401.29
6.62,1.21,3.02,303.03,400.40
6.82,1.19,3.03,303.03,396.43
7.02,1.19,2.99,317.69,399.09
7.22,1.21,3.02,342.13,400.40
7.42,1.20,3.02,317.69,398.86
7.62,1.20,3.01,303.03,399.75
7.82,1.20,3.01,312.81,399.75
8.02,1.19,2.99,317.69,399.09
8.22,1.20,2.98,351.91,401.55
8.42,1.21,3.02,332.36,400.40
8.62,1.18,2.99,332.36,397.53
8.82,1.20,3.01,337.24,399.75
9.02,1.19,3.01,312.81,398.20
9.22,1.19,3.02,317.69,397.31
9.42,1.20,3.01,303.03,399.75
9.62,1.18,2.99,283.48,397.53
9.82,1.20,3.01,298.14,399.75
10.02,1.21,3.02,298.14,400.40
10.22,1.20,3.01,293.26,399.75
10.42,1.19,3.01,288.37,398.20
10.62,1.20,3.01,273.70,399.75
10.82,1.21,3.01,268.82,401.29
11.02,1.21,3.01,283.48,401.29
11.22,1.21,3.01,288.37,401.29
