# material: Nylon PA6
# geometry: Three-Channel 2nd AR
# preform_diameter: 20.0
# material_color: White
# temperature_C: 85290.0
# drawdown_ratio: 50.0
# trial_number: 102_3
# operator: Akila_Ahmed
# start_time: 2026-07-28 10:46:19
# notes: Feed and draw speeds set to 1.2 mm per min and 3.0 m per min. Corrected 2nd AR with 0.3 mm Layer thickness.
Time(s),Feed(mm/min),Wind(m/min),Diameter(um),Predicted_diameter(um)
1.22,1.19,3.01,391.01,398.20
1.42,1.22,3.01,395.89,402.84
1.62,1.20,3.01,386.12,399.75
1.82,1.21,3.01,381.23,401.29
2.02,1.21,3.01,391.01,401.29
2.22,1.18,2.99,376.34,397.53
2.42,1.19,3.02,376.34,397.31
2.62,1.19,3.02,381.23,397.31
2.82,1.18,2.99,356.79,397.53
3.02,1.21,3.01,361.68,401.29
3.22,1.20,3.02,366.57,398.86
3.42,1.19,3.01,356.79,398.20
3.62,1.18,2.99,366.57,397.53
3.82,1.20,3.02,366.57,398.86
4.02,1.20,3.02,361.68,398.86
4.22,1.20,2.99,347.02,400.64
4.42,1.20,2.99,322.58,400.64
4.62,1.22,3.03,327.47,401.05
4.82,1.19,3.01,317.69,398.20
5.02,1.19,3.01,332.36,398.20
5.22,1.18,2.99,351.91,397.53
5.42,1.20,3.02,332.36,398.86
5.62,1.19,3.02,337.24,397.31
5.82,1.20,2.99,342.13,400.64
6.02,1.22,3.01,347.02,402.84
6.22,1.20,3.01,351.91,399.75
6.42,1.21,3.01,337.24,401.29
6.62,1.20,3.02,366.57,398.86
6.82,1.21,3.01,371.46,401.29
7.02,1.21,3.02,361.68,400.40
7.22,1.21,2.99,351.91,402.19
7.42,1.20,3.02,356.79,398.86
7.62,1.19,3.03,361.68,396.43
7.82,1.20,3.02,347.02,398.86
8.02,1.20,2.99,371.46,400.64
8.22,1.20,3.02,366.57,398.86
8.42,1.20,3.02,371.46,398.86
8.62,1.19,3.01,342.13,398.20
8.82,1.19,3.02,312.81,397.31
9.02,1.21,3.02,317.69,400.40
9.22,1.19,2.99,332.36,399.09
9.42,1.20,2.99,337.24,400.64
9.62,1.20,3.01,342.13,399.75
9.82,1.19,3.02,322.58,397.31
10.02,1.19,2.99,322.58,399.09
10.22,1.20,3.01,347.02,399.75
10.42,1.21,3.01,342.13,401.29
10.62,1.20,3.02,332.36,398.86
10.82,1.20,2.99,337.24,400.64
11.02,1.21,3.01,337.24,401.29
11.22,1.19,2.99,322.58,399.09
11.42,1.19,2.99,337.24,399.09
11.62,1.20,3.01,332.36,399.75
11.82,1.20,3.02,298.14,398.86
12.02,1.21,3.02,307.92,400.40
12.22,1.19,2.99,317.69,399.09
12.42,1.20,3.02,322.58,398.86
12.62,1.19,3.02,312.81,397.31
12.82,1.19,3.03,312.81,396.43
13.02,1.20,2.99,317.69,400.64
13.22,1.20,2.99,317.69,400.64
13.42,1.18,2.99,303.03,397.53
13.62,1.19,2.99,327.47,399.09
13.82,1.21,3.05,322.58,398.63
14.02,1.21,3.01,337.24,401.29
14.22,1.22,2.99,327.47,403.74
14.42,1.21,3.02,307.92,400.40
14.62,1.22,3.01,298.14,402.84
14.82,1.19,3.01,293.26,398.20
15.02,1.19,3.02,298.14,397.31
