# material: Nylon PA6
# geometry: 3ch
# preform_diameter: 20.0
# material_color: White
# temperature_C: 192.0
# drawdown_ratio: 50.0
# trial_number: 103
# operator: Akila
# start_time: 2025-12-22 10:56:56
# notes: Feed and draw speed set to 1.75 mm per min and 4.38 m per min; less material inside; upto first mark.
Time(s),Feed(mm/min),Wind(m/min),Diameter(um),Predicted_diameter(um)
1.22,1.76,4.36,410.56,401.70
1.42,1.73,4.35,371.46,399.12
1.62,1.74,4.36,351.91,399.57
1.82,1.75,4.36,351.91,400.64
2.02,1.75,4.36,303.03,400.64
2.22,1.75,4.36,322.58,400.64
2.42,1.76,4.36,312.81,401.70
2.62,1.76,4.36,312.81,401.70
2.82,1.74,4.35,303.03,400.19
3.02,1.75,4.36,293.26,400.64
3.22,1.75,4.36,293.26,400.64
3.42,1.75,4.35,273.70,401.26
3.62,1.75,4.36,283.48,400.64
3.82,1.76,4.36,244.38,401.70
4.02,1.76,4.36,273.70,401.70
4.22,1.74,4.35,283.48,400.19
4.42,1.76,4.35,244.38,402.32
4.62,1.76,4.36,215.05,401.70
4.82,1.73,4.35,234.60,399.12
5.02,1.76,4.36,342.13,401.70
5.22,1.75,4.35,312.81,401.26
5.42,1.75,4.36,283.48,400.64
5.62,1.76,4.36,283.48,401.70
5.82,1.76,4.34,293.26,402.94
6.02,1.74,4.36,322.58,399.57
6.22,1.75,4.36,244.38,400.64
6.42,1.76,4.36,263.93,401.70
6.62,1.76,4.35,263.93,402.32
6.82,1.73,4.36,215.05,398.50
7.02,1.76,4.34,254.15,402.94
7.22,1.74,4.35,244.38,400.19
7.42,1.75,4.35,283.48,401.26
7.62,1.76,4.38,273.70,401.09
7.82,1.75,4.36,283.48,400.64
8.02,1.75,4.36,234.60,400.64
8.22,1.73,4.36,254.15,398.50
8.42,1.76,4.36,263.93,401.70
8.62,1.73,4.35,234.60,399.12
8.82,1.74,4.36,234.60,399.57
9.02,1.75,4.36,215.05,400.64
9.22,1.74,4.36,234.60,399.57
