# material: Nylon PA6
# geometry: Three-Channel 3rd AR
# preform_diameter: 20.0
# material_color: White
# temperature_C: 29085.0
# drawdown_ratio: 50.0
# trial_number: 103
# operator: Akila_Ahmed
# start_time: 2026-07-22 10:34:36
# notes: Feed and draw speeds set to 1.2 mm per min and 3.0 m per min. 3rd Aspect Ratio. Updated to correct AR  from the original experiments in Micromachines.
Time(s),Feed(mm/min),Wind(m/min),Diameter(um),Predicted_diameter(um)
1.15,1.11,2.91,386.12,390.09
1.35,1.11,2.93,400.78,389.19
1.55,1.12,2.91,415.44,391.72
1.75,1.11,2.90,425.22,390.99
1.95,1.13,2.89,420.33,395.18
2.15,1.14,2.91,405.67,394.97
2.35,1.14,2.91,386.12,394.97
2.55,1.13,2.91,391.01,393.35
2.75,1.14,2.91,381.23,394.97
2.95,1.13,2.89,386.12,395.18
3.15,1.10,2.89,391.01,390.25
3.35,1.12,2.89,415.44,393.54
3.55,1.11,2.91,391.01,390.09
3.75,1.15,2.89,391.01,398.43
3.95,1.15,2.91,371.46,396.59
4.15,1.12,2.91,381.23,391.72
4.35,1.14,2.91,376.34,394.97
4.55,1.12,2.90,366.57,392.63
4.75,1.14,2.91,376.34,394.97
4.95,1.13,2.90,381.23,394.26
5.15,1.10,2.89,376.34,390.25
5.35,1.11,2.90,376.34,390.99
5.55,1.13,2.91,376.34,393.35
5.75,1.20,2.99,0.00,400.64
5.95,1.14,2.93,376.34,394.06
6.15,1.13,2.91,366.57,393.35
6.35,1.13,2.90,371.46,394.26
6.55,1.14,2.93,376.34,394.06
6.75,1.14,2.93,366.57,394.06
6.95,1.14,2.93,371.46,394.06
7.15,1.13,2.89,351.91,395.18
7.35,1.18,2.98,0.00,398.42
7.55,1.12,2.89,342.13,393.54
7.75,1.14,2.89,342.13,396.80
7.95,1.13,2.91,347.02,393.35
8.15,1.14,2.89,356.79,396.80
8.35,1.13,2.90,361.68,394.26
8.55,1.13,2.91,356.79,393.35
8.75,1.14,2.90,317.69,395.89
8.95,1.13,2.90,312.81,394.26
9.15,1.12,2.93,332.36,390.82
9.35,1.09,2.91,317.69,386.79
9.55,1.13,2.89,317.69,395.18
9.75,1.13,2.89,312.81,395.18
9.95,1.12,2.93,327.47,390.82
10.15,1.13,2.91,317.69,393.35
10.35,1.12,2.91,307.92,391.72
10.55,1.13,2.93,293.26,392.45
10.75,1.14,2.91,288.37,394.97
10.95,1.11,2.91,298.14,390.09
11.15,1.13,2.90,298.14,394.26
11.35,1.13,2.90,273.70,394.26
11.55,1.13,2.90,273.70,394.26
11.75,1.13,2.90,273.70,394.26
11.95,1.15,2.91,283.48,396.59
12.15,1.14,2.93,293.26,394.06
12.35,1.14,2.93,293.26,394.06
12.55,1.12,2.91,293.26,391.72
12.75,1.14,2.90,307.92,395.89
12.95,1.13,2.90,293.26,394.26
13.15,1.13,2.89,293.26,395.18
13.35,1.11,2.89,288.37,391.90
13.55,1.12,2.91,312.81,391.72
13.75,1.14,2.91,307.92,394.97
13.95,1.12,2.91,303.03,391.72
14.15,1.14,2.91,307.92,394.97
14.35,1.12,2.91,303.03,391.72
14.55,1.14,2.93,303.03,394.06
14.75,1.11,2.91,298.14,390.09
