# material: Nylon PA6
# geometry: Three-Channel 3rd AR
# preform_diameter: 20.0
# material_color: White
# temperature_C: 85290.0
# drawdown_ratio: 50.0
# trial_number: 103_2
# operator: Akila_Ahmed
# start_time: 2026-07-27 12:26:37
# notes: Feed and draw speeds set to 1.2 mm per min and 3.0 m per min. Corrected 3rd AR 0.3 mm Layer thickness.
Time(s),Feed(mm/min),Wind(m/min),Diameter(um),Predicted_diameter(um)
1.22,1.20,3.02,317.69,398.86
1.42,1.19,3.02,303.03,397.31
1.62,1.21,3.02,293.26,400.40
1.82,1.20,2.98,327.47,401.55
2.02,1.19,3.02,298.14,397.31
2.22,1.19,2.99,293.26,399.09
2.42,1.21,3.01,307.92,401.29
2.62,1.19,3.02,288.37,397.31
2.82,1.20,2.99,307.92,400.64
3.02,1.20,2.99,307.92,400.64
3.22,1.19,3.01,278.59,398.20
3.42,1.21,3.01,293.26,401.29
3.62,1.20,2.99,298.14,400.64
3.82,1.20,3.01,288.37,399.75
4.02,1.20,3.02,298.14,398.86
4.22,1.20,3.02,288.37,398.86
4.42,1.19,3.01,288.37,398.20
4.62,1.19,3.01,278.59,398.20
4.82,1.19,2.99,273.70,399.09
5.02,1.18,3.01,263.93,396.64
5.22,1.20,2.99,278.59,400.64
5.42,1.19,2.99,263.93,399.09
5.62,1.19,3.01,263.93,398.20
5.82,1.21,3.02,273.70,400.40
6.02,1.21,3.02,259.04,400.40
6.22,1.20,3.01,288.37,399.75
6.42,1.18,3.02,298.14,395.76
6.62,1.19,2.99,288.37,399.09
6.82,1.20,3.02,278.59,398.86
7.02,1.19,3.02,259.04,397.31
7.22,1.19,2.99,273.70,399.09
7.42,1.20,3.01,263.93,399.75
7.62,1.21,2.99,273.70,402.19
7.82,1.20,2.97,298.14,402.45
8.02,1.21,3.02,293.26,400.40
8.22,1.19,2.99,273.70,399.09
8.42,1.19,3.02,288.37,397.31
8.62,1.19,3.02,283.48,397.31
8.82,1.18,3.01,263.93,396.64
9.02,1.20,3.01,278.59,399.75
9.22,1.19,3.01,283.48,398.20
9.42,1.19,3.01,273.70,398.20
9.62,1.21,3.01,293.26,401.29
9.82,1.18,3.01,293.26,396.64
10.02,1.20,3.01,293.26,399.75
10.22,1.21,3.01,298.14,401.29
10.42,1.18,3.01,312.81,396.64
10.62,1.20,3.01,312.81,399.75
10.82,1.19,3.02,307.92,397.31
11.02,1.20,3.01,307.92,399.75
11.22,1.21,3.02,317.69,400.40
11.42,1.20,3.02,293.26,398.86
11.62,1.19,3.01,293.26,398.20
11.82,1.21,2.99,298.14,402.19
12.02,1.19,2.99,283.48,399.09
12.22,1.22,3.01,283.48,402.84
12.42,1.19,3.02,273.70,397.31
12.62,1.20,3.01,249.27,399.75
12.82,1.20,3.01,263.93,399.75
13.02,1.19,3.01,249.27,398.20
13.22,1.19,3.01,249.27,398.20
13.42,1.19,3.01,283.48,398.20
13.62,1.18,3.01,259.04,396.64
13.82,1.19,3.02,278.59,397.31
14.02,1.19,3.02,278.59,397.31
14.22,1.21,2.98,268.82,403.10
14.42,1.21,3.02,259.04,400.40
14.62,1.20,3.01,234.60,399.75
14.82,1.21,3.01,234.60,401.29
15.02,1.20,3.02,219.94,398.86
15.22,1.19,3.02,215.05,397.31
15.42,1.21,3.01,229.72,401.29
15.62,1.20,3.01,229.72,399.75
15.82,1.18,3.02,244.38,395.76
16.02,1.21,3.01,234.60,401.29
16.22,1.21,2.99,249.27,402.19
16.42,1.19,3.02,239.49,397.31
16.62,1.21,3.02,234.60,400.40
16.82,1.21,3.01,219.94,401.29
17.02,1.19,2.99,239.49,399.09
17.22,1.19,3.02,254.15,397.31
17.42,1.18,3.01,244.38,396.64
17.62,1.20,3.02,268.82,398.86
17.82,1.20,3.02,254.15,398.86
18.02,1.18,3.01,254.15,396.64
18.22,1.19,3.01,259.04,398.20
18.42,1.20,3.01,263.93,399.75
18.62,1.19,2.98,249.27,399.99
18.82,1.21,3.02,239.49,400.40
19.02,1.20,3.01,239.49,399.75
19.22,1.21,3.02,259.04,400.40
19.42,1.21,3.02,259.04,400.40
19.62,1.21,3.02,259.04,400.40
19.82,1.21,3.01,273.70,401.29
20.02,1.20,3.02,268.82,398.86
20.22,1.19,3.02,254.15,397.31
20.42,1.20,3.01,278.59,399.75
20.62,1.19,3.01,239.49,398.20
20.82,1.20,3.01,273.70,399.75
21.02,1.21,3.01,268.82,401.29
21.22,1.21,3.01,259.04,401.29
21.42,1.21,3.01,268.82,401.29
21.62,1.19,3.02,254.15,397.31
21.82,1.18,2.99,239.49,397.53
22.02,1.20,3.01,263.93,399.75
22.22,1.19,3.02,268.82,397.31
22.42,1.19,2.99,254.15,399.09
22.62,1.22,3.02,273.70,401.94
22.82,1.21,2.99,273.70,402.19
23.02,1.21,2.99,263.93,402.19
23.22,1.21,3.02,288.37,400.40
23.42,1.19,2.99,278.59,399.09
23.62,1.19,3.02,283.48,397.31
23.82,1.19,3.02,288.37,397.31
24.02,1.19,3.03,278.59,396.43
24.22,1.21,3.01,303.03,401.29
24.42,1.17,3.01,283.48,395.07
24.62,1.20,3.01,268.82,399.75
24.82,1.22,3.02,249.27,401.94
25.02,1.18,3.03,239.49,394.88
25.22,1.20,3.02,263.93,398.86
25.42,1.21,3.01,259.04,401.29
25.62,1.18,2.99,249.27,397.53
25.82,1.19,3.02,249.27,397.31
26.02,1.19,2.98,224.83,399.99
26.22,1.21,3.01,244.38,401.29
26.42,1.21,3.01,249.27,401.29
26.62,1.19,3.02,244.38,397.31
26.82,1.20,3.02,268.82,398.86
27.02,1.19,3.01,259.04,398.20
27.22,1.20,3.01,263.93,399.75
27.42,1.21,3.03,254.15,399.52
27.62,1.21,2.99,263.93,402.19
27.82,1.20,3.02,263.93,398.86
28.02,1.19,2.99,254.15,399.09
28.22,1.20,3.01,268.82,399.75
28.42,1.20,2.99,288.37,400.64
28.62,1.19,3.03,268.82,396.43
28.82,1.20,3.02,268.82,398.86
29.02,1.19,2.98,268.82,399.99
29.22,1.20,2.97,278.59,402.45
29.42,1.21,3.01,283.48,401.29
29.62,1.18,2.99,268.82,397.53
29.82,1.20,3.02,283.48,398.86
30.02,1.20,3.02,273.70,398.86
30.22,1.18,3.03,288.37,394.88
30.42,1.21,2.99,293.26,402.19
30.62,1.19,3.02,303.03,397.31
30.82,1.20,3.01,317.69,399.75
31.02,1.19,3.02,303.03,397.31
31.22,1.18,2.99,298.14,397.53
31.42,1.22,3.01,293.26,402.84
31.62,1.22,3.01,293.26,402.84
31.82,1.20,3.02,322.58,398.86
32.02,1.21,3.02,298.14,400.40
32.22,1.19,2.99,303.03,399.09
32.42,1.21,3.02,298.14,400.40
32.62,1.18,3.02,273.70,395.76
32.82,1.20,2.99,278.59,400.64
33.02,1.21,3.01,263.93,401.29
33.22,1.20,3.01,273.70,399.75
33.42,1.21,3.02,268.82,400.40
33.62,1.19,2.99,273.70,399.09
33.82,1.20,3.01,293.26,399.75
34.02,1.17,3.01,288.37,395.07
34.22,1.20,3.01,283.48,399.75
34.42,1.19,3.02,293.26,397.31
34.62,1.19,3.02,278.59,397.31
34.82,1.20,3.02,298.14,398.86
35.02,1.19,2.99,303.03,399.09
35.22,1.20,3.01,288.37,399.75
35.42,1.19,3.01,288.37,398.20
35.62,1.20,3.01,317.69,399.75
35.82,1.20,3.02,317.69,398.86
36.02,1.20,3.01,303.03,399.75
36.22,1.20,3.01,288.37,399.75
36.42,1.18,3.02,298.14,395.76
36.62,1.20,2.99,298.14,400.64
36.82,1.20,3.02,298.14,398.86
37.02,1.19,2.99,288.37,399.09
37.22,1.20,3.01,293.26,399.75
37.42,1.19,3.01,273.70,398.20
