# material: Nylon PA6
# geometry: Three-Channel 3rd AR
# preform_diameter: 20.0
# material_color: White
# temperature_C: 85290.0
# drawdown_ratio: 50.0
# trial_number: 103_3
# operator: Akila_Ahmed
# start_time: 2026-07-28 11:57:11
# notes: Feed and draw speed set to 1.2 mm per min and 3.0 m per min. Corrected 3rd AR with 0.3 mm Layer thickness.
Time(s),Feed(mm/min),Wind(m/min),Diameter(um),Predicted_diameter(um)
1.15,1.19,2.99,459.43,399.09
1.35,1.20,3.01,464.32,399.75
1.55,1.21,3.02,464.32,400.40
1.75,1.19,3.02,478.98,397.31
1.95,1.20,3.01,478.98,399.75
2.15,1.20,2.99,449.66,400.64
2.35,1.20,3.02,439.88,398.86
2.55,1.19,3.02,435.00,397.31
2.75,1.26,3.09,0.00,403.57
2.95,1.20,3.02,420.33,398.86
3.15,1.19,3.01,415.44,398.20
3.35,1.27,3.07,0.00,405.95
3.55,1.27,3.07,0.00,405.95
3.75,1.26,3.07,0.00,404.45
3.95,1.29,3.10,0.00,408.62
4.15,1.19,3.01,425.22,398.20
4.35,1.20,3.01,395.89,399.75
4.55,1.19,2.99,391.01,399.09
4.75,1.22,3.01,391.01,402.84
4.95,1.19,3.02,391.01,397.31
5.15,1.21,2.99,386.12,402.19
5.35,1.20,3.01,415.44,399.75
5.55,1.20,2.98,391.01,401.55
5.75,1.21,3.02,391.01,400.40
5.95,1.20,3.02,376.34,398.86
6.15,1.20,3.03,386.12,397.98
6.35,1.21,3.02,381.23,400.40
6.55,1.20,3.01,376.34,399.75
6.75,1.19,3.01,351.91,398.20
6.95,1.18,2.99,371.46,397.53
7.15,1.20,3.02,371.46,398.86
7.35,1.19,2.99,361.68,399.09
7.55,1.19,3.02,356.79,397.31
7.75,1.20,2.99,356.79,400.64
7.95,1.20,2.99,351.91,400.64
8.15,1.20,3.02,361.68,398.86
8.35,1.19,2.99,322.58,399.09
8.55,1.20,3.01,342.13,399.75
8.75,1.20,2.98,332.36,401.55
8.95,1.18,3.01,327.47,396.64
9.15,1.21,3.05,317.69,398.63
9.35,1.19,2.99,342.13,399.09
9.55,1.21,3.02,366.57,400.40
9.75,1.20,2.99,361.68,400.64
9.95,1.20,3.01,381.23,399.75
10.15,1.20,3.02,381.23,398.86
10.35,1.19,2.99,347.02,399.09
10.55,1.19,3.02,351.91,397.31
10.75,1.18,2.99,322.58,397.53
10.95,1.21,3.01,327.47,401.29
