# material: Nylon PA6
# geometry: Three-Channel 4th AR
# preform_diameter: 20.0
# material_color: White
# temperature_C: 29085.0
# drawdown_ratio: 50.0
# trial_number: 104
# operator: Akila_Ahmed
# start_time: 2026-07-22 12:03:34
# notes: Feed and draw speeds set to 1.2 mm per min and 3.0 m per min. 4th Aspect Ratio with the corrected AR printed at 0.3 mm layer thickness.
Time(s),Feed(mm/min),Wind(m/min),Diameter(um),Predicted_diameter(um)
1.22,1.26,3.07,0.00,404.45
1.42,1.28,3.09,0.00,406.55
1.62,1.28,3.10,0.00,405.67
1.82,1.28,3.09,0.00,406.55
2.02,1.28,3.07,0.00,407.44
2.22,1.27,3.11,0.00,403.31
2.42,1.25,3.10,0.00,401.20
2.62,1.26,3.07,0.00,404.45
2.82,1.27,3.09,0.00,405.06
3.02,1.26,3.10,0.00,402.70
3.22,1.25,3.06,0.00,403.83
3.42,1.28,3.09,0.00,406.55
3.62,1.28,3.09,0.00,408.03
3.82,1.27,3.07,0.00,405.95
4.02,1.27,3.09,0.00,405.06
4.22,1.28,3.09,0.00,406.55
4.42,1.26,3.06,0.00,405.34
4.62,1.26,3.09,0.00,403.57
4.82,1.27,3.10,0.00,404.18
5.02,1.27,3.06,0.00,406.83
5.22,1.26,3.09,0.00,403.57
5.42,1.27,3.09,0.00,405.06
5.62,1.25,3.09,0.00,402.07
5.82,1.26,3.07,0.00,404.45
6.02,1.27,3.09,0.00,405.06
6.22,1.26,3.09,0.00,403.57
6.42,1.28,3.07,0.00,407.44
6.62,1.20,3.02,303.03,398.86
6.82,1.21,3.02,288.37,400.40
7.02,1.20,2.98,288.37,401.55
7.22,1.21,3.01,293.26,401.29
7.42,1.19,3.01,263.93,398.20
7.62,1.17,3.02,259.04,394.19
7.82,1.20,3.01,273.70,399.75
8.02,1.21,3.01,273.70,401.29
8.22,1.19,3.02,268.82,397.31
8.42,1.21,2.99,268.82,402.19
8.62,1.21,3.02,283.48,400.40
8.82,1.21,3.01,293.26,401.29
9.02,1.20,3.01,283.48,399.75
9.22,1.21,3.02,293.26,400.40
9.42,1.20,3.02,283.48,398.86
9.62,1.20,3.01,278.59,399.75
9.82,1.20,2.99,288.37,400.64
10.02,1.20,3.01,283.48,399.75
10.22,1.18,2.99,273.70,397.53
10.42,1.20,2.97,293.26,402.45
10.62,1.20,2.99,293.26,400.64
10.82,1.21,2.99,307.92,402.19
11.02,1.20,2.99,298.14,400.64
11.22,1.20,3.01,303.03,399.75
