# material: Nylon PA6
# geometry: Three-Channel 4th AR
# preform_diameter: 20.0
# material_color: White
# temperature_C: 85290.0
# drawdown_ratio: 50.0
# trial_number: 104_2
# operator: Akila_Ahmed
# start_time: 2026-07-27 13:30:42
# notes: Feed and draw speeds set to 1.2 mm per min and 3.0 m per min. Corrected 4th AR with 0.3 mm Layer thickness.
Time(s),Feed(mm/min),Wind(m/min),Diameter(um),Predicted_diameter(um)
1.22,1.21,3.02,268.82,400.40
1.42,1.20,3.01,273.70,399.75
1.62,1.19,3.01,259.04,398.20
1.82,1.20,3.03,244.38,397.98
2.02,1.20,2.99,234.60,400.64
2.22,1.20,3.02,254.15,398.86
2.42,1.19,2.99,254.15,399.09
2.62,1.20,3.02,259.04,398.86
2.82,1.21,3.01,239.49,401.29
3.02,1.20,2.99,259.04,400.64
3.22,1.21,3.02,263.93,400.40
3.42,1.20,3.01,249.27,399.75
3.62,1.21,3.01,244.38,401.29
3.82,1.21,2.99,249.27,402.19
4.02,1.20,3.01,244.38,399.75
4.22,1.19,2.99,234.60,399.09
4.42,1.21,3.01,254.15,401.29
4.62,1.21,2.99,268.82,402.19
4.82,1.19,2.99,273.70,399.09
5.02,1.21,3.01,268.82,401.29
5.22,1.19,2.99,268.82,399.09
5.42,1.20,3.01,254.15,399.75
5.62,1.21,3.02,254.15,400.40
5.82,1.21,2.99,234.60,402.19
6.02,1.20,3.02,249.27,398.86
6.22,1.18,3.01,239.49,396.64
6.42,1.22,3.01,249.27,402.84
6.62,1.20,3.01,229.72,399.75
6.82,1.19,3.02,229.72,397.31
7.02,1.21,3.01,224.83,401.29
7.22,1.19,2.99,268.82,399.09
7.42,1.20,3.02,254.15,398.86
7.62,1.21,3.02,254.15,400.40
7.82,1.19,3.01,259.04,398.20
8.02,1.19,3.01,278.59,398.20
8.22,1.18,2.99,268.82,397.53
8.42,1.20,3.02,278.59,398.86
8.62,1.20,3.01,259.04,399.75
8.82,1.19,3.02,288.37,397.31
9.02,1.20,3.02,283.48,398.86
9.22,1.21,2.99,268.82,402.19
9.42,1.21,3.02,249.27,400.40
9.62,1.18,2.99,249.27,397.53
9.82,1.19,3.02,239.49,397.31
10.02,1.21,3.02,263.93,400.40
