# material: Nylon PA6
# geometry: Three-Channel 5th AR
# preform_diameter: 20.0
# material_color: White
# temperature_C: 85290.0
# drawdown_ratio: 50.0
# trial_number: 105
# operator: Akila_Ahmed
# start_time: 2026-07-22 14:12:59
# notes: Feed and draw speeds set to 1.2 mm per min and 3.0 m per min. Corrected 5th AR. 0.3 mm layer thickness.
Time(s),Feed(mm/min),Wind(m/min),Diameter(um),Predicted_diameter(um)
1.22,1.21,3.02,410.56,400.40
1.42,1.21,3.01,430.11,401.29
1.62,1.22,3.02,474.10,401.94
1.82,1.21,2.99,503.42,402.19
2.02,1.20,3.01,513.20,399.75
2.22,1.20,3.01,449.66,399.75
2.42,1.20,3.01,400.78,399.75
2.62,1.20,3.01,444.77,399.75
2.82,1.19,2.99,464.32,399.09
3.02,1.20,2.99,469.21,400.64
3.22,1.19,3.01,425.22,398.20
3.42,1.19,3.02,395.89,397.31
3.62,1.21,3.02,371.46,400.40
3.82,1.22,2.99,342.13,403.74
4.02,1.20,3.05,322.58,397.10
4.22,1.19,3.02,337.24,397.31
4.42,1.21,3.02,376.34,400.40
4.62,1.19,3.01,337.24,398.20
4.82,1.21,3.02,317.69,400.40
5.02,1.19,2.99,293.26,399.09
5.22,1.20,3.01,298.14,399.75
5.42,1.21,3.02,283.48,400.40
5.62,1.18,2.98,278.59,398.42
5.82,1.21,3.02,273.70,400.40
6.02,1.19,3.01,254.15,398.20
6.22,1.21,3.01,239.49,401.29
6.42,1.19,3.01,234.60,398.20
6.62,1.19,3.02,205.28,397.31
6.82,1.21,3.01,239.49,401.29
7.02,1.20,2.99,234.60,400.64
7.22,1.21,3.02,239.49,400.40
7.42,1.21,2.98,249.27,403.10
7.62,1.20,3.02,263.93,398.86
7.82,1.19,3.03,239.49,396.43
8.02,1.21,3.01,259.04,401.29
8.22,1.21,3.02,263.93,400.40
8.42,1.16,2.99,259.04,394.38
8.62,1.20,3.02,278.59,398.86
8.82,1.22,3.01,268.82,402.84
9.02,1.17,3.01,263.93,395.07
9.22,1.20,3.01,259.04,399.75
9.42,1.20,3.02,263.93,398.86
9.62,1.20,3.02,239.49,398.86
9.82,1.20,3.02,244.38,398.86
10.02,1.18,2.99,239.49,397.53
10.22,1.21,3.02,239.49,400.40
10.42,1.19,3.02,234.60,397.31
10.62,1.22,2.99,249.27,403.74
10.82,1.21,2.99,249.27,402.19
11.02,1.20,3.02,244.38,398.86
11.22,1.21,3.02,244.38,400.40
11.42,1.19,3.01,268.82,398.20
11.62,1.20,3.01,278.59,399.75
11.82,1.20,3.01,268.82,399.75
12.02,1.20,3.02,249.27,398.86
12.22,1.20,3.02,283.48,398.86
12.42,1.20,3.01,278.59,399.75
12.62,1.21,3.01,293.26,401.29
12.82,1.19,3.01,278.59,398.20
13.02,1.21,3.02,298.14,400.40
13.22,1.21,3.03,298.14,399.52
13.42,1.19,3.01,303.03,398.20
13.62,1.21,3.01,303.03,401.29
13.82,1.21,3.01,298.14,401.29
