# material: Nylon PA6
# geometry: 7ch cyl
# preform_diameter: 20.0
# material_color: White
# temperature_C: 184.0
# drawdown_ratio: 50.0
# trial_number: 106
# operator: Akila
# start_time: 2026-01-07 10:56:22
# notes: Feed and draw speed are default; both end sealed close.
Time(s),Feed(mm/min),Wind(m/min),Diameter(um),Predicted_diameter(um)
1.22,1.99,5.02,410.56,398.46
1.42,2.00,5.05,430.11,398.33
1.62,2.01,5.03,410.56,399.79
1.82,2.01,5.03,400.78,399.79
2.02,2.00,5.03,410.56,398.86
2.22,2.01,5.05,410.56,399.25
2.42,2.00,5.05,391.01,398.33
2.62,1.99,5.05,391.01,397.40
2.82,1.99,5.03,391.01,397.93
3.02,2.01,5.03,430.11,399.79
3.22,2.01,5.05,420.33,399.25
3.42,2.00,5.03,430.11,398.86
3.62,1.98,5.03,449.66,397.00
3.82,2.00,5.05,449.66,398.33
4.02,2.01,5.03,420.33,399.79
4.22,1.99,5.03,449.66,397.93
4.42,2.01,5.05,459.43,399.25
4.62,2.01,5.03,469.21,399.79
4.82,1.99,5.03,518.08,397.93
5.02,2.01,5.03,557.18,399.79
5.22,2.00,5.03,625.61,398.86
5.42,1.99,5.03,615.84,397.93
5.62,2.00,5.05,557.18,398.33
5.82,2.01,5.03,547.41,399.79
6.02,2.01,5.03,498.53,399.79
6.22,2.00,5.03,449.66,398.86
6.42,2.01,5.03,469.21,399.79
6.62,2.01,5.03,420.33,399.79
6.82,2.01,5.03,400.78,399.79
7.02,2.00,5.03,410.56,398.86
7.22,2.00,5.03,391.01,398.86
7.42,2.00,5.03,439.88,398.86
7.62,1.99,5.03,488.76,397.93
7.82,1.99,5.03,498.53,397.93
8.02,2.00,5.03,508.31,398.86
8.22,2.00,5.03,498.53,398.86
8.42,2.00,5.02,478.98,399.39
8.62,2.00,5.03,478.98,398.86
8.82,2.00,5.05,478.98,398.33
9.02,2.01,5.03,518.08,399.79
9.22,2.00,5.03,547.41,398.86
9.42,1.98,5.03,576.74,397.00
9.62,2.00,5.03,586.51,398.86
9.82,2.00,5.03,615.84,398.86
10.02,2.00,5.03,664.71,398.86
10.22,2.00,5.03,645.16,398.86
10.42,2.01,5.05,664.71,399.25
10.62,2.01,5.03,654.94,399.79
10.82,1.99,5.05,684.26,397.40
11.02,2.01,5.05,713.59,399.25
11.22,2.00,5.03,645.16,398.86
11.42,1.99,5.03,635.39,397.93
11.62,2.00,5.03,566.96,398.86
11.82,2.00,5.05,518.08,398.33
12.02,2.00,5.03,518.08,398.86
12.22,1.99,5.05,488.76,397.40
12.42,2.00,5.03,508.31,398.86
12.62,2.01,5.03,488.76,399.79
12.82,1.99,5.03,459.43,397.93
13.02,2.00,5.03,459.43,398.86
13.22,2.01,5.03,449.66,399.79
13.42,2.01,5.05,449.66,399.25
13.62,2.00,5.03,410.56,398.86
13.82,2.01,5.03,420.33,399.79
14.02,2.01,5.03,430.11,399.79
14.22,2.01,5.05,400.78,399.25
14.42,2.00,5.03,439.88,398.86
14.62,1.99,5.03,420.33,397.93
14.82,1.99,5.03,478.98,397.93
15.02,1.99,5.05,459.43,397.40
15.22,2.00,5.03,478.98,398.86
15.42,2.00,5.03,478.98,398.86
15.62,2.00,5.03,488.76,398.86
15.82,2.00,5.03,459.43,398.86
16.02,2.01,5.05,469.21,399.25
16.22,2.00,5.05,459.43,398.33
16.42,2.00,5.03,478.98,398.86
16.62,2.00,5.03,478.98,398.86
16.82,2.00,5.03,566.96,398.86
17.02,2.00,5.03,625.61,398.86
17.22,1.99,5.03,645.16,397.93
17.42,2.01,5.05,713.59,399.25
17.62,2.01,5.05,703.81,399.25
17.82,1.99,5.03,566.96,397.93
18.02,2.01,5.03,518.08,399.79
18.22,2.01,5.05,459.43,399.25
18.42,1.99,5.05,430.11,397.40
18.62,1.99,5.03,430.11,397.93
18.82,2.01,5.03,439.88,399.79
19.02,2.01,5.05,439.88,399.25
19.22,2.00,5.05,449.66,398.33
19.42,2.01,5.03,488.76,399.79
19.62,2.01,5.05,527.86,399.25
19.82,2.01,5.05,596.29,399.25
20.02,2.00,5.05,684.26,398.33
20.22,2.01,5.03,694.04,399.79
20.42,2.01,5.05,635.39,399.25
20.62,2.01,5.03,596.29,399.79
20.82,2.01,5.03,566.96,399.79
21.02,2.00,5.05,557.18,398.33
21.22,2.01,5.03,498.53,399.79
21.42,2.00,5.03,498.53,398.86
21.62,1.99,5.03,478.98,397.93
21.82,2.01,5.03,498.53,399.79
22.02,2.00,5.05,508.31,398.33
22.22,2.00,5.03,518.08,398.86
22.42,2.01,5.03,527.86,399.79
22.62,2.01,5.03,488.76,399.79
22.82,1.99,5.05,478.98,397.40
23.02,1.99,5.03,488.76,397.93
23.22,2.01,5.02,498.53,400.32
23.42,2.00,5.05,498.53,398.33
23.62,2.01,5.05,547.41,399.25
23.82,2.00,5.03,596.29,398.86
24.02,2.00,5.05,566.96,398.33
24.22,2.00,5.03,586.51,398.86
24.42,2.01,5.03,586.51,399.79
24.62,2.01,5.05,625.61,399.25
24.82,2.01,5.03,674.49,399.79
25.02,2.00,5.03,654.94,398.86
25.22,2.00,5.03,645.16,398.86
25.42,2.00,5.03,635.39,398.86
25.62,2.00,5.03,645.16,398.86
25.82,1.99,5.03,625.61,397.93
26.02,2.00,5.03,596.29,398.86
26.22,2.00,5.05,645.16,398.33
26.42,2.01,5.03,615.84,399.79
26.62,2.01,5.03,576.74,399.79
26.82,2.01,5.03,576.74,399.79
27.02,2.01,5.03,596.29,399.79
27.22,1.99,5.03,527.86,397.93
27.42,1.99,5.03,508.31,397.93
27.62,2.01,5.05,508.31,399.25
27.82,2.01,5.05,478.98,399.25
28.02,1.99,5.03,439.88,397.93
28.22,2.00,5.05,430.11,398.33
28.42,2.00,5.03,430.11,398.86
28.62,2.01,5.05,430.11,399.25
28.82,2.00,5.03,420.33,398.86
29.02,2.01,5.03,439.88,399.79
29.22,2.01,5.05,469.21,399.25
29.42,2.00,5.03,478.98,398.86
29.62,2.00,5.03,498.53,398.86
29.82,2.02,5.03,498.53,400.71
30.02,2.01,5.03,547.41,399.79
30.22,2.00,5.03,537.63,398.86
30.42,2.01,5.05,518.08,399.25
30.62,2.01,5.05,527.86,399.25
30.82,2.00,5.03,459.43,398.86
31.02,2.00,5.03,420.33,398.86
31.22,2.01,5.03,420.33,399.79
31.42,2.01,5.05,420.33,399.25
31.62,2.00,5.03,381.23,398.86
31.82,2.00,5.03,410.56,398.86
32.02,2.01,5.05,410.56,399.25
32.22,2.00,5.03,371.46,398.86
32.42,2.00,5.03,351.91,398.86
32.62,2.00,5.03,332.36,398.86
32.82,2.01,5.03,361.68,399.79
33.02,2.01,5.03,342.13,399.79
33.22,2.00,5.03,332.36,398.86
33.42,2.01,5.03,342.13,399.79
33.62,2.01,5.03,342.13,399.79
33.82,2.00,5.05,312.81,398.33
34.02,2.01,5.03,303.03,399.79
34.22,2.00,5.03,312.81,398.86
34.42,2.00,5.03,303.03,398.86
34.62,2.01,5.03,293.26,399.79
34.82,2.01,5.03,293.26,399.79
35.02,2.00,5.03,303.03,398.86
35.22,2.01,5.03,312.81,399.79
35.42,2.00,5.03,312.81,398.86
35.62,2.00,5.03,303.03,398.86
35.82,2.01,5.03,351.91,399.79
36.02,1.99,5.03,381.23,397.93
36.22,2.00,5.03,576.74,398.86
36.42,2.00,5.03,547.41,398.86
36.62,2.01,5.05,469.21,399.25
36.82,1.99,5.03,439.88,397.93
37.02,2.01,5.05,430.11,399.25
37.22,2.00,5.03,439.88,398.86
37.42,1.99,5.02,410.56,398.46
37.62,2.01,5.05,400.78,399.25
37.82,2.01,5.05,381.23,399.25
