# material: Polypropylene
# geometry: 7ch
# preform_diameter: 20.0
# material_color: Clear(White)
# temperature_C: 172.0
# drawdown_ratio: 50.0
# trial_number: 021
# operator: Akila
# start_time: 2025-10-22 12:35:46
# notes: 
Time(s),Feed(mm/min),Wind(m/min),Diameter(um),Predicted_diameter(um)
1.22,2.01,4.98,654.94,401.94
1.42,2.01,4.98,664.71,401.94
1.62,2.02,4.97,694.04,403.41
1.82,2.02,4.98,684.26,402.86
2.02,2.02,4.97,664.71,403.41
2.22,2.00,4.97,635.39,401.55
2.42,2.02,4.98,674.49,402.86
2.62,2.02,4.98,664.71,402.86
2.82,2.02,4.98,801.56,402.86
3.02,2.00,4.98,645.16,401.00
3.22,2.02,4.97,703.81,403.41
3.42,2.02,4.98,664.71,402.86
3.62,2.01,4.98,625.61,401.94
3.82,2.02,4.97,635.39,403.41
4.02,2.00,4.98,664.71,401.00
4.22,2.01,4.98,674.49,401.94
4.42,2.02,4.98,664.71,402.86
4.62,2.01,4.97,674.49,402.48
4.82,2.02,4.98,703.81,402.86
5.02,2.01,4.97,713.59,402.48
5.22,2.02,4.98,654.94,402.86
5.42,2.01,4.98,713.59,401.94
5.62,2.01,4.98,801.56,401.94
5.82,2.02,4.98,674.49,402.86
6.02,2.01,4.97,694.04,402.48
6.22,2.02,4.97,674.49,403.41
6.42,2.02,4.98,645.16,402.86
6.62,2.02,4.97,586.51,403.41
6.82,2.01,4.98,684.26,401.94
7.02,2.02,4.98,694.04,402.86
7.22,2.01,4.97,684.26,402.48
7.42,2.02,4.98,733.14,402.86
7.62,2.01,4.98,684.26,401.94
7.82,2.02,4.98,684.26,402.86
8.02,2.02,4.98,684.26,402.86
8.22,2.02,4.95,713.59,403.95
8.42,2.01,4.98,850.44,401.94
8.62,2.02,4.98,742.91,402.86
8.82,2.02,4.98,752.69,402.86
9.02,2.01,4.98,782.01,401.94
9.22,2.01,4.98,557.18,401.94
9.42,2.01,4.98,674.49,401.94
9.62,2.02,4.98,821.11,402.86
9.82,2.02,4.98,703.81,402.86
10.02,2.01,4.99,733.14,401.39
10.22,2.00,4.98,332.36,401.00
10.42,2.00,4.98,136.85,401.00
10.62,2.02,4.97,557.18,403.41
10.82,2.02,4.98,811.34,402.86
11.02,2.00,4.98,576.74,401.00
11.22,2.02,4.98,596.29,402.86
11.42,2.01,4.97,332.36,402.48
11.62,2.02,4.98,635.39,402.86
11.82,2.01,4.98,782.01,401.94
12.02,2.02,4.98,684.26,402.86
12.22,2.02,4.97,674.49,403.41
12.42,2.03,4.99,0.00,403.25
12.62,2.06,5.02,0.00,404.93
12.82,2.04,5.02,0.00,403.09
13.02,2.05,5.02,0.00,404.01
13.22,2.04,5.02,0.00,403.09
13.42,2.05,5.02,0.00,404.01
13.62,2.05,5.02,0.00,404.01
13.82,2.05,5.02,0.00,404.01
14.02,2.06,5.02,0.00,404.93
14.22,2.06,5.02,0.00,404.93
14.42,2.05,5.02,0.00,404.01
14.62,2.05,5.02,0.00,404.01
14.82,2.05,5.01,0.00,404.55
15.02,2.05,5.02,0.00,404.01
15.22,2.05,5.02,0.00,404.01
15.42,2.06,5.05,0.00,403.85
15.62,2.05,5.02,0.00,404.01
15.82,2.06,5.02,0.00,404.93
16.02,2.06,5.02,0.00,404.93
16.22,2.05,5.02,0.00,404.01
16.42,2.05,5.02,0.00,404.01
16.62,2.04,5.02,0.00,403.09
16.82,2.05,5.02,0.00,404.01
17.02,2.04,5.01,0.00,403.63
17.22,2.06,5.02,0.00,404.93
17.42,2.04,5.01,0.00,403.63
17.62,2.04,5.02,0.00,403.09
17.82,2.03,5.01,0.00,402.71
18.02,2.04,5.02,0.00,403.09
18.22,2.05,5.01,0.00,404.55
18.42,2.05,5.01,0.00,404.55
18.62,2.05,5.01,0.00,404.55
18.82,2.04,5.01,0.00,403.63
19.02,2.06,5.01,0.00,405.47
19.22,2.05,5.02,0.00,404.01
19.42,2.04,5.02,0.00,403.09
19.62,2.04,5.01,0.00,403.63
19.82,2.04,5.01,0.00,403.63
20.02,2.05,5.01,0.00,404.55
20.22,2.05,5.02,0.00,404.01
20.42,2.05,5.02,0.00,404.01
20.62,2.04,5.02,0.00,403.09
20.82,2.05,5.01,0.00,404.55
21.02,2.06,5.02,0.00,404.93
21.22,2.05,5.02,0.00,404.01
21.42,2.05,5.02,0.00,404.01
21.62,2.04,5.02,0.00,403.09
21.82,2.05,5.01,0.00,404.55
22.02,2.05,5.02,0.00,404.01
22.22,2.03,5.02,0.00,402.17
22.42,2.05,5.02,0.00,404.01
22.62,2.05,5.01,0.00,404.55
22.82,2.05,5.03,0.00,403.47
23.02,2.05,5.01,0.00,404.55
23.22,2.05,5.02,0.00,404.01
23.42,2.06,5.01,0.00,405.47
23.62,2.05,5.02,0.00,404.01
23.82,2.06,5.02,0.00,404.93
24.02,2.04,5.02,0.00,403.09
24.22,2.06,5.01,0.00,405.47
24.42,2.05,5.02,0.00,404.01
24.62,2.05,5.01,0.00,404.55
24.82,2.03,5.01,0.00,402.71
25.02,2.06,5.02,0.00,404.93
25.22,2.05,5.01,0.00,404.55
25.42,2.06,5.02,0.00,404.93
25.62,2.05,5.02,0.00,404.01
25.82,2.04,5.02,0.00,403.09
26.02,2.05,5.01,0.00,404.55
26.22,2.06,5.02,0.00,404.93
26.42,2.06,5.02,0.00,404.93
26.62,2.06,5.02,0.00,404.93
26.82,2.05,5.01,0.00,404.55
27.02,2.04,5.01,0.00,403.63
27.22,2.05,5.01,0.00,404.55
27.42,2.05,5.02,0.00,404.01
27.62,2.06,5.01,0.00,405.47
27.82,2.05,5.01,0.00,404.55
28.02,2.05,5.02,0.00,404.01
28.22,2.04,5.01,0.00,403.63
28.42,2.04,5.02,0.00,403.09
28.62,2.05,5.01,0.00,404.55
28.82,2.02,4.98,0.00,402.86
29.02,2.02,4.98,234.60,402.86
29.22,2.02,4.98,244.38,402.86
29.42,2.03,4.97,224.83,404.34
29.62,2.01,4.98,205.28,401.94
29.82,2.01,4.98,224.83,401.94
30.02,2.01,4.98,175.95,401.94
30.22,2.02,4.98,205.28,402.86
30.42,2.01,4.97,215.05,402.48
30.62,2.02,4.98,215.05,402.86
30.82,2.01,4.97,205.28,402.48
31.02,2.03,4.98,215.05,403.79
31.22,2.02,4.97,215.05,403.41
31.42,2.02,4.98,215.05,402.86
31.62,2.02,4.97,195.50,403.41
31.82,2.01,4.98,205.28,401.94
32.02,2.02,4.98,244.38,402.86
32.22,2.01,4.98,244.38,401.94
32.42,2.01,4.99,234.60,401.39
32.62,2.02,4.97,244.38,403.41
32.82,2.02,4.98,254.15,402.86
33.02,2.01,4.98,263.93,401.94
33.22,2.02,4.98,293.26,402.86
33.42,2.01,4.98,224.83,401.94
33.62,2.01,4.98,273.70,401.94
33.82,2.01,4.97,273.70,402.48
34.02,2.02,4.98,312.81,402.86
34.22,2.01,4.97,322.58,402.48
34.42,2.02,4.98,342.13,402.86
34.62,2.01,4.97,303.03,402.48
34.82,2.02,4.98,322.58,402.86
35.02,2.01,4.98,312.81,401.94
35.22,2.01,4.98,322.58,401.94
35.42,2.02,4.97,332.36,403.41
35.62,2.01,4.98,293.26,401.94
35.82,1.99,4.98,303.03,400.07
36.02,2.01,4.98,254.15,401.94
36.22,2.02,4.97,273.70,403.41
36.42,2.02,4.99,244.38,402.32
36.62,2.02,4.98,263.93,402.86
36.82,2.02,4.98,254.15,402.86
37.02,2.01,4.97,244.38,402.48
37.22,2.01,4.98,234.60,401.94
37.42,2.01,4.97,215.05,402.48
37.62,2.01,4.98,215.05,401.94
37.82,2.01,4.98,195.50,401.94
38.02,2.01,4.98,215.05,401.94
38.22,2.02,4.98,244.38,402.86
38.42,2.01,4.97,254.15,402.48
38.62,2.02,4.98,234.60,402.86
38.82,2.02,4.98,195.50,402.86
39.02,2.02,4.99,224.83,402.32
39.22,2.01,4.98,224.83,401.94
39.42,2.01,4.98,234.60,401.94
39.62,2.01,4.98,215.05,401.94
39.82,2.02,4.98,215.05,402.86
40.02,2.01,4.98,224.83,401.94
40.22,2.02,4.98,215.05,402.86
40.42,2.02,4.97,254.15,403.41
40.62,2.00,4.99,215.05,400.46
40.82,2.02,4.98,254.15,402.86
41.02,2.01,4.98,234.60,401.94
41.22,2.01,4.98,312.81,401.94
41.42,2.02,4.99,215.05,402.32
41.62,2.02,4.98,215.05,402.86
41.82,2.01,4.99,234.60,401.39
42.02,2.02,4.98,215.05,402.86
42.22,2.01,4.98,234.60,401.94
42.42,2.02,4.98,244.38,402.86
42.62,2.01,4.99,215.05,401.39
42.82,2.01,4.98,234.60,401.94
43.02,2.00,4.98,234.60,401.00
43.22,2.03,4.98,254.15,403.79
43.42,2.00,4.98,293.26,401.00
43.62,2.02,4.97,293.26,403.41
43.82,2.02,4.97,273.70,403.41
44.02,2.01,4.98,332.36,401.94
44.22,2.00,4.97,420.33,401.55
44.42,2.01,4.98,625.61,401.94
44.62,2.02,4.98,478.98,402.86
44.82,2.02,4.98,381.23,402.86
45.02,2.02,4.98,312.81,402.86
45.22,2.01,4.98,303.03,401.94
45.42,2.02,4.97,254.15,403.41
45.62,2.01,4.97,263.93,402.48
45.82,2.01,4.97,263.93,402.48
46.02,2.01,4.98,273.70,401.94
