# material: Polypropylene
# geometry: 7ch
# preform_diameter: 20.0
# material_color: White
# temperature_C: 168.0
# drawdown_ratio: 50.0
# trial_number: 020
# operator: Akila
# start_time: 2025-10-22 10:32:17
# notes: 
Time(s),Feed(mm/min),Wind(m/min),Diameter(um),Predicted_diameter(um)
1.22,2.02,5.02,127.08,401.25
1.42,2.00,5.01,166.18,399.93
1.62,2.02,5.02,156.40,401.25
1.82,2.02,5.02,117.30,401.25
2.02,2.02,5.02,127.08,401.25
2.22,2.01,5.02,156.40,400.32
2.42,2.01,5.02,107.53,400.32
2.62,2.02,5.02,146.63,401.25
2.82,2.00,5.02,146.63,399.39
3.02,2.02,5.01,166.18,401.78
3.22,2.02,5.02,156.40,401.25
3.42,2.02,5.01,146.63,401.78
3.62,2.02,5.02,127.08,401.25
3.82,2.02,5.02,127.08,401.25
4.02,2.02,5.02,156.40,401.25
4.22,2.02,5.03,146.63,400.71
4.42,2.02,5.01,136.85,401.78
4.62,2.02,5.02,136.85,401.25
4.82,2.01,5.01,136.85,400.86
5.02,2.02,5.02,166.18,401.25
5.22,2.02,5.02,166.18,401.25
5.42,2.01,5.01,166.18,400.86
5.62,2.02,5.02,156.40,401.25
5.82,2.02,5.02,136.85,401.25
6.02,2.02,5.02,166.18,401.25
6.22,2.02,5.02,185.73,401.25
6.42,2.02,4.99,185.73,402.32
6.62,2.02,5.01,283.48,401.78
6.82,2.01,5.01,215.05,400.86
7.02,2.01,5.01,224.83,400.86
7.22,2.02,5.01,234.60,401.78
7.42,2.01,4.99,234.60,401.39
7.62,2.02,4.99,234.60,402.32
7.82,2.02,4.99,263.93,402.32
8.02,2.02,4.99,263.93,402.32
8.22,2.01,4.99,244.38,401.39
8.42,2.02,4.99,254.15,402.32
8.62,2.02,4.99,244.38,402.32
8.82,2.02,4.99,273.70,402.32
9.02,2.02,4.99,342.13,402.32
9.22,2.02,4.97,283.48,403.41
9.42,2.00,4.99,263.93,400.46
9.62,2.02,4.99,215.05,402.32
9.82,2.01,4.98,205.28,401.94
10.02,2.02,4.99,234.60,402.32
10.22,2.01,4.99,205.28,401.39
10.42,2.02,4.98,244.38,402.86
10.62,2.02,4.99,224.83,402.32
10.82,2.01,4.99,205.28,401.39
11.02,2.02,4.99,205.28,402.32
11.22,2.00,4.98,244.38,401.00
11.42,2.01,4.98,215.05,401.94
11.62,2.03,4.99,156.40,403.25
11.82,2.02,4.99,175.95,402.32
12.02,2.02,4.99,195.50,402.32
12.22,2.01,4.99,175.95,401.39
12.42,2.01,4.99,205.28,401.39
12.62,2.01,4.99,205.28,401.39
12.82,2.01,4.99,185.73,401.39
13.02,2.01,4.98,195.50,401.94
13.22,2.01,4.98,215.05,401.94
13.42,2.02,4.98,175.95,402.86
13.62,2.01,4.98,136.85,401.94
13.82,2.01,4.99,166.18,401.39
14.02,2.02,4.99,156.40,402.32
14.22,2.02,4.98,146.63,402.86
14.42,2.01,4.99,175.95,401.39
14.62,2.02,4.98,185.73,402.86
14.82,2.02,4.99,185.73,402.32
15.02,2.01,4.98,156.40,401.94
15.22,2.02,4.98,166.18,402.86
15.42,2.01,4.98,166.18,401.94
15.62,2.02,4.99,175.95,402.32
15.82,2.02,4.99,146.63,402.32
16.02,2.02,4.98,136.85,402.86
16.22,2.02,4.98,146.63,402.86
16.42,2.01,4.98,117.30,401.94
16.62,2.02,4.98,136.85,402.86
