# material: petg
# geometry: cyl
# preform_diameter: 20.0
# material_color: Black tges
# temperature_C: 170.0
# drawdown_ratio: 50.0
# trial_number: 200
# operator: Akila
# start_time: 2026-01-23 14:09:41
# notes: 
Time(s),Feed(mm/min),Wind(m/min),Diameter(um),Predicted_diameter(um)
1.22,2.12,4.99,0.00,412.39
1.42,2.12,4.97,0.00,413.51
1.62,2.11,4.98,19.55,412.04
1.82,2.11,4.98,0.00,412.04
2.02,2.12,4.99,0.00,412.39
2.22,2.11,4.98,0.00,412.04
2.42,2.12,4.98,0.00,412.95
2.62,2.12,4.98,0.00,412.95
2.82,2.11,4.98,0.00,412.04
3.02,2.12,4.98,0.00,412.95
3.22,2.12,4.98,0.00,412.95
3.42,2.12,4.98,9.78,412.95
3.62,2.10,4.98,0.00,411.13
3.82,2.12,4.98,0.00,412.95
4.02,2.11,4.98,0.00,412.04
4.22,2.11,4.98,19.55,412.04
4.42,2.12,4.98,0.00,412.95
4.62,2.11,4.98,0.00,412.04
4.82,2.11,4.98,0.00,412.04
5.02,2.12,4.98,0.00,412.95
5.22,2.11,4.98,0.00,412.04
5.42,2.12,4.98,0.00,412.95
5.62,2.11,4.98,0.00,412.04
5.82,2.12,4.98,0.00,412.95
6.02,2.11,4.98,0.00,412.04
6.22,2.12,4.98,29.33,412.95
6.42,2.12,4.98,0.00,412.95
6.62,2.11,4.98,0.00,412.04
6.82,2.12,4.98,0.00,412.95
7.02,2.11,4.98,0.00,412.04
7.22,2.12,4.98,29.33,412.95
7.42,2.12,4.98,0.00,412.95
7.62,2.12,4.98,0.00,412.95
7.82,2.10,4.98,0.00,411.13
8.02,2.12,4.98,0.00,412.95
8.22,2.11,4.98,0.00,412.04
8.42,2.11,4.98,0.00,412.04
8.62,2.11,4.99,9.78,411.49
8.82,2.11,4.98,0.00,412.04
9.02,2.12,4.98,0.00,412.95
9.22,2.12,4.98,0.00,412.95
9.42,2.12,4.98,0.00,412.95
9.62,2.12,4.98,78.20,412.95
9.82,2.12,4.98,0.00,412.95
10.02,2.12,4.98,29.33,412.95
10.22,2.11,4.98,19.55,412.04
10.42,2.12,4.98,0.00,412.95
10.62,2.11,4.98,0.00,412.04
