# material: Engage 8401
# geometry: Cyl
# preform_diameter: '24
# material_color: Trans
# temperature_C: 60.0
# drawdown_ratio: 50.0
# trial_number: 001
# operator: Nikoo
# start_time: 2025-09-15 14:07:16
# notes: None
Time(s),Feed(mm/min),Wind(m/min),Diameter(um),Predicted_diameter(um)
1.22,2.01,3.19,488.76,501.83
1.42,2.02,3.19,459.43,502.99
1.62,2.02,3.18,478.98,504.05
1.82,2.02,3.18,449.66,504.05
2.02,2.02,3.18,439.88,504.05
2.22,2.01,3.19,469.21,501.83
2.42,2.02,3.18,449.66,504.05
2.62,2.02,3.18,478.98,504.05
2.82,2.01,3.18,488.76,502.89
3.02,2.02,3.19,498.53,502.99
3.22,2.02,3.19,518.08,502.99
3.42,2.02,3.19,586.51,502.99
3.62,2.02,3.19,615.84,502.99
3.82,2.01,3.19,566.96,501.83
4.02,2.01,3.19,576.74,501.83
4.22,2.01,3.18,557.18,502.89
4.42,2.01,3.19,576.74,501.83
4.62,2.01,3.18,566.96,502.89
4.82,2.02,3.19,576.74,502.99
5.02,2.00,3.19,527.86,500.66
5.22,2.02,3.18,527.86,504.05
5.42,2.01,3.18,508.31,502.89
5.62,2.01,3.18,449.66,502.89
5.82,2.01,3.19,449.66,501.83
6.02,2.02,3.18,459.43,504.05
6.22,2.01,3.17,439.88,503.95
6.42,2.01,3.19,400.78,501.83
6.62,2.02,3.19,420.33,502.99
6.82,2.00,3.18,391.01,501.72
7.02,2.02,3.19,400.78,502.99
7.22,2.00,3.18,391.01,501.72
7.42,2.01,3.18,391.01,502.89
7.62,2.02,3.19,371.46,502.99
7.82,2.02,3.18,371.46,504.05
8.02,2.00,3.21,381.23,499.62
8.22,2.01,3.18,391.01,502.89
8.42,2.02,3.19,391.01,502.99
8.62,2.01,3.18,391.01,502.89
8.82,2.01,3.19,420.33,501.83
9.02,2.00,3.19,410.56,500.66
9.22,2.01,3.19,400.78,501.83
9.42,2.01,3.18,430.11,502.89
9.62,2.01,3.18,430.11,502.89
9.82,2.01,3.19,459.43,501.83
10.02,2.01,3.18,449.66,502.89
10.22,2.01,3.18,478.98,502.89
10.42,2.01,3.17,439.88,503.95
10.62,2.02,3.19,469.21,502.99
10.82,2.01,3.18,469.21,502.89
11.02,2.02,3.19,449.66,502.99
11.22,2.01,3.19,459.43,501.83
11.42,2.01,3.18,449.66,502.89
11.62,2.01,3.19,459.43,501.83
11.82,2.02,3.19,478.98,502.99
12.02,2.01,3.19,469.21,501.83
12.22,2.01,3.18,410.56,502.89
12.42,2.02,3.19,420.33,502.99
12.62,2.00,3.17,391.01,502.78
12.82,2.01,3.17,420.33,503.95
13.02,2.00,3.18,391.01,501.72
13.22,2.02,3.18,420.33,504.05
13.42,2.02,3.19,381.23,502.99
13.62,2.02,3.18,400.78,504.05
13.82,2.01,3.19,410.56,501.83
14.02,2.01,3.19,381.23,501.83
14.22,2.02,3.19,410.56,502.99
14.42,2.01,3.18,400.78,502.89
14.62,2.02,3.19,410.56,502.99
14.82,2.01,3.18,391.01,502.89
15.02,2.01,3.19,400.78,501.83
15.22,2.01,3.18,361.68,502.89
15.42,2.02,3.18,371.46,504.05
15.62,2.01,3.19,361.68,501.83
15.82,2.00,3.18,361.68,501.72
16.02,2.01,3.19,391.01,501.83
16.22,2.01,3.18,361.68,502.89
16.42,2.02,3.18,381.23,504.05
16.62,2.01,3.18,381.23,502.89
16.82,2.02,3.18,391.01,504.05
17.02,2.01,3.17,430.11,503.95
17.22,2.01,3.19,410.56,501.83
17.42,2.01,3.19,410.56,501.83
17.62,2.02,3.18,420.33,504.05
17.82,2.01,3.19,430.11,501.83
18.02,2.00,3.18,410.56,501.72
18.22,2.02,3.19,430.11,502.99
18.42,2.01,3.18,400.78,502.89
18.62,2.02,3.19,410.56,502.99
18.82,2.00,3.18,400.78,501.72
19.02,2.02,3.18,410.56,504.05
19.22,2.02,3.19,410.56,502.99
19.42,2.01,3.18,400.78,502.89
19.62,2.02,3.19,391.01,502.99
19.82,2.00,3.18,400.78,501.72
20.02,2.02,3.19,400.78,502.99
20.22,2.01,3.18,410.56,502.89
20.42,2.01,3.19,420.33,501.83
