# material: Engage 8401
# geometry: Cyl
# preform_diameter: 24.0
# material_color: Trans
# temperature_C: 60.0
# drawdown_ratio: 50.0
# trial_number: 002
# operator: Nikoo
# start_time: 2025-09-15 14:51:28
# notes: None
Time(s),Feed(mm/min),Wind(m/min),Diameter(um),Predicted_diameter(um)
1.22,2.01,3.65,694.04,469.42
1.42,2.01,3.66,694.04,468.56
1.62,2.02,3.65,674.49,470.50
1.82,2.02,3.66,703.81,469.64
2.02,2.01,3.65,674.49,469.42
2.22,2.02,3.66,674.49,469.64
2.42,2.00,3.65,576.74,468.33
2.62,2.02,3.66,664.71,469.64
2.82,2.01,3.65,645.16,469.42
3.02,2.02,3.65,694.04,470.50
3.22,2.01,3.65,674.49,469.42
3.42,2.01,3.66,654.94,468.56
3.62,2.01,3.64,654.94,470.28
3.82,2.02,3.66,684.26,469.64
4.02,2.00,3.65,645.16,468.33
4.22,2.01,3.65,654.94,469.42
4.42,2.00,3.64,654.94,469.19
4.62,2.02,3.66,694.04,469.64
4.82,2.01,3.65,674.49,469.42
5.02,2.02,3.66,674.49,469.64
5.22,2.01,3.65,645.16,469.42
5.42,2.01,3.66,664.71,468.56
5.62,2.00,3.62,664.71,470.06
5.82,2.01,3.66,664.71,468.56
6.02,2.01,3.66,606.06,468.56
6.22,2.02,3.65,664.71,470.50
6.42,2.00,3.65,645.16,468.33
6.62,2.03,3.66,625.61,470.72
6.82,2.01,3.65,664.71,469.42
7.02,2.02,3.66,654.94,469.64
7.22,2.00,3.65,635.39,468.33
7.42,2.01,3.66,664.71,468.56
7.62,2.02,3.65,654.94,470.50
7.82,2.02,3.65,654.94,470.50
8.02,2.00,3.64,645.16,469.19
8.22,2.02,3.66,645.16,469.64
8.42,2.01,3.65,674.49,469.42
8.62,2.02,3.66,0.00,469.64
8.82,2.01,3.65,586.51,469.42
9.02,2.01,3.65,606.06,469.42
9.22,2.01,3.65,586.51,469.42
9.42,2.01,3.65,606.06,469.42
9.62,2.01,3.66,586.51,468.56
9.82,2.02,3.65,606.06,470.50
