# material: Engage 8401
# geometry: circ
# preform_diameter: 24.0
# material_color: w
# temperature_C: 80.0
# drawdown_ratio: 50.0
# trial_number: 1
# operator: Nikoo
# start_time: 2025-09-10 12:45:02
# notes: None
Time(s),Feed(mm/min),Wind(m/min),Diameter(um),Predicted_diameter(um)
1.22,2.00,2.46,185.73,570.97
1.42,2.02,2.44,254.15,575.19
1.62,2.02,2.46,322.58,573.61
1.82,2.01,2.46,312.81,572.29
2.02,2.01,2.46,342.13,572.29
2.22,2.01,2.46,332.36,572.29
2.42,2.02,2.47,391.01,572.05
2.62,2.02,2.44,371.46,575.19
2.82,2.02,2.47,371.46,572.05
3.02,2.02,2.42,371.46,578.38
3.22,2.02,2.46,361.68,573.61
3.42,2.02,2.47,381.23,572.05
3.62,2.01,2.44,381.23,573.86
3.82,2.01,2.46,371.46,572.29
4.02,2.02,2.44,400.78,575.19
4.22,2.02,2.46,420.33,573.61
4.42,2.02,2.47,400.78,572.05
4.62,2.01,2.47,381.23,570.73
4.82,2.02,2.46,361.68,573.61
5.02,2.02,2.46,312.81,573.61
5.22,2.03,2.46,381.23,574.94
5.42,2.02,2.44,391.01,575.19
5.62,2.01,2.46,303.03,572.29
5.82,2.02,2.44,420.33,575.19
6.02,2.01,2.46,430.11,572.29
6.22,2.02,2.44,439.88,575.19
6.42,2.01,2.46,342.13,572.29
6.62,2.02,2.44,381.23,575.19
6.82,2.02,2.47,400.78,572.05
7.02,2.03,2.47,351.91,573.37
7.22,2.02,2.46,371.46,573.61
7.42,2.02,2.46,342.13,573.61
7.62,2.02,2.44,342.13,575.19
7.82,2.03,2.46,371.46,574.94
8.02,2.02,2.46,391.01,573.61
8.22,2.02,2.47,342.13,572.05
8.42,2.02,2.46,332.36,573.61
8.62,2.02,2.44,293.26,575.19
8.82,2.01,2.46,361.68,572.29
9.02,2.01,2.46,342.13,572.29
9.22,2.02,2.46,312.81,573.61
9.42,2.02,2.44,312.81,575.19
