# material: Engage 8401
# geometry: cyl
# preform_diameter: 24.0
# material_color: Translucent
# temperature_C: 880.0
# drawdown_ratio: 50.0
# trial_number: 001
# operator: Nikoo
# start_time: 2025-09-15 13:42:08
# notes: None
Time(s),Feed(mm/min),Wind(m/min),Diameter(um),Predicted_diameter(um)
1.22,2.01,3.18,205.28,502.89
1.42,2.02,3.18,215.05,504.05
1.62,2.02,3.18,234.60,504.05
1.82,2.01,3.18,195.50,502.89
2.02,2.02,3.18,234.60,504.05
2.22,2.02,3.19,224.83,502.99
2.42,2.01,3.19,195.50,501.83
2.62,2.02,3.18,224.83,504.05
2.82,2.01,3.18,205.28,502.89
3.02,2.01,3.19,205.28,501.83
3.22,2.01,3.19,215.05,501.83
3.42,2.01,3.18,224.83,502.89
3.62,2.01,3.18,205.28,502.89
3.82,2.02,3.18,215.05,504.05
4.02,2.02,3.19,224.83,502.99
4.22,2.01,3.18,205.28,502.89
4.42,2.01,3.19,224.83,501.83
4.62,2.01,3.19,224.83,501.83
4.82,2.01,3.18,205.28,502.89
5.02,2.02,3.18,224.83,504.05
5.22,2.02,3.18,224.83,504.05
5.42,2.01,3.17,205.28,503.95
5.62,2.01,3.18,215.05,502.89
5.82,2.02,3.18,205.28,504.05
6.02,2.01,3.18,195.50,502.89
6.22,2.02,3.18,234.60,504.05
6.42,2.02,3.19,224.83,502.99
6.62,2.00,3.19,205.28,500.66
6.82,2.02,3.18,234.60,504.05
7.02,2.02,3.21,224.83,501.93
7.22,2.00,3.19,215.05,500.66
7.42,2.02,3.15,224.83,506.19
7.62,2.02,3.19,224.83,502.99
7.82,2.01,3.17,205.28,503.95
8.02,2.02,3.18,215.05,504.05
8.22,2.02,3.18,224.83,504.05
8.42,2.00,3.18,195.50,501.72
8.62,2.01,3.19,224.83,501.83
8.82,2.02,3.19,195.50,502.99
9.02,2.01,3.18,175.95,502.89
9.22,2.01,3.18,205.28,502.89
9.42,2.01,3.19,224.83,501.83
9.62,2.01,3.19,215.05,501.83
9.82,2.02,3.19,224.83,502.99
10.02,2.01,3.19,195.50,501.83
10.22,2.01,3.18,185.73,502.89
10.42,2.01,3.21,215.05,500.78
10.62,2.01,3.18,224.83,502.89
10.82,2.02,3.18,215.05,504.05
11.02,2.01,3.19,234.60,501.83
11.22,2.01,3.18,195.50,502.89
11.42,2.02,3.19,215.05,502.99
11.62,2.02,3.18,224.83,504.05
11.82,2.00,3.18,195.50,501.72
12.02,2.01,3.19,224.83,501.83
12.22,2.02,3.18,215.05,504.05
12.42,2.01,3.18,205.28,502.89
12.62,2.01,3.19,205.28,501.83
12.82,2.02,3.19,205.28,502.99
13.02,2.02,3.19,205.28,502.99
13.22,2.01,3.18,224.83,502.89
13.42,2.01,3.18,215.05,502.89
13.62,2.02,3.18,205.28,504.05
13.82,2.02,3.18,215.05,504.05
14.02,2.02,3.19,224.83,502.99
14.22,2.01,3.18,205.28,502.89
14.42,2.02,3.19,224.83,502.99
14.62,2.02,3.18,224.83,504.05
14.82,2.01,3.17,205.28,503.95
15.02,2.02,3.19,205.28,502.99
15.22,2.01,3.18,195.50,502.89
15.42,2.02,3.18,224.83,504.05
15.62,2.01,3.19,215.05,501.83
15.82,2.01,3.19,215.05,501.83
16.02,2.02,3.18,224.83,504.05
16.22,2.01,3.19,215.05,501.83
16.42,2.00,3.19,215.05,500.66
16.62,2.01,3.18,224.83,502.89
16.82,2.02,3.19,224.83,502.99
17.02,2.00,3.18,215.05,501.72
17.22,2.01,3.18,215.05,502.89
17.42,2.02,3.19,205.28,502.99
17.62,2.00,3.18,205.28,501.72
17.82,2.02,3.18,224.83,504.05
18.02,2.02,3.19,215.05,502.99
18.22,2.00,3.19,215.05,500.66
18.42,2.02,3.18,215.05,504.05
18.62,2.02,3.19,224.83,502.99
18.82,2.00,3.18,205.28,501.72
19.02,2.01,3.18,224.83,502.89
